LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM BREWER,PAT FUREY,BILL SUTHERLAND
66TH STATE ASSEMBLY,N,83037,POLLING PLACE,12027,4055,4601,2352
66TH STATE ASSEMBLY,N,0,VBM PORTION,11369,3394,3802,2485
66TH STATE ASSEMBLY,N,83037,TOTAL,23394,7449,8403,4837
