LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,1806,609,482,2658,3117,5156
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,2212,751,691,2314,3415,5877
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,4018,1360,1173,4972,6532,11033
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,1998,786,553,2855,3579,5700
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,2658,1005,835,2848,4102,6561
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,4656,1791,1388,5703,7681,12261
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,2100,799,635,4530,1639,2493
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,2055,818,661,3322,1643,2469
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,4155,1617,1296,7852,3282,4962
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,5240,850,547,5074,3064,6105
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,4896,925,769,4528,3432,6216
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,10136,1775,1316,9602,6496,12321
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,4849,1174,648,5089,2711,5164
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,4592,1368,897,4891,3168,5721
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,9441,2542,1545,9980,5879,10885
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,80,24,15,133,129,266
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,81,39,26,79,178,255
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,161,63,41,212,307,521
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,3526,963,905,5066,2827,6093
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,4278,1077,1212,4857,3469,6408
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,7804,2040,2117,9923,6296,12501
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,3923,834,409,5606,1927,3414
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,3549,855,583,4644,1998,3326
