LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TONY CARDENAS,VENICE J GAMBLE,WILLIAM O LEADER
38TH STATE ASSEMBLY,N,2545,POLLING PLACE,215,97,34,70
38TH STATE ASSEMBLY,N,0,VBM PORTION,197,87,31,63
38TH STATE ASSEMBLY,N,2545,TOTAL,412,184,65,133
39TH STATE ASSEMBLY,N,161635,POLLING PLACE,10448,6004,1063,2109
39TH STATE ASSEMBLY,N,0,VBM PORTION,8946,5087,1006,2135
39TH STATE ASSEMBLY,N,161635,TOTAL,19388,11091,2069,4244
46TH STATE ASSEMBLY,N,108613,POLLING PLACE,7518,4253,658,1749
46TH STATE ASSEMBLY,N,0,VBM PORTION,7386,4038,750,1899
46TH STATE ASSEMBLY,N,108613,TOTAL,14900,8291,1408,3648
