LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,273,1212,623,2086,188,4697,4725,277
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,305,1232,789,2036,157,5267,5381,281
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,578,2444,1412,4122,345,9964,10106,558
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,153,1247,516,1165,103,6180,6494,248
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,214,1292,692,1292,128,7506,7267,268
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,367,2539,1208,2457,231,13686,13761,516
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,266,706,1316,675,203,6138,2558,505
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,188,587,892,561,147,6056,2442,339
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,454,1293,2208,1236,350,12194,5000,844
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,306,1519,1009,1242,186,11974,4941,440
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,239,1377,965,1296,166,11891,5286,346
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,545,2896,1974,2538,352,23865,10227,786
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,277,952,1159,1564,243,11541,4099,575
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,284,1162,1208,1614,192,11895,4693,457
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,561,2114,2367,3178,435,23436,8792,1032
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,3,49,11,83,2,294,218,5
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,6,43,15,81,7,274,259,9
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,9,92,26,164,9,568,477,14
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,243,1439,785,1230,175,11037,4742,504
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,238,1270,813,1347,207,12766,5331,386
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,481,2709,1598,2577,382,23803,10073,890
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,181,739,764,690,143,11142,2730,456
