LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,AL MURATSUCHI,DAVID HADLEY
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,14653,15117
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,15786,15879
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,30439,30996
