LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HELEN KIM,ALISON M ESTRADA
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,6481,6156
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,6472,6921
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,12953,13077
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,6876,6897
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,7350,8431
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,14226,15328
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,4833,6466
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,4169,5774
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,9002,12240
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,7139,11329
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,6220,11775
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,13359,23104
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,7136,9849
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,7289,9906
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,14425,19755
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,242,293
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,246,295
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,488,588
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,8436,8613
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,9190,9443
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,17626,18056
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,5893,8330
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,5573,7436
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,11466,15766
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,5518,7189
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,4635,6706
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,10153,13895
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,4828,7538
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,5343,7811
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,10171,15349
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,10437,15188
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,9374,13524
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,19811,28712
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,4729,8301
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,3145,5855
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,7874,14156
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,1297,1632
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1281,1516
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,2578,3148
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,4176,4967
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,3969,3618
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,8145,8585
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,8967,11602
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,7876,10293
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,16843,21895
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,2353,2637
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,3021,3243
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,5374,5880
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,6433,8231
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,5774,7436
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,12207,15667
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,6173,7668
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,4836,6125
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,11009,13793
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,3116,4872
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,2123,2566
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,5239,7438
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,7186,11761
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,5552,8345
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,12738,20106
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,4493,5339
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,3335,4331
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,7828,9670
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,4722,7927
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,3513,5288
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,8235,13215
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,11838,14013
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,11451,15082
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,23289,29095
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,10151,11787
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,9299,12395
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,19450,24182
