LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,9033,5338
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,9458,5266
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,18491,10604
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,9277,6847
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,10401,7322
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,19678,14169
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,8852,3951
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,7413,3386
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,16265,7337
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,15265,6392
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,14644,6465
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,29909,12857
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,14554,5735
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,13667,6113
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,28221,11848
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,425,246
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,400,244
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,825,490
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,13354,6796
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,14217,6561
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,27571,13357
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,12556,4184
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,11081,3852
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,23637,8036
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,9562,4830
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,8385,3912
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,17947,8742
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,9176,4818
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,9339,5061
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,18515,9879
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,25257,6218
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,21072,6398
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,46329,12616
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,11877,2799
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,7607,2190
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,19484,4989
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,2297,926
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,2135,854
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,4432,1780
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,8093,1694
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,5736,1679
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,13829,3373
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,20138,3817
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,16788,3775
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,36926,7592
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,3407,2297
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,3941,2858
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,7348,5155
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,10740,5523
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,9412,4774
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,20152,10297
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,10638,4847
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,8077,3796
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,18715,8643
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,7441,1138
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,4239,670
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,11680,1808
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,17324,4433
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,11928,3596
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,29252,8029
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,7718,3055
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,5974,2404
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,13692,5459
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,11659,2184
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,7523,1645
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,19182,3829
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,18167,11975
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,18901,11484
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,37068,23459
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,18593,7855
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,17480,8074
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,36073,15929
