LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANDY WHALLON,ALAN LOWENTHAL
63RD STATE ASSEMBLY,N,17667,POLLING PLACE,1675,726,769
63RD STATE ASSEMBLY,N,0,VBM PORTION,1567,654,822
63RD STATE ASSEMBLY,N,17667,TOTAL,3241,1380,1591
70TH STATE ASSEMBLY,N,219272,POLLING PLACE,25073,7583,14669
70TH STATE ASSEMBLY,N,0,VBM PORTION,24350,8596,14094
70TH STATE ASSEMBLY,N,219272,TOTAL,49422,16179,28763
