LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DOROTHY F PINEDA,FREDDIE RODRIGUEZ
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,1098,2147
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1175,1943
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,2273,4090
