LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SAL GENOVESE,ADAM B SCHIFF,STEVE STOKES
36TH STATE ASSEMBLY,N,0,POLLING PLACE,0,0,0,0
36TH STATE ASSEMBLY,N,0,VBM PORTION,0,0,0,0
36TH STATE ASSEMBLY,N,0,TOTAL,0,0,0,0
38TH STATE ASSEMBLY,N,0,POLLING PLACE,0,0,0,0
38TH STATE ASSEMBLY,N,0,VBM PORTION,0,0,0,0
38TH STATE ASSEMBLY,N,0,TOTAL,0,0,0,0
39TH STATE ASSEMBLY,N,32261,POLLING PLACE,2967,204,1522,895
39TH STATE ASSEMBLY,N,0,VBM PORTION,2911,203,1522,767
39TH STATE ASSEMBLY,N,32261,TOTAL,5878,407,3044,1662
41ST STATE ASSEMBLY,N,8859,POLLING PLACE,1151,38,791,198
41ST STATE ASSEMBLY,N,0,VBM PORTION,1662,55,1001,314
41ST STATE ASSEMBLY,N,8859,TOTAL,2812,93,1792,512
43RD STATE ASSEMBLY,N,240774,POLLING PLACE,21818,1248,13887,3609
43RD STATE ASSEMBLY,N,0,VBM PORTION,24726,1227,15631,3703
43RD STATE ASSEMBLY,N,240774,TOTAL,46541,2475,29518,7312
46TH STATE ASSEMBLY,N,6399,POLLING PLACE,690,52,479,83
46TH STATE ASSEMBLY,N,0,VBM PORTION,710,44,465,100
46TH STATE ASSEMBLY,N,6399,TOTAL,1399,96,944,183
50TH STATE ASSEMBLY,N,69596,POLLING PLACE,5568,536,3831,431
50TH STATE ASSEMBLY,N,0,VBM PORTION,5272,463,3582,561
50TH STATE ASSEMBLY,N,69596,TOTAL,10839,999,7413,992
51ST STATE ASSEMBLY,N,28587,POLLING PLACE,2487,275,1690,191
51ST STATE ASSEMBLY,N,0,VBM PORTION,1732,170,1197,144
51ST STATE ASSEMBLY,N,28587,TOTAL,4219,445,2887,335
53RD STATE ASSEMBLY,N,6044,POLLING PLACE,439,80,223,48
53RD STATE ASSEMBLY,N,0,VBM PORTION,309,48,183,34
53RD STATE ASSEMBLY,N,6044,TOTAL,748,128,406,82
