LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MIKE MEZA,ROGER HERNANDEZ,JOE M GARDNER
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,1541,7170,5804
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,1337,6084,5383
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,2878,13254,11187
