LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DANA CORTEZ
66TH STATE ASSEMBLY,N,83037,POLLING PLACE,12027,7028
66TH STATE ASSEMBLY,N,0,VBM PORTION,11369,6507
66TH STATE ASSEMBLY,N,83037,TOTAL,23394,13535
