LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JORGE S FUENTES,SCOTT WILK
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,5469,10524
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,6136,12045
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,11605,22569
