LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SHANNON L KNIGHT,DEBRA L LOSNICK
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,9550,3147
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,9756,3889
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,19306,7036
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,9763,3919
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,10813,4898
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,20576,8817
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,6828,4241
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,6054,3773
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,12882,8014
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,10323,7946
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,9343,7916
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,19666,15862
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,9652,7076
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,9702,7180
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,19354,14256
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,342,201
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,329,214
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,671,415
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,10528,6601
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,11267,7403
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,21795,14004
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,7746,6527
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,7086,5915
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,14832,12442
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,8360,4154
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,7058,4132
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,15418,8286
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,7184,4695
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,6847,5644
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,14031,10339
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,12030,13484
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,10644,11761
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,22674,25245
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,6394,6237
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,4542,4228
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,10936,10465
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,1848,1024
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,1708,1048
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,3556,2072
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,4372,4054
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,3537,3164
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,7909,7218
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,11842,8541
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,9582,8348
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,21424,16889
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,3254,1596
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,3787,2224
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,7041,3820
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,9731,4632
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,8221,4651
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,17952,9283
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,8829,4676
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,6691,4017
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,15520,8693
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,5555,2177
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,3106,1498
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,8661,3675
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,11979,6788
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,8357,5357
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,20336,12145
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,6237,3409
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,4952,2605
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,11189,6014
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,9072,3352
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,5650,3013
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,14722,6365
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,16230,9034
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,16063,9342
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,32293,18376
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,13718,8132
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,13268,8331
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,26986,16463
