LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED ROYCE,PETER O ANDERSON
55TH STATE ASSEMBLY,N,71642,POLLING PLACE,5269,2819,1742
55TH STATE ASSEMBLY,N,0,VBM PORTION,6743,4125,1980
55TH STATE ASSEMBLY,N,71642,TOTAL,12010,6944,3722
57TH STATE ASSEMBLY,N,33926,POLLING PLACE,2837,1566,914
57TH STATE ASSEMBLY,N,0,VBM PORTION,3342,2098,906
57TH STATE ASSEMBLY,N,33926,TOTAL,6178,3664,1820
