LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,3772,1551,411,5055,993,282,1824
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,3481,1835,500,5657,1070,314,2328
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,7253,3386,911,10712,2063,596,4152
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,2389,1625,388,6353,1920,361,2602
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,2450,2569,487,7436,1898,407,2901
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,4839,4194,875,13789,3818,768,5503
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,908,735,423,7304,973,337,1423
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,708,1001,442,6631,782,271,1096
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,1616,1736,865,13935,1755,608,2519
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,1637,1610,435,12639,994,422,3140
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,1512,2474,510,12143,946,428,2889
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,3149,4084,945,24782,1940,850,6029
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,1672,1599,476,12142,1045,387,2245
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,1394,2474,603,11787,1083,408,2322
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,3066,4073,1079,23929,2128,795,4567
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,99,79,14,288,34,9,124
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,76,113,19,253,47,12,136
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,175,192,33,541,81,21,260
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,2421,1080,483,11091,1511,444,2335
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,2362,1730,565,12710,1319,397,2429
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,4783,2810,1048,23801,2830,841,4764
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,1037,666,397,11242,1008,358,1440
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,868,1031,443,10381,852,290,1352
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,1905,1697,840,21623,1860,648,2792
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,1210,1109,426,7075,867,376,2601
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,889,1534,417,6519,715,268,2125
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,2099,2643,843,13594,1582,644,4726
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,995,1229,452,7489,793,222,2189
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,934,1919,503,7760,906,195,2206
