LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ZACHARY TAYLOR,ADRIN NAZARIAN
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,4824,11772
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,4657,10634
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,9481,22406
