LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ELLEN H BROWN,GREG CONLON,JOHN CHIANG
36TH STATE ASSEMBLY,N,191094,POLLING PLACE,15407,761,7467,5705
36TH STATE ASSEMBLY,N,0,VBM PORTION,16815,900,8223,6344
36TH STATE ASSEMBLY,N,191094,TOTAL,32214,1661,15690,12049
38TH STATE ASSEMBLY,N,190731,POLLING PLACE,17405,644,8530,6788
38TH STATE ASSEMBLY,N,0,VBM PORTION,20435,795,9643,8286
38TH STATE ASSEMBLY,N,190731,TOTAL,37833,1439,18173,15074
39TH STATE ASSEMBLY,N,198165,POLLING PLACE,13878,1057,3453,7798
39TH STATE ASSEMBLY,N,0,VBM PORTION,12336,822,3329,7086
39TH STATE ASSEMBLY,N,198165,TOTAL,26207,1879,6782,14884
41ST STATE ASSEMBLY,N,222609,POLLING PLACE,23275,1076,7129,12853
41ST STATE ASSEMBLY,N,0,VBM PORTION,23720,1005,7536,12834
41ST STATE ASSEMBLY,N,222609,TOTAL,46981,2081,14665,25687
43RD STATE ASSEMBLY,N,255917,POLLING PLACE,23129,1443,6109,12336
43RD STATE ASSEMBLY,N,0,VBM PORTION,26017,1396,6880,12691
43RD STATE ASSEMBLY,N,255917,TOTAL,49142,2839,12989,25027
44TH STATE ASSEMBLY,N,6055,POLLING PLACE,727,12,336,304
44TH STATE ASSEMBLY,N,0,VBM PORTION,770,31,377,273
44TH STATE ASSEMBLY,N,6055,TOTAL,1497,43,713,577
45TH STATE ASSEMBLY,N,249524,POLLING PLACE,22117,1023,6951,11718
45TH STATE ASSEMBLY,N,0,VBM PORTION,24635,1086,7716,13314
45TH STATE ASSEMBLY,N,249524,TOTAL,46747,2109,14667,25032
46TH STATE ASSEMBLY,N,216288,POLLING PLACE,18180,1297,3854,11191
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,1100,3970,10481
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,2397,7824,21672
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,956,5127,7851
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,707,4782,7366
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,1663,9909,15217
