LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,XAVIER BECERRA,HOWARD JOHNSON,ADRIENNE N EDWARDS
51ST STATE ASSEMBLY,N,133311,POLLING PLACE,11007,7590,935,1030
51ST STATE ASSEMBLY,N,0,VBM PORTION,8316,5457,872,907
51ST STATE ASSEMBLY,N,133311,TOTAL,19321,13047,1807,1937
53RD STATE ASSEMBLY,N,123644,POLLING PLACE,9794,5570,806,1267
53RD STATE ASSEMBLY,N,0,VBM PORTION,8042,4261,974,1270
53RD STATE ASSEMBLY,N,123644,TOTAL,17831,9831,1780,2537
59TH STATE ASSEMBLY,N,6,POLLING PLACE,0,0,0,0
59TH STATE ASSEMBLY,N,0,VBM PORTION,0,0,0,0
59TH STATE ASSEMBLY,N,6,TOTAL,0,0,0,0
