LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,KAREN BASS,R ADAM KING,MERVIN EVANS
50TH STATE ASSEMBLY,N,33897,POLLING PLACE,3084,2170,479,127
50TH STATE ASSEMBLY,N,0,VBM PORTION,3023,2027,582,128
50TH STATE ASSEMBLY,N,33897,TOTAL,6106,4197,1061,255
53RD STATE ASSEMBLY,N,2699,POLLING PLACE,195,111,15,27
53RD STATE ASSEMBLY,N,0,VBM PORTION,126,85,12,14
53RD STATE ASSEMBLY,N,2699,TOTAL,321,196,27,41
54TH STATE ASSEMBLY,N,249846,POLLING PLACE,25343,18225,2925,1416
54TH STATE ASSEMBLY,N,0,VBM PORTION,22886,16407,3300,1076
54TH STATE ASSEMBLY,N,249846,TOTAL,48215,34632,6225,2492
59TH STATE ASSEMBLY,N,74543,POLLING PLACE,4899,3341,238,373
59TH STATE ASSEMBLY,N,0,VBM PORTION,3052,2332,173,203
59TH STATE ASSEMBLY,N,74543,TOTAL,7948,5673,411,576
62ND STATE ASSEMBLY,N,22592,POLLING PLACE,2402,1574,379,174
62ND STATE ASSEMBLY,N,0,VBM PORTION,2154,1367,427,139
62ND STATE ASSEMBLY,N,22592,TOTAL,4555,2941,806,313
