LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,IAN C CALDERON,RITA TOPALIAN
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,7900,8175
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,6644,7684
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,14544,15859
