LEAK_ID,RPT_TYPE,RPT_DATE,ADDRESS,MAIN_ST,CROSS_ST,PIPE_SIZE,PIPE_TYPE,YR_INST,PLR_INST,LEAK_TYPE,LEAK_QUANT,ANOD_INST,COAT_TYPE,COAT_COND,SOIL_TYPE,FOREMAN,WSM_NBR,REPAIR_HRS,MAN_HRS,REMARKS,LAT,LON,MEANgid,COUNT
40843,MAIN,19-Aug-10,5914 FOOTHILL DR.,S FOOTHILL DR.,159' BRONSON AVE.,4.000000000000000,C.I.,1921,29010,RUPTURE,1,,,POOR,ADOBE,WASHINGTON,150-189,6.000000000000000,12.000000000000000,"REPAIRED LARGE RUPTURE AT INSERT WITH 6""X12""X1"" TAPPED 360 CLAMP. REFFITED 3/4 SERVICE AND BACKFILLED 5X5 EXCAVATION. NEEDS SCOOP OF OIL AND PICK UP.",34.108264749999996,-118.318546900000001,10.0000000000000000,1.0000000000000000
40847,MAIN,22-Aug-10,1955 N. WILTON PL.,550' N/N FRANKLIN AVE.,21' E/W WILTON PL.,6.000000000000000,C.I.,,46954,SPLIT,1,,,,C,GONZALES,150-192,8.000000000000000,16.000000000000000,"FOUND SPLIT ON 6"" C.I. MAIN CUT IN 6' OF 6"" D.I. WITH TWO UNIONS.",34.106962410000001,-118.313667300000006,10.0000000000000000,1.0000000000000000
40855,MAIN,28-Aug-10,1647 SUNSET PLAZA DR,340' E/E VIEWSITE DR.,30' SUNSET PLAZA DR.,6.000000000000000,STEEL,1927,44765,RUST HOLE,1,,,,,J JIMENEZ,148-171,5.000000000000000,15.000000000000000,"FOUND RUST HOLE ON 6"" STL. W.M. REPAIRS COMPLETE.",34.101319320000002,-118.381339100000005,10.0000000000000000,1.0000000000000000
40856,MAIN,29-Aug-10,5301 ROSEWOOD,100' W/W LARCHMONT,17' N/S ROSEWOOD,4.000000000000000,,1923,31242,RUPTURE,1,,,,,J JIMENEZ,140-189,8.000000000000000,24.000000000000000,"FOUND RUPTURE ON 4"" C.I. W.M. REPAIRS COMPLETE. LARGE SPILL PICK UP NEEDED, REF TO 280.",34.078913489999998,-118.324128000000002,10.0000000000000000,1.0000000000000000
40859,MAIN,30-Aug-10,8221 YUCCA TRAIL,13' E/W YUCCA TRAIL,40' N/S YUCCA LN,6.000000000000000,STEEL,1932,52074,RUST HOLE,1,,,,CLAY,GONZALES,150-174,9.500000000000000,32.500000000000000,"FOUND LEAK ON 6"" STL. MAIN. USED TWO 6""X12"" CLAMPS FOR REPAIRS. NO NEED FOR PAVING.",34.105266899999997,-118.371175899999997,10.0000000000000000,1.0000000000000000
40861,MAIN,31-Aug-10,8700 FRANKLIN AVE,S/S FRANKLIN AVE.,410' W/W MOUNTAINCREST AVE.,6.000000000000000,STEEL,1931,51334,,1,,,,,RAMIREZ,148-171,5.000000000000000,10.000000000000000,"PLACE 6""X8"" CLAMP TO STOP LEAK. ALSO NEED CLEANUP AND PICKUP IN FRONT AT 8720 HOLLYWOOD BLVD.",34.098126370000003,-118.379346100000006,10.0000000000000000,1.0000000000000000
41249,MAIN,3-Sep-10,1936 WHITLEY AVE,,25' S/N EMMET TER.,6.000000000000000,C.I.,1927,45773,ROUND CRACK,1,,,,,C.KIRKWOOD,150-186,9.000000000000000,26.000000000000000,,34.106481180000003,-118.333371299999996,10.0000000000000000,1.0000000000000000
41251,MAIN,4-Sep-10,1919 WEEPAH WAY,7 W/W WEEPAH WAY,100 N/N RIDPATH DR.,2.000000000000000,STEEL,1926,42788,RUST HOLE,1,,,,C,R. GONZALES,150-174,2.000000000000000,4.000000000000000,"FOUND LEAK ON 2"" STEEL MAIN USED 2""X8"" CLAMP FOR REPAIRS.",34.106785909999999,-118.373997099999997,10.0000000000000000,1.0000000000000000
41255,MAIN,6-Sep-10,2510 HARGRAVE AVE,11 EW HARGRAVE AVE,256 NN RINCONIA DR,6.000000000000000,STEEL,1956,74452,RUST HOLE,1,,,,B,T.SMITH,154-189,7.000000000000000,14.000000000000000,"DUG OUT LEAK ON 6"" MAIN 5' DEEP. MAIN SHUT OFF REQUIRED. INSTALLED 6""X8"" CLAMP. BACKFILLED AND TEMP. P/N MADE.",34.114863900000003,-118.324741299999999,10.0000000000000000,1.0000000000000000
41266,MAIN,7-Sep-10,8074 WILLOW GLEN RD,,65' W/W THAMES,6.000000000000000,STEEL,1926,43070,CLAMP,1,,,,,C.KIRKWOOD,154-174,9.000000000000000,25.000000000000000,,34.118052380000002,-118.372228000000007,10.0000000000000000,1.0000000000000000
41172,MAIN,10-Sep-10,7906 WILLOW GLEN RD,10' NS WILLOW GLEN RD,,6.000000000000000,STEEL,1928,47672,RUST HOLE,1,,,,,J JIMENEZ,154-174,6.000000000000000,8.000000000000000,"ROUND RUST HOLE ON 6"" STEEL WATER MAIN. REPAIRS COMPLETE. PLEASE NOTE: 430' E/E THAMES DEEMED INACCURATE LOCATION OF LEAK.",34.118743449999997,-118.370013900000004,10.0000000000000000,1.0000000000000000
41499,MAIN,13-Sep-10,13807 MAGNOLIA AVE,6' W/C MATILIJA ST,20' N/C MAGNOLIA BL,6.000000000000000,C.I.,1955,72848,CLAMP,1,,,,,GARCIA,172-156,,,"FOUND LEAK ON 6"" CI MAIN. MADE REPAIRS AND FLUSHED OUT MAIN. BACKFILLED, CLEANED UP AREA.",34.164921430000000,-118.433439800000002,10.0000000000000000,1.0000000000000000
42897,MAIN,14-Sep-10,3512 MULTIVIEW DR.,3' S/S RW,150' E/C MULTIVIEW DR.,4.000000000000000,STEEL,1955,73307,,1,,,GOOD,B,MARTINEZ,158-177,3.000000000000000,11.000000000000000,"CONTRACTOR CUT INTO 4"" W.M. REPAIRS MADE WIELDED CUT AND REPLACED PROTECTIVE COATING. JOB COMPLETE. CONTRACTOR BACKFILL ABD PAVE.",34.128367130000001,-118.359180499999994,10.0000000000000000,1.0000000000000000
41182,MAIN,15-Sep-10,5630 VALLEY OAK DR,8' NS VALLEY OAK DR,356' W/W VERDE OAK DR.,4.000000000000000,STEEL,1927,44584,RUST HOLE,1,,,,,SCHWEINBOLD,152-192,9.000000000000000,26.000000000000000,"REPAIRED W.M. WITH WOOD AND CLAMP. BACKFILLED, TAMPED, OILED. HELP MAKE PICK-UP.",34.111126640000002,-118.312313900000007,10.0000000000000000,1.0000000000000000
41200,MAIN,17-Sep-10,1520 GILCREST DR.,9' W/E GILCREST DR.,247' S/S LLOYD CREST DR.,4.000000000000000,STEEL,1928,45914,COUPLING,1,,,,ROCKY,FIERROZ,148-165,4.000000000000000,24.000000000000000,HAD LEAK ON WELD COUPLING. HAD TO HAVE WELDER CUT OLD COUPLING OFF AND WELD A NEW COUPLING. REFITTED SERVICE.,34.098650180000000,-118.402455300000000,10.0000000000000000,1.0000000000000000
41257,MAIN,19-Sep-10,6900 SANTA MONICA BL.,,10' W/W MANSFIELD,6.000000000000000,C.I.,1919,26242,BLOW OUT,1,,,,,KIRKWOOD,144-183,15.000000000000000,29.000000000000000,,34.090650400000001,-118.340569099999996,10.0000000000000000,1.0000000000000000
41502,MAIN,20-Sep-10,13312 WOODBRIDGE ST,S/C WOODBRIDGE ST,208' W/C FULTON AVE,4.000000000000000,C.I.,1945,40956,CLAMP,1,,,,B,WOODS,166-159,2.000000000000000,2.000000000000000,OLD MAIN BEING REPLACED AND HAS NOT YET BEEN ABANDONED. CREW WORKING AT LOCATION FOUND MAIN LEAKING (FEEDS SERVICE TO NEARBY SCHOOL).,34.147580339999998,-118.423106799999999,10.0000000000000000,1.0000000000000000
41442,MAIN,20-Sep-10,2600 LOCKSLEY PL,,FARWELL AV,4.000000000000000,C.I.,,,RUPTURE,1,,,,SHALE,MCCALL,150-207,6.500000000000000,13.000000000000000,"UPON ARRIVAL FOUND HOLE IN STREET & FLOODING. SET UP TRAFFIC AFTER MAIN WAS SHUT OFF DEWATERED EXCAVATION FOUND RUPTURE HOLE, REPLACED SECTION OF MAIN.",34.105497929999999,-118.258705300000003,10.0000000000000000,1.0000000000000000
41444,MAIN,21-Sep-10,2719 LOCKSLEY PL,14' N/S LOCKSLEY PL,750' W/W FARWELL AVE,4.000000000000000,C.I.,1923,31381,,1,,,BAD,CLAY,PRECIADO,150-207,8.000000000000000,14.500000000000000,"FOUND 8 FT SPLIT ON 4"" MAIN INSTALLED 8FT DI PIPE & TWO 4"" DRESSER, BACKFILLED W CONROCK TEMP CLEAN UP",34.107440750000002,-118.262075699999997,10.0000000000000000,1.0000000000000000
41213,MAIN,21-Sep-10,1145 SYCAMORE AVE.,23' EW SYCAMORE AVE,131' S/S LEXINGTON AVE.,6.000000000000000,C.I.,1927,45284,,1,,,,,YBARBO,144-183,,,THE CREW PULL OUT A CORP. VALVE WHILE DIGGING THE MAIN LINE TRENCH. THE COPPER LINE WAS RIGHT UNDER THE ASPHALT.,34.092145539999997,-118.342816499999998,10.0000000000000000,1.0000000000000000
41258,MAIN,22-Sep-10,2421 CHEREMOYA AVE.,,27' N/N DETOUR DR.,6.000000000000000,C.I.,1925,41019,ROUND CRACK,1,,,,,KIRKWOOD,152-189,7.000000000000000,21.000000000000000,"EXCAVATED AND INSTALL 6""X12"" CLAMP.",34.113726309999997,-118.320425299999997,10.0000000000000000,1.0000000000000000
41585,MAIN,22-Sep-10,903 HIGHLAND AVE,70' E/E HIGHLAND AVE,22' N/S 9TH ST,8.000000000000000,C.I.,1922,30400,,1,,,,C,R. GONZALES,132-183,2.500000000000000,7.500000000000000,"FOUND LEAK ON 8"" CI MAIN. STREET SERVICE PROFILING STREET. USED 8""X12"" CLAMP.",34.058729090000000,-118.339123900000004,10.0000000000000000,1.0000000000000000
41586,MAIN,23-Sep-10,NINTH ST,13' E/E  HIGHLAND AVE,22' N/S  NINTH ST,8.000000000000000,C.I.,1922,30400,RUPTURE,1,,,,,J JIMENEZ,132-183,,,"FOUND RUPTURE ON 8L CI WATERMAIN. REPAIRS COMPLETE. BACKFILLED, OILED, CLEANED UP. NO PAVING REQUESTED NEEDED. STMTNC WILL TAKE CARE OF IT.",34.058731610000002,-118.339253999999997,10.0000000000000000,1.0000000000000000
41505,MAIN,26-Sep-10,3553 DE LA CUMBRE PL,7' W/C DE LA CUMBRE PL,65' N/C GLORIETTA DR,6.000000000000000,C.I.,1953,63787,RUST HOLE,1,,,BAD,CLAY,OBREGON,160-150,39.000000000000000,39.000000000000000,,34.135366810000001,-118.446318899999994,10.0000000000000000,1.0000000000000000
41725,MAIN,28-Sep-10,2845 WAVERLY DR,,44' W/E AUBURN ST L/S,6.000000000000000,C.I.,1923,32341,,1,,,,ADOBE,MCCALL,152-207,6.000000000000000,12.000000000000000,"UPON ARRIVAL FOUND MAIN SHUTOFF, AFTER CONTRACTOR HIT CORPORATION VALVE ON ABANDONED SERVICE. EXCAVATED AND CLEANED MAIN PLACED REPAIR CLAMP.",34.109351050000001,-118.265271600000005,10.0000000000000000,1.0000000000000000
41722,MAIN,28-Sep-10,4151 HOLLY KNOLL DR,4' N/N HOLLY KNOLL DR,532' W/W MYRA AVE,4.000000000000000,C.I.,1923,32717,,1,,,,,PRECIADO,150-201,6.000000000000000,12.000000000000000,"FOUND RUST HOLE ON CORP. INSTALLED 1-360 DEGREE CLAMP & RETAP 1"" SER. BACKFILLED WITH CON ROCK & TEMP.",34.107418889999998,-118.281722200000004,10.0000000000000000,1.0000000000000000
41599,MAIN,30-Sep-10,401 S WINDSOR BLVD,33 EW WINDSOR BLVD,55 SS 4TH ST,8.000000000000000,C.I.,,,SPLIT,1,,,,,E. ALVAREZ,136-189,2.000000000000000,6.000000000000000,"SET UP TRAFFIC, LOCATED LEAK, EXCAVATED AND MADE REPAIRS.",34.066892920000001,-118.321448300000000,10.0000000000000000,1.0000000000000000
61776,MAIN,1-Oct-10,8142 LAUREL VIEW DR,692' EE CRESCENT HGTS BL,10' SN LAUREL VIEW DR,4.000000000000000,STEEL,1926,43658,RUST HOLE,1,,,,C,GONZALES,148-174,4.000000000000000,8.000000000000000,"FOUND LEAK ON 4"" STL. MAIN USED 4""X 12"" CLAMP FOR REPAIRS",34.101241199999997,-118.366581300000007,10.0000000000000000,1.0000000000000000
41520,MAIN,2-Oct-10,2832 WAVERLY DR,22' N/S WAVERLY DR,410' E/E AUBURN,6.000000000000000,C.I.,1924,33926,ROUND CRACK,1,,,,,ROGERS,150-207,5.000000000000000,10.000000000000000,"SET UP TRAFFIC. CALLED FOR EMERGENCY USA. EXCAVATED TRENCH 6'X3'. REPAIRED 6"" WATER MAIN. ROUND CRACK WITH 360 DEGREE REPAIR.",34.108431390000000,-118.264318399999993,10.0000000000000000,1.0000000000000000
41202,MAIN,4-Oct-10,902 S HIGHLAND AVE,80' E/E HIGHLAND AVE,22' N/S 9TH ST,8.000000000000000,C.I.,1922,30400,RUST HOLE,1,,,,B,T.SMITH,132-183,6.000000000000000,12.000000000000000,JOB DELAY 4.0 HOURS POWER LOCATOR. DUG OUT LEAKS. INSTALLED CLAMP. BACKFILLED AND P/U. CLEAN-UP STREET SERVICE TO PAVE.,34.058727189999999,-118.339026599999997,10.0000000000000000,1.0000000000000000
41204,MAIN,4-Oct-10,903 S HIGHLAND AVE,95' W/W HIGHLAND AVE,22' N/S  NINTH ST,8.000000000000000,C.I.,1922,30400,SPLIT,1,,,,B,T.SMITH,132-183,7.000000000000000,14.000000000000000,"8"" MAIN LEAK. SHUT DOWN MAIN 6"" GATE VALVE.  DUG OUT. CUT IN 3"" W/ COUPLINGS. BACKFILLED AND P/U. STREET SERVICES TO PAVE.",34.058742549999998,-118.339819000000006,10.0000000000000000,1.0000000000000000
41222,MAIN,4-Oct-10,1563 SUNSET PLAZA,6' WE SUNSET PLAZA DR,34 S\S FOREST KNOLL DR,6.000000000000000,STEEL,1927,44765,RUST HOLE,1,,,SCALEY,DECOMP GRANITE,SCHWEINBOLD,148-171,35.000000000000000,18.000000000000000,"REPAIRED 6"" WATER MAIN WITH REDWOOD CLAMP. BACKFILLED, TAMPED AND OILED. HELPED WITH PICK-UP.",34.098850700000000,-118.380286200000000,10.0000000000000000,1.0000000000000000
41231,MAIN,5-Oct-10,229 S MCCADDEN PL,20' E/W MCCADDEN PL,370' N/N 3RD ST,4.000000000000000,C.I.,1924,34310,RUST HOLE,1,,,,B,SMITH,136-183,17.000000000000000,17.000000000000000,LOCATED LEAK AND BROKE OUT. TOB DELAY ONE TD UTILITY MARKING DUG OUT. INSTALLED CLAMP. BACKFILLED AND CLEANED UP.,34.070041539999998,-118.337193700000000,10.0000000000000000,1.0000000000000000
