LEAK_ID,RPT_TYPE,RPT_DATE,ADDRESS,MAIN_ST,CROSS_ST,PIPE_SIZE,PIPE_TYPE,YR_INST,PLR_INST,LEAK_TYPE,LEAK_QUANT,ANOD_INST,COAT_TYPE,COAT_COND,SOIL_TYPE,FOREMAN,WSM_NBR,REPAIR_HRS,MAN_HRS,REMARKS,LAT,LON
65044,MAIN,5-May-13,4914-16 HICKORY ST.,22' N/S HICKORY ST.,74' E/E WEST VIEW ST.,4,C.I.,1925,41963,RUST HOLE,1,,,,LOAM,P. FIERROZ,122-180,2,4,"FOUND LEAK ON OLD 4"" CI MAIN. WE HAD TO MAKE THE REPAIR CAUSE IT WAS FLOODING OUT OUR TRENCH AND TO CONTINUE OUR WORK.",34.03119843,-118.3490246
65462,MAIN,6-May-13,NO ADDRESS ON FORM,?' S/S ANAHEIM ST.,11' E/E MCFARLAND AVE.,8,C.I.,1926,43248,SPLIT,1,,,,,ROGERS,032-210,10,28,"NO TRAFFIC SET UP WORK. PROPERTY CLOSED. FOUND 6"" SPLIT ON 8"" C.I. WATER MAIN. REPLACED WITH 2 8"" MACH. COUPLINGS. BACKFILLED, CLEANED UP, LEFT SITE SAVE.",,
65641,MAIN,6-May-13,20150 WELLS DR,12' NCL WELLS DR,534' WCL WINNETKA AVE,8,C.I.,1950,62037,SPLIT,1,,,NOT APPLIED,CLAY,MAO,170-114,10.5,31,"REPLACED 92"" OF PIPE, STOPPED LEAK, BACKFILLED, OILED, CLEANED STREET, CONSUMER AT 20140 WELLS DR CLAIMS PROPERTY DAMAGE FROM BLOW OUT, WAS GIVEN CLAIMS CARD.",34.16160229,-118.5715079
65042,MAIN,6-May-13,523 HARPER AVE.,22' E/W HARPER AVE.,222 N/N ROSEWOOD,4,C.I.,1924,33346,SPLIT,1,,,MED,ADOBE,C. SCHWEINBOLD,140-174,4.5,18,"REPLACED 4""X8"" LAMPUT 4""X8"" CLAM PUT 4"" X 20"" TO COVER PREVIOUS ROUND CRACK & SPILT. BACKFILLED, TAMPED, AND OIL LED. HELP MAKE PIC. K-UP",34.08078258,-118.3690704
65494,MAIN,7-May-13,2020 E 7TH PL,371' EE MATEO ST,15' NS E 7TH PL,2,GALV. BLOW-OFF,1953,69750,,1,,,,,UNGSON,124-216,10,20,"MADE REPAIRS ON A 2"" BLOW-OFF CONNECTED 8"" MAIN; RE-BUILT ENTIRE BLOW-OFF; CUT EXISTING 8""X 6"" TEE OUT & CUT & PLUGGED IT; THE BLOW-OFF WAS INSTALLED @ THE PLUG, BACKFILLED; TEMP. OIL; CLEAN UP; SITE SAFE.",34.033524,-118.230952
65493,MAIN,7-May-13,4067 SEA VIEW AVE,391' WW SAN RAFAEL AVE,7' SN SEA VIEW AVE,8,C.I.,1938,55258,SPLIT,1,,,,,HOOVER,150-222,14,28,"REPLACED 20' OF CI W/ DI BACKFILLED, TEMP ASPHALT, CLEAN UP, LEFT SITE SAFE.",34.10716467,-118.2154273
65043,MAIN,7-May-13,301 N. LAS PALMAS AVE.,20' E/W LAS PALMAS,42' N/N BEVERLY BLVD.,6,C.I.,1924,35161,,1,,,,,T. BLACK,140-186,2,14,WHILE EXCAVATING BAND LEAK OR THREADED SUDDLE. CUT OLD SUDDLE AND REPLACED WITH 360 DEGREE REPAIR CLAMP.,34.07644464,-118.3360312
65045,MAIN,7-May-13,925 N. CURSON AVE.,20' EW CURSON AVE,258' N/N WILLOUGHBY AVE.,4,C.I.,1915,22044,RUST HOLE,1,,,NONE,CLAY,M. SPEARS,144-180,8,24,"REPAIRED 4"" C.I. MAIN LEAK WITH 4"" X 12"" 360 DEGREE CLAMP.",,
65062,MAIN,8-May-13,351 S. VAN NESS AVE.,24' E/W VAN NESS AVE,50' N/N 4TH ST.,61,STEEL,1961,80209,,1,,,,,R. GONZALES,136-192,9,45,"FOUND CONTROL LINE LEAK OFF 61"" STEEL MAIN REFIT CONTROL HEAD.",34.06735989,-118.3151614
65496,MAIN,10-May-13,4520 DE LONGPRE,15' SN DE LONGPRE,112' EE LYMAN,8,C.I.,1932,51768,RUST HOLE,1,,,,SANDSTONE,LEROY,146-198,11,33,STREET DAMAGE 200+ SQ FT,34.09673303,-118.2880604
