LEAK_ID,RPT_TYPE,RPT_DATE,ADDRESS,MAIN_ST,CROSS_ST,PIPE_SIZE,PIPE_TYPE,YR_INST,PLR_INST,LEAK_TYPE,LEAK_QUANT,ANOD_INST,COAT_TYPE,COAT_COND,SOIL_TYPE,FOREMAN,WSM_NBR,REPAIR_HRS,MAN_HRS,REMARKS,LAT,LON
39928,MAIN,1-Jan-10,12721 COMETA,12' W/CL COMETA,291 N/CL FERMONT,6,C.I.,1961,80341,"CLAMP, ROUND CRACK",1,,,FAIS,DG,OREGON,222-156,7,24.5,"EXCAVATED HOLE AROUND MAIN, EXPOSED ROUND CRACK & MADE REPAIRS WITH 360 REPAIR CLAMP. BACKFILLED & TEMP OIL, CLEANED UP SITE & MADE SAFE. SMALL AMOUNT OF DEBRIS TO BE PICKED UP.",34.30135361,-118.42798
60543,MAIN,2-Jan-10,3129 W 78TH PLACE,270' E/E 10TH AVE,16' N/S W 78TH PLACE,6,C.I.,1936,54550,ROUND CRACK,1,,,,,BRONKO ANDERSON,100-186,8,16,"FOUND A ROUND CRACK IN 6"" CI MAIN, REPAIRED WITH 6"" 360 DEGREE CLAMP BACKFILLED AND TEMPED COMPLETED JOB.",33.96813681,-118.3276484
42776,MAIN,3-Jan-10,608 W 49TH ST,,517' W/W FIGUEROA ST,6,C.I.,1925,35629,ROUND CRACK,1,,,,ADOBE,R.MCCALL,110-201,5,10,"UPON ARRIVAL, SET UP TRAFFIC DELINEATION. INVESTIGATED LEAK, DRILLED HOLES OVER MAIN, PINPOINTED LEAK, BROKE OUT AND EXCAVATED. FOUND ROUND CRACK ON MAIN. PLACED REPAIR CLAMP OVER LEAK.",33.9987202,-118.284554
41953,MAIN,4-Jan-10,4800 COLLEGE VIEW AV,,5' NN LAVERNA AV,6,C.I.,,,ROUND CRACK,1,,,,GRANITE,MCCALL,160-219,7,14,"INVESTIGATED LEAK DRILLED HOLES OVER MAIN PINPOINTED LEAK BROKE OUT STREET EXCAVATED TO MAIN AND FOUND ROUND CRACK, CLEANED PIPE & PLACED REPAIR CLAMP OVER LEAK.",34.13448627,-118.2206619
39934,MAIN,4-Jan-10,6657 NORWICH AVE,12' W/CL NORWICH AVE,40 S/CL LEMAY STR,6,C.I.,1951,62310,"ROUND CRACK, TREE ROOTS",1,,,,,CRUZ,182-147,8,23,"FOUND LARGE TREE ROOTS UNDER MAIN ROUND CRACK. ALIGNMENT OFF BY 1/2"" OR MORE. APROX 6"" DIAMETER ROOT UNDER MAIN (LIQUID AMBER TREE)",34.19199698,-118.4607653
41650,MAIN,4-Jan-10,4848 ST ELMO DR,17 N/S/ ST ELMO DR,54 E/E LONGWOOD AVE,6,C.I.,1928,47450,ROUND CRACK,1,,,,,J CASTRUITA,128-183,4,8,"SET UP TRAFFIC, LOCATED MAIN, LOCATED LEAKS, EXCAVATED, MADE REPAIR, BACKFILLED AND TAMPED, CLEANED AND LEFT JOB SAFE.",34.04357183,-118.3436729
41652,MAIN,4-Jan-10,5742 VIRGINIA AV,20' N/S VIRGINIA,195' E/E VAN NESS,4,C.I.,1926,42947,ROUND CRACK,1,,,,,J JIMENEZ,144-192,9,15,"FOUND ROUND CRACK ON 4"" CI WM, REPAIRED W/ 4X8 CLAMP",34.09175723,-118.314982
41655,MAIN,4-Jan-10,1360 MONTE PLACENTIA WY,12 W /E MONTE PLACENTIA WY,145 S/S HIGHLAND GORGE DR,2,STEEL,1927,45047,RUST HOLE,1,,,,,J JIMENEZ,146-162,5,15,"FOUND RUST HOLE ON 2"" STL WM, REPAIRED W/ 2X8 CLAMP. ALSO REPLACED A 5/8 MTR THAT WAS CLOGGED DUE TO LEAK.",34.09562436,-118.4151428
41680,MAIN,5-Jan-10,11440 SAN VICENTE BL,43 E/W SAN VICENTE BL,56 W/W W. COSHEN AVE,8,A.C.,1956,74125,CLAMP,1,,,0,CLAY,M. SPEARS,130-147,9,36,CREW BROKE OUT A 10X4 EXCAVATION AND EXCAVATED FOR LEAK REPAIR FOUND AND OLD DOUBLE BACK CLAMP THAT WAS LEAKING WE CAULK BACK THE LEAD BACKFILL AND TEMP.,34.05185705,-118.4601336
61574,MAIN,5-Jan-10,10301 STRATHMORE,21' NS STRATHMORE,71' WW COMSTOCK,,,,,,1,,,,,SALDIVAR,136-156,6.5,19.5,"SET UP TRAFFIC, DRILLED HOLES, BROKE OUT, DUG OUT, AND MADE REPAIRS ON A 6"" C.I. MAIN LEAK. BACKFILLED, TEMP OIL, AND LEFT JOB SITE SAFE & CLEAN.",34.07029356,-118.4275345
41660,MAIN,5-Jan-10,5300 LA BREA,18 E/W LA BREA,14 S/S OLYMPIC,6,C.I.,1922,30375,SPLIT,1,,,,,J JIMENEZ,132-183,8,24,"FOUND SPLIT ON 6"" WM LEADING INTO 6"" FH GV, REPAIRED W/ 6X8 REPAIR CLAMP.",,
41657,MAIN,5-Jan-10,1251 N FULLER ST,E SIDE FULLER ST,21' W/E FULLER,6,A.C.,1959,78272,,1,,,,C,AUBREY,146-180,7,22,LOCATE LEAK ON AC MAIN COMING FROM TAP CLAMP ON FS 19228 AT 1251 N FULLER ATTEMPT TO BE CALLED OUT COULD NOT STOP WATER AT BOTTOM OF CLAMP. BACKFILL & MAKE SAFE. K1280 NOTIFIED. NEED TO REPLACE TALSGTVALVE.,34.09403581,-118.3500617
41956,MAIN,5-Jan-10,4082 GLENALBYN DR,,313' W/E AVE 41,2,C.I.,1926,42711,CLAMP,1,,,,,MCCALL,146-222,9,18,INVESTIGATED LEAK SOURCE PIN POINTED. BROKE OUT PREVIOUS REPAIR PATCH EXCAVATED. FOUND WATER LEAKING FROM CLAMP. STOPPED LEAK.,34.09534523,-118.2131282
42978,MAIN,5-Jan-10,971 TERRACE 49,18' N/S TERRACE 49,746' W/W CLELAND,4,C.I.,1928,47427,ROUND CRACK,1,,,,,CHESTERTON,154-222,,,ROUND CRACK AT CORP. USED VENTED 360. HOOKED UP SERVICE.,34.11530049,-118.2137421
60544,MAIN,5-Jan-10,1050 N. ALAMEDA,16' W/E ALAMEDA,18' N/N GRANT,6,C.I.,1923,31405,,1,,,,,KIRKSEY,034-213,14.5,49.5,"FOUND 13"" HOLE NEXT TO 2"" TAP CUT & REMOVE 4' CI W/ TAP INSTALLED 4"" DI W/ 2EA MECH. COUPLING 6X 1 1/2"" SADDLE W/ CORP MADE TAP RECONNECTED SERVICE BACKFILLED WITH BASE & OIL TEMP JOB LEFT SAFE.",33.7848667,-118.2431798
42784,MAIN,6-Jan-10,963 NORDICA DR,,337' W/W PALMERO DR,4,C.I.,1927,45509,,1,,,,,DOSE ARIAS,152-219,2,8,"CORP. VALVE  BLEW OUT OF 4"" CAST IRON MAIN, SERVICE WAS IN PROCESS OF BEING RETAPPED TO NEW 6"" DI WATER MAIN.",34.11313447,-118.2192542
41665,MAIN,6-Jan-10,739 N. LA BREA AVE,32' E/W LABREA AVE,378' N/N MELROSE AVE,6,C.I.,1922,30664,,1,,,,,J CASTRUITA,142-183,4.5,13.5,"SET UP TRAFFIC, REMOVED PLATE FROM EXCAVATION, EXCAVATED AROUND MAIN, REMOVED CORPORATION VALVE TO INSTALL REPAIR CLAMP, BACKFILLED AND CLEANED UP LEFT JOB SAFE.",34.08457261,-118.3441098
41664,MAIN,6-Jan-10,11450 CHENAULT ST,19 N/S CHENAULT ST,476 W/W BELOIT AVE,6,D.I.,,,CLAMP,1,,,,,M. SPEARS,134-147,3,12,CREW FOUND A LEAK AT THE MECH CLPG FOR BLOW OFF. CREW R&R THAT BROKE NMECH,34.06131383,-118.4608202
41662,MAIN,6-Jan-10,2209 VIRGINIA RD,23 E/W VIRGINIA RD,196 N/N 23RD ST,4,C.I.,1915,21480,SPLIT,1,,,,,J JIMENEZ,124-183,6,12,"FOUND SPLIT ON 4"" CI WM W/ 1-1"" SERVICE INVOLVED, REPAIRS COMPLETE",34.03626576,-118.3369815
41345,MAIN,7-Jan-10,INTERSTATE LENNOX AV & VOSE ST,1000' S CL SHERMAN WAY,150' W CL VOSE ST,6,C.I.,,,ROUND CRACK,1,,,,,CRUZ,184-150,8,16,STREET TRAFFIC. MADE WORK AREA SAFE. BACKFILLED WITH 20 YARDS OF SAND 20 YARDS OF BASE AND 10 YARDS OF TEMP ASPHALT & OIL. CLEANED UP EXCESS DEBRIS ON STREET. PICK UP TRAFFIC AND ALL EXCESS DELINEATION. LEFT JOB SAFE.,,
42979,MAIN,7-Jan-10,917 ALEGRE PL.,,100' N/N PALMERO DR.,2,COPPER,1953,70890,,1,,,,,MCCALL,154-219,9,18,"SET UP TRAFFIC, INVESTIGATED LEAK BROKE OUT ASPHALT, EXCAVATED, FOUND HOLE IN MAIN. REPLACED SECTION ON MAIN.",34.11449448,-118.2214067
41666,MAIN,7-Jan-10,5638 BRIARCLIFF RD,11 W/E BRIARCLIFF RD,500 S/S VERDE OAK DR,4,STEEL,1924,34659,,1,,,,C,R. GONZALES,152-192,8,16,"FOUND LEAK ON 4"" STL MAIN AT ABOW CORP STOP USED PLUG TO MAKE REPAIRS",34.10878255,-118.3134566
41672,MAIN,8-Jan-10,1025 S VICTORIA AV,W SIDE VICTORIA AV,150 S/S OLYMPIC,,,,,,1,,,,,AUBREY,132-189,8.5,25.5,"LOCATE, EXCAVATE, REMOVE & INSTALL CLAMPED REPAIR CLAMP. BACKFILL TEMP.",34.05431023,-118.3246246
60545,MAIN,10-Jan-10,2107 S. DENKER AVE,W DENKER AVE,125' S/S 211TH ST,8,C.I.,1949,67019,RUPTURE,1,,,NONE,SANDY LOAM,KELLY,052-195,15,60.5,"LARGE RUPTURE IN 8"" C.I. MAIN. CUT IN 10 FEET OF 8"" DI PIPE W/ 2 MECHANICAL COUPLINGS; CLEANED UP AREA AND PUT TEMP OIL IN (3) DRIVEWAYS",33.83780331,-118.3039166
43044,MAIN,11-Jan-10,4720 TOLAND WAY,22' N/S TOLAND WAY,86' W/W ARMADALE AVE.,6,C.I.,1926,42998,CLAMP,1,,,,CLAY,CHESTERTON,154-222,,,"360 REPAIR HAD SMALL LEAK, TIGHTEN IT UP AND IT WAS HOLDING BACK FILLED.",34.11971037,-118.2135985
43045,MAIN,11-Jan-10,4720 TOLAND WAY,22' N/S TOLAND WAY,73' W/W ARMADALE AVE.,6,C.I.,1926,42998,SPLIT,1,,,,CALY,CHESTERTON,154-222,,,"10"" SMALL SPLIT, CUT IN 30"" PIECE.",34.11967837,-118.2135773
41962,MAIN,11-Jan-10,639 S.COMMONWEALTH,23' E/W S. COMMONWEALTH AVE,75' S/S 6TH ST,6,C.I.,1927,44657,SPLIT,1,,,BAD,CLAY,PRECIADO,134-201,4,8,"FOUND SMALL SPLIT AT BOTTOM OF 6"" MAIN INSTALLED 1-360 DEGREE CLAMP & BACKFILLED WITH CON ROCK ALSO LEAD OUT 1-3/4"" SERVICE.",34.06338669,-118.2857078
39937,MAIN,11-Jan-10,3392 FLOYD TERRACE,13' S/CL FLOYD TERRACE,97' W/CL VELMA DR,6,C.I.,1958,78110,SPLIT,1,,,,,OBREGON,160-183,11,33,"FOUND SPLIT, CUT IN 30"" OF 6"" CI PIPE, BACKFILLED, CLEAN AREA, JOB COMPLETE",34.13394465,-118.3444146
41674,MAIN,11-Jan-10,108 S LAS PALMAS AV,20' E/W LAS PALMAS AV,75' S/S 1ST ST,6,C.I.,1924,35161,ROUND CRACK,1,,,,C,R. GONZALES,138-186,5,10,"FOUND ROUND CRACK ON 6"" CI MAIN USED 6X12 CLAMP FOR REPAIR",34.07329145,-118.3358943
60546,MAIN,11-Jan-10,240 W. 84TH PL.,19' N/S 84TH PL,182' E/E BROADWAY,6,C.I.,1924,34993,RUST HOLE,1,,,,LOAM,REYES,098-201,9,18,"SET UP TRAFFIC DELINEATION, EXCAVATED 3X 6 SECTION, LOCATED LEAK. INSTALLED 6""X 12"" 360 DEGREE CLAMP. BACKFILLED WITH CON-ROCK AND 6"" OF TEMP OIL. PICK UP TRAFFIC & LEFT SITE CLEAN & SAFE.",33.96233167,-118.2775099
41959,MAIN,11-Jan-10,3350 SAN FERNANDO RD,,405' S/S TREADWELL,8,D.I.,1928,46348,RUBBER,1,,,,,HOOVER,154-210,8,16,"INSTALLED 16"" BELL CLAMP TO REPAIR LEAK.",34.11849237,-118.2495146
41676,MAIN,12-Jan-10,101 S RIDGEWOOD,W SIDE RIDGEWOOD,26 S/S 1ST ST,4,C.I.,1915,22577,,1,,,,C,C,138-192,4,12,"4"" CI MAIN REPAIR. BACKFILL. TEMP. NEED TO PICK UP MUD AND ASPHALT AT THIS LOCATION PICK UP MADE SAFE.",34.07287962,-118.3145861
41677,MAIN,12-Jan-10,1804 PREUSS RD,W/SIDE PREUSS RD,80' S/S 18TH ST,6,C.I.,1925,41026,,1,,,,C,AUBREY,128-171,4,12,"6"" CI MAIN REPAIR. BACKFILL & TEMP",34.04616331,-118.3852043
41966,MAIN,12-Jan-10,577 N. KENMORE AV,,35' S/S CLINTON ST,6,C.I.,1923,31430,RUST HOLE,1,,,,,SOLIS,140-198,,,"DRILL HOLES, EXCAVATE FOUND LEAK; INVOLVE INSERT CORP. 1"". ALSO SPLIT REPLACE 24"" OF 6"" CI W/6"" D.I. PIPE. 1""X 6"" SADDLE FOR SERV AND CORP.",34.08103816,-118.296707
39941,MAIN,12-Jan-10,3151 CAHUENGA BLVD,W/CL CAHUENGA BLVD,50' S/CL BARBARA CT,8,C.I.,1934,38844,ROUND CRACK,1,,,,,GARCIA,158-180,,,"FOUND LEAK ON 8"" CI MAIN, MADE REPAIRS. FLUSHED MAIN. BACKFILLED & CLEANED UP AREA.",34.12787864,-118.3467232
41964,MAIN,12-Jan-10,800 CESAR CHAVEZ,20' NS CESAR CHAVEZ,192' W/W BUNKER HILL AVE,8,C.I.,,,,1,,,,,PRECIADO,134-213,12,24,"UPON ARRIVAL NOTICE GOOD AMOUNT OF ST. DAMAGE. INSTALLED 12FT OF 8"" DI PIE & TWO 8"" DRESSERS. SLURRY BACKFILLED & PAVE.",34.06162698,-118.2452032
60547,MAIN,13-Jan-10,7003 S. MADDEN AVE,6' SS 70TH ST,20' EW MADDEN AVE,4,C.I.,1924,34138,RUPTURE,1,,,,,LUCERO,102-189,11.5,22.5,"ARRIVED ON JOB, SET UP TRAFFIC LOCATED LEAK, BROKE OUT AND EXCAVATED, MADE REPAIR, BACKFILLED AND TEMPED CLEANED UP, LEFT JOB SAFE.",33.97627377,-118.3255519
41682,MAIN,13-Jan-10,2222 VERDE OAK DR,15 W/E VERDE OAK DR,738 N/W BRIARCLIFF RD,6,STEEL,1923,34123,,1,,,,,R. GONZALES,152-192,4.5,13.5,"FOUND LEAK ON CORP STOP ON 6"" STL TURNED OF TO STOP LEAK ABONDAND SERVICE",34.11042446,-118.3120983
39943,MAIN,13-Jan-10,3809 RHODES AVE,4' W/CL RHODES AVE,822' S/CL LAUREL TERRACE DR,4,C.I.,,,"JOINT, RUST HOLE",1,,,,,CRUZ,162-165,5.5,11,"STOPPED LEAK AT 4"" CI MAIN & RE HOOKED UP 1"" SERVICE",34.13944764,-118.4031118
41968,MAIN,13-Jan-10,810 S. ALAMEDA ST,,179' S/S 8TH ST,6,C.I.,,,ROUND CRACK,1,,,,,MCCALL,122-213,10.5,21,"SET UP TRAFFIC. INVESTIGATED LEAK. DRILLED HOLES PIN POINTED LEAK EXCAVATED FOUND ROUND CRACK ON PIPE. PIPE WAS ENCASED IN CONCRETE, BROKE CONCRETE AROUND PIPE AND PLACED A REPAIR CLAMP OVER LEAK.",34.02950861,-118.2390229
39945,MAIN,14-Jan-10,3151 CAHUENGA BLVD,W/CL CAHUENGA BLVD,50' S/CL BARBARA CT,8,C.I.,,,RUST HOLE,1,,,,,GARCIA,158-180,,,"FOUND LEAK ON 8"" CI MAIN. MADE REPAIRS UNABLE TO SHUT-OFF WATER TILL 5PM TO ACCOMADATE BUSINESSES. FLUSHED MAIN. BACKFILLED & CLEANED UP AREA.",34.12787864,-118.3467232
39947,MAIN,14-Jan-10,3949 LAUREL GROVE AVE,6' W/CL LAUREL GROVE AVE,109' S/CL VENTURA BLVD,8,C.I.,1959,78106,SPLIT,1,,,,CLAY,OBREGON,164-165,12,60,"CUT IN 20' OF 8"" DI PIPE. BACKFILLED, STREET MAINT. NEEDS TO REPLACE STREET 80'X30'X6""",34.14277149,-118.4008119
41684,MAIN,14-Jan-10,11922 WESTMINSTER PL,S/SIDE WESTMINSTER PL,48 E/E STONER AVE,4,C.I.,1946,69585,ROUND CRACK,1,,,,,M. SPEARS,116-156,8,8,"REPAIRED 4"" ROUND CRACK LEAK WITH 4X12 360 CLAMP",34.01230166,-118.4324817
41711,MAIN,14-Jan-10,1802 ALSACE AV,21 W/E PICKFORD ST,70 N/N REDONDO,6,C.I.,,52518,ROUND CRACK,1,,,,,J JIMENEZ,128-180,,,"FOUND ROUND CRACK ON 6"" CI WM, REPAIRED W/ 6X12 REPAIR CLAMP.",34.04349963,-118.3509179
41712,MAIN,14-Jan-10,3377 LAS FLORES CT,W SIDE LAS FLORES CT,106 N/N VENICE BL,2,C.I.,1922,69558,RUST HOLE,1,,,,C,DAVID A AUBREY,114-189,5,13,FOUND MAIN LEAK AFTER SV REPAIR. BACKFILL & TEMP.,,
39949,MAIN,14-Jan-10,4171 WILKINSON AVE,10 W/CL WILKINSON AVE,64 S/CL VALLEY SPRING,6,C.I.,1969,88282,SPLIT,1,,,,,LOPEZ,164-165,8.5,46,"REPLACED 77"" OF 6"" CI WM. CUT IN 6"" DI W/2-MECH COUPLGS. MADE SAFE & RETAPED 1-SERVICE #1 TO 3/4 SERV #3029399",34.14655946,-118.4041726
60548,MAIN,15-Jan-10,240 W 84TH PLACE,18' N/S 84TH PLACE,186' E/E BROADWAY,6,C.I.,1924,34993,SPLIT,1,,,RUST,CLAY,BRONKO ANDERSON,098-201,7,14,"FOUND SMALL SPLIT IN 6"" C.I. MAIN. MADE REPAIRS WITH 360 DEGREE REPAIR CLAMP BACKFILLED JOB AND COMPLETED.",33.96233167,-118.2774994
41367,MAIN,15-Jan-10,6060 COLFAX AVE,37' S CL CALVERT ST,37' W CL COLFAX AVE,6,C.I.,,,ROUND CRACK,1,,,BAD,SILT,OBREGON,178-168,,,"FOUND ROUND CRACK NEXT TO CORY CLAMP. CUT OUT CORY CLAMP, INSTALLED 3' OF 6"" D.I. PIPE.",34.18112151,-118.3877983
41713,MAIN,15-Jan-10,5680 VALLEY OAK DR,N/S VALLEY OAK DR,,4,STEEL,,,,1,,,,,M HUGHES,152-192,7,14,"NEEDS TEMP, PAVE.",34.10954338,-118.3131068
41970,MAIN,15-Jan-10,1906 ESCARPA DR,7' EW ESCARPA RD,97' NN CAMPUS RD L/E,6,C.I.,1933,52472,SPLIT,1,,,,,CHESTERTON,158-222,,,"FOUND SMALL SPLIT ON BOTTOM NEXT TO BELL CUT OUT BELL PUT IN 24"" CP DI.",34.13070966,-118.2091586
41715,MAIN,15-Jan-10,YUCCA ST,,14 E/W MCCADDEN PL,4,C.I.,,,JOINT,1,,,,,C KIRKLAND,148-183,4.5,18,"CREW REMOVED LEAKING TEE. JOB COMPLETE, LEFT JOB PLATED FOR POWER CREW",34.10315807,-118.3374638
41718,MAIN,15-Jan-10,5076 PICKFORD ST,21 N/S PICKFORD ST,9 E/W ALSACE AVE,6,C.I.,,18,,1,,,N/A,B,T.SMITH,128-180,8,16,"LOCATE LEAK, DUG OUT, INSTALLED 6X12 CLAMP. BACKFILLED EXCAVATION. STREET SERVICES TO PAVE.",34.04348254,-118.3508533
41930,MAIN,17-Jan-10,5512 MONTE VISTA ST,14' N/S MONTEVISTA,200' W/W AVE 56,8,C.I.,1937,54820,ROUND CRACK,1,,,OK,CLAY,PRECIADO,152-228,16,8,FOUND ROUND CRACK ON MAIN. INSTALLED ONE 360 DEGREE CLAMP.,34.11075585,-118.1963949
41971,MAIN,19-Jan-10,4200 W. MELROSE BL,7' N/S MELROSE AVE,26' E/W BERENDO ST,6,C.I.,1916,23348,SPLIT,1,,,,,SOLIS,142-198,,,"REMOVE 7' OF 6"" C.I. / INSTALL 7' OF 6"" D.I.",34.08351998,-118.2940818
41740,MAIN,20-Jan-10,249 S IRVING,W SIDE IRVING,307 N/N 3RD ST,6,C.I.,1975,92337,,1,,,,C,DAVID A AUBREY,136-189,5,13,"LOCATE, EXCAVATE, REMOVE & INSTALL 5.5 OF DI PIPE 6"". BACKFILL & TEMP. MUD CLEAN UP.",34.06992595,-118.318416
41744,MAIN,21-Jan-10,10532 GARWOOD PL,S/ GARWOOD PL,230 EE THAYER AVE,6,C.I.,1948,66251,SPLIT,1,,,BAD,ADOBE,WASHINGTON,136-156,5,15.5,"FOUND BAD SPLIT ON 4"" CI MAIN MADE SHUT OFF 1 GATE DUGOUT INSTALLED 4' OF 4"" DI & CPLGS NEED LARGE PICK UP & OIL ONLY",34.0682252,-118.4346267
60550,MAIN,22-Jan-10,2609  HYDE PARK BLVD,22' S/N HYDE PARK BLVD,132' E/E 5TH AVE,6,,1924,33920,RUST HOLE,1,,,RUST,CLAY,KIRKSEY,104-189,9.5,17.5,"FOUND 4' HOLE ON TOP OF 6"" CI CUT & REMOVED 68 1/2"" CI INSTALLED 68"" 6""DI W/2 EA MECH COUPLING BACKFILLED WITH BASE DUE TO HEAVY RAIN LEFT SAFE WITH BARRICADES AND CAUTION TAPE.",33.98197398,-118.3220961
41745,MAIN,22-Jan-10,10929 PICO BLVD,W/ PICO BLVD,14 E/E KELTON AVE,6,C.I.,1923,31348,ROUND CRACK,1,,,BAD,ADOBE,WASHINGTON,126-156,6,16,REPAIRED ROUND CRACK WITH 4X8 360 CLAMP MADE PICK UP & CLEAN UP BACKFILL COMPLETE,34.03932974,-118.4303616
60549,MAIN,22-Jan-10,2719 HYDE PARK BLVD,43' E/E 6TH AVE,22' S/N HYDE PARK BLVD,6,C.I.,1924,33980,RUPTURE,1,,,,,FLOWERS,104-189,8,16,"FOUND LARGE RUPTURE ON A 6"" CI PIPE, APPROXIMATELY 2' LONG MADE REPAIRS BY CUTTING OUT AND INSTALLING 4' OF 6"" DI PIPE WITH TWO 6"" MECH CPLGS.",33.98139478,-118.323331
41746,MAIN,23-Jan-10,5842 LA MIRADA AVE,19' N/S LA MIRADA AVE,175' E/E BRONSON AVE,6,C.I.,1925,35718,SPLIT,1,,,,,E. ALVAREZ,146-189,12.5,25,"SET UP TRAFFIC, LOCATED MAIN. LOCATED LEAK, EXCAVATED, MADE REPAIR, BACKFILLED, TAMPED, CLEANED UP DRIVEWAYS, PICKED UP TRAFFIC SET UP. LEFT JOB SAFE.",34.09372892,-118.3172252
60551,MAIN,23-Jan-10,9149 LA SALLE,19' E/W LA SALLE,94' N/N 92ND STREET,6,C.I.,1927,43988,"SPLIT, RUPTURE",1,,,RUST,CLAY,BRONKO ANDERSON,094-195,,,"FOUND RUPTURE IN 6"" C.I. MAIN, MADE REPAIRS BY CUTTING IN A 3 FOOT PIECE OF DI PIPE WITH TOW MECH COUPLINGS.",33.95307802,-118.3057773
42980,MAIN,23-Jan-10,853 S. HOBART,212' W/W HOBART,25' S/N JAMES WOOD,8,C.I.,1929,47894,SPLIT,1,,,,,,132-195,10,40,"ARRIVED AT 7:30AM. SET UP TRAFFIC CONES, BARRICADED, EXCAVATED 10'X15' REPAIRED 8"" MAIN WITH 2 MECH COUPLING AND 1-4"" 360 REPAIR CLAMP.",34.05590195,-118.306152
41755,MAIN,23-Jan-10,4084 7TH ST,17 S/N PROPERTY,106 E/E NORTON AVE,4,C.I.,1906,9357,,1,,,,,T. BLACK,134-189,9,18,"SET UP TRAFFIC, MADE SITE SAFE. LOCATE LEAK BREAK AND CG FOUND CORP SEPERATED FROM MAIN. PUT ON VENTED CLAMP NEW CORP RECONNECT COPPER BACKFILL CLEAN-UP MAKE SITE SAFE.",34.0599183,-118.3171304
42981,MAIN,23-Jan-10,3200 WARWICK AVE.,?' N/W WARWICK AVE.,28' W/W CRONUS ST.,6,C.I.,1922,29998,ROUND CRACK,1,,,BAD,CLAY,PRECIADO,142-234,8.5,17,"FOUND ROUND CRACK ON 6"" MAIN. INSTALLED ONE 360 CLAMP, BACKFILLED WITH CON-ROCK AND TEMP. CLEAN JOB SET.",34.0831342,-118.1679251
60553,MAIN,23-Jan-10,2719 HYDE PARK BLVD,23' E/E 6TH AVE,22' S/N HYDE PARK BLVD,6,C.I.,1924,33980,RUPTURE,1,,,,SANDY,FLOWERS,104-189,5,5,"FOUND A LARGE RUPTURE ON A 6"" CI PIPE APPROXIMATELY 2' LONG MADE REPAIRS BY CUTTING OUT INSTALLING 5' OF 6"" DI PIPE WITH TWO 6"" MECH CPLGS",33.98136529,-118.3233939
60552,MAIN,23-Jan-10,149TH ST & ESTRELLA AV,W OF ESTRELLA AV,0' N OF 149TH STREET,6,C.I.,1949,66713,ROUND CRACK,1,,,,,KELLY,074-201,12,31,"REPAIRED ROUND CRACK ON 6"" C.I. WATER MAIN. PLACED ONE 6""X 12"" 360 DEGREE REPAIR CLAMP.",33.89677917,-118.2857632
41751,MAIN,23-Jan-10,1951 HILLCREST RD,W/S HILLCREST RD,700 N/N FRANKLIN AVE,8,C.I.,1929,48771,,1,,,,,M. SPEARS,150-183,8,24,"CUT IN 10' OF DI PIPE 8"" TO REPAIR MAIN LEAK.",34.10624106,-118.3396883
42982,MAIN,25-Jan-10,241 TERRACE 52,20' S/S TERRACE 52,5' W/E TERRACE 52,2,STEEL,1925,35686,,1,,,,,PRECIADO,150-228,15.5,31,"THIS 2"" GALV. MAIN HAD SEVERAL LEAK. REPLACED 20' WITH COPPER TUBING. CONNECTED INTO GALV. MAIN. SOME WATER DAMAGE TO 241 TERRACE 52.",34.10475569,-118.1965544
60554,MAIN,25-Jan-10,10520 S. FIGUEROA ST,93' N/N 106TH,27' W/E FIGUEROA,6,C.I.,1924,33114,SPLIT,1,,,RUST,CLAY,KIRKSEY,090-201,6,13,"BROKE OUT & EXCAVATED FOUND SPLIT ON 6"" CI @ 1 1/2 TAP CUT & REMOVED 6' CI W/TAP INSTALLED 6' DI W/2 EA MECH COUPLINGS, 6X 1 1/2"" SADDLE, 3' 1 1/2"" COPPER, 1 1/2"" COMP COUPLING. BACKFILLED W/ SAND, BASE, OIL TEMP LEFT JOB SAFE.",33.94043121,-118.282522
60555,MAIN,25-Jan-10,948 MC DONALD AVE,6' E/E MC DONALD AVE,17' N/S OPP ST,6,C.I.,1925,35879,ROUND CRACK,1,,,,,BROWN,032-204,9,17,"SET UP TRAFFIC FOR SAFETY OF CREW AND PUBLIC. DRILLED HOLES, LOCATED LEAK, BROKE OUT , DUG DOWN TO THE MAIN. FOUND ROUND CRACK. INSTALLED REPAIR CLAMP. BACKFILLED AND TEMPED EXCAVATION LEFT SITE SAFE.",33.782397,-118.2710435
41768,MAIN,25-Jan-10,8188 MELROSE AVE,23' S/N MELROSE AVE,73' E/E KILKEA PL,8,C.I.,1923,31122,CLAMP,1,,,,SANDY LOAM,C. SCHWEINBOLD,142-174,9,27,"REPLACED BROKEN VENTED CLAMP WT NEW ONE & NEW 1"" CORP. REHOOKED UP SERV LAT FLUSHED SERV BACKFILLED, TAMPED, & OILED. HELP MAKE PICK-UP. CLEANED AREA UP.",34.08378496,-118.3665955
43241,MAIN,25-Jan-10,BALMORAL LN.,10' S/C BALMORAL LN.,20' E/C GREEN VISTA CIR.,8,,1961,80763,SPLIT,1,,,NONE,ADOBE,NINE,184-093,8,32,,34.19766441,-118.6405339
