agency_unique,swcrb_name,supplier_name_proper,supplier_name_slug,hydrologic_region,hydrologic_region_slug,june_5_reduction_target,march_1_reduction_target,cumulative_reduction_percent,reached_reduction_target,stress_test_reduction_target
485,Carpinteria Valley Water District,carpinteria valley water district,carpinteria-valley-water-district,Central Coast,central-coast,0.2,0.2,0.268,TRUE,0
495,Casitas Municipal Water District,casitas municipal water district,casitas-municipal-water-district,South Coast,south-coast,0.32,0.32,0.219,FALSE,0
496,Castaic Lake Water Agency Santa Clarita Water Division,castaic lake water agency santa clarita water division,castaic-lake-water-agency-santa-clarita-water-division,South Coast,south-coast,0.32,0.28,0.281,FALSE,0
2832,Citrus Heights Water District,citrus heights water district,citrus-heights-water-district,Sacramento River,sacramento-river,0.32,0.29,0.343,TRUE,0
13,Adelanto City of,city of adelanto,city-of-adelanto,South Lahontan,south-lahontan,0.2,0.16,0.159,FALSE,NULL
30,Alhambra City of,city of alhambra,city-of-alhambra,South Coast,south-coast,0.24,0.22,0.23,FALSE,0
57,American Canyon City of,city of american canyon,city-of-american-canyon,San Francisco Bay,san-francisco-bay,0.2,0.16,0.258,TRUE,0
64,Anaheim City of,city of anaheim,city-of-anaheim,South Coast,south-coast,0.2,0.13,0.22,TRUE,0
66,Anderson City of,city of anderson,city-of-anderson,Sacramento River,sacramento-river,0.36,0.33,0.201,FALSE,0
82,Antioch City of,city of antioch,city-of-antioch,San Joaquin River,san-joaquin-river,0.28,0.27,0.3,TRUE,0
93,Arcadia City of,city of arcadia,city-of-arcadia,South Coast,south-coast,0.36,0.34,0.265,FALSE,0
94,Arcata City of,city of arcata,city-of-arcata,North Coast,north-coast,0.08,0.04,0.044,TRUE,0
99,Arroyo Grande City of,city of arroyo grande,city-of-arroyo-grande,Central Coast,central-coast,0.28,0.28,0.357,TRUE,NULL
110,Atwater City of,city of atwater,city-of-atwater,San Joaquin River,san-joaquin-river,0.36,0.33,NULL,NULL,NULL
117,Azusa City of,city of azusa,city-of-azusa,South Coast,south-coast,0.2,0.18,0.2,FALSE,0.03
123,Bakersfield City of,city of bakersfield,city-of-bakersfield,Tulare Lake,tulare-lake,0.36,0.31,0.274,FALSE,0.09
,Banning City of,city of banning,city-of-banning,Colorado River,colorado-river,0.32,0.28,0.27,FALSE,0
178,Benicia City of,city of benicia,city-of-benicia,San Francisco Bay,san-francisco-bay,0.2,0.2,0.381,TRUE,0
193,Beverly Hills City of,city of beverly hills,city-of-beverly-hills,South Coast,south-coast,0.32,0.32,0.188,FALSE,0
198,"City of Big Bear Lake, Dept of Water & Power",city of big bear lake dept of water power,city-of-big-bear-lake-dept-of-water-power,South Coast,south-coast,0.16,0.13,0.109,FALSE,0
241,Blythe City of,city of blythe,city-of-blythe,Colorado River,colorado-river,0.32,0.28,0.133,FALSE,0
262,Brawley City of,city of brawley,city-of-brawley,Colorado River,colorado-river,0.32,0.24,0.421,TRUE,0
263,Brea City of,city of brea,city-of-brea,South Coast,south-coast,0.24,0.24,0.202,FALSE,0.15
264,Brentwood City of,city of brentwood,city-of-brentwood,San Joaquin River,san-joaquin-river,0.32,0.28,0.391,TRUE,0
283,Buena Park City of,city of buena park,city-of-buena-park,South Coast,south-coast,0.2,0.13,0.221,TRUE,0
285,Burbank City of,city of burbank,city-of-burbank,South Coast,south-coast,0.24,0.22,0.253,TRUE,0
286,Burlingame City of,city of burlingame,city-of-burlingame,San Francisco Bay,san-francisco-bay,0.16,0.16,0.291,TRUE,0
353,Calexico City of,city of calexico,city-of-calexico,Colorado River,colorado-river,0.2,0.16,NULL,NULL,NULL
,California City City of,city of california city,city-of-california-city,South Lahontan,south-lahontan,0.36,0.28,0.067,FALSE,NULL
,,city of california water service company dixon,city-of-california-water-service-company-dixon,Sacramento River,sacramento-river,0.28,0.24,0.29,TRUE,0
443,Camarillo City of,city of camarillo,city-of-camarillo,South Coast,south-coast,0.2,0.2,0.21,TRUE,0.03
522,Ceres City of,city of ceres,city-of-ceres,San Joaquin River,san-joaquin-river,0.28,0.26,0.24,FALSE,0.13
524,Cerritos City of,city of cerritos,city-of-cerritos,South Coast,south-coast,0.28,0.21,0.213,FALSE,0
545,Chino City of,city of chino,city-of-chino,South Coast,south-coast,0.24,0.21,0.189,FALSE,0
547,Chino Hills City of,city of chino hills,city-of-chino-hills,South Coast,south-coast,0.28,0.28,0.254,FALSE,0
574,Clovis City of,city of clovis,city-of-clovis,Tulare Lake,tulare-lake,0.36,0.33,0.297,FALSE,0
575,Coachella City of,city of coachella,city-of-coachella,Colorado River,colorado-river,0.24,0.2,0.242,TRUE,0
596,Colton City of,city of colton,city-of-colton,South Coast,south-coast,0.2,0.18,0.148,FALSE,0
607,Compton City of,city of compton,city-of-compton,South Coast,south-coast,0.08,0.08,0.122,TRUE,NULL
618,Corcoran City of,city of corcoran,city-of-corcoran,Tulare Lake,tulare-lake,0.36,0.32,0.299,FALSE,0
624,Corona City of,city of corona,city-of-corona,South Coast,south-coast,0.28,0.28,0.19,FALSE,0
644,Covina City of ,city of covina,city-of-covina,South Coast,south-coast,0.28,0.26,0.219,FALSE,0.12
649,Crescent City City of,city of crescent city,city-of-crescent-city,North Coast,north-coast,0.16,0.16,0.163,TRUE,0
673,Daly City City of,city of daly city,city-of-daly-city,San Francisco Bay,san-francisco-bay,0.08,0.08,0.122,TRUE,0.04
678,Davis City of,city of davis,city-of-davis,Sacramento River,sacramento-river,0.28,0.25,0.263,FALSE,0
711,Delano City of,city of delano,city-of-delano,Tulare Lake,tulare-lake,0.24,0.21,0.198,FALSE,0
737,Dinuba City of,city of dinuba,city-of-dinuba,Tulare Lake,tulare-lake,0.32,0.29,NULL,NULL,0
748,Downey City of,city of downey,city-of-downey,South Coast,south-coast,0.2,0.14,0.202,TRUE,0
4696,East Palo Alto City of,city of east palo alto,city-of-east-palo-alto,San Francisco Bay,san-francisco-bay,0.08,0.08,0.241,TRUE,NULL
814,El Centro City of,city of el centro,city-of-el-centro,Colorado River,colorado-river,0.24,0.2,0.129,FALSE,0
821,El Monte City of,city of el monte,city-of-el-monte,South Coast,south-coast,0.08,0.08,0.124,TRUE,0
827,El Segundo City of,city of el segundo,city-of-el-segundo,South Coast,south-coast,0.2,0.2,0.033,FALSE,0.02
851,Escondido City of,city of escondido,city-of-escondido,South Coast,south-coast,0.2,0.12,0.267,TRUE,0.06
859,Eureka City of,city of eureka,city-of-eureka,North Coast,north-coast,0.12,0.04,0.128,TRUE,0
863,Exeter City of,city of exeter,city-of-exeter,Tulare Lake,tulare-lake,0.36,0.34,0.26,FALSE,0.21
