agency_unique,swcrb_name,supplier_name_proper,supplier_name_slug,hydrologic_region,hydrologic_region_slug,june_5_reduction_target,march_1_reduction_target,cumulative_reduction_percent,reached_reduction_target,stress_test_reduction_target
2341,South Gate City of,city of south gate,city-of-south-gate,South Coast,south-coast,0.12,0.08,0.111,FALSE,0
2345,South Pasadena City of,city of south pasadena,city-of-south-pasadena,South Coast,south-coast,0.28,0.26,0.277,FALSE,0
2381,Stockton City of,city of stockton,city-of-stockton,San Joaquin River,san-joaquin-river,0.28,0.26,0.267,FALSE,0
2425,Sunnyvale City of,city of sunnyvale,city-of-sunnyvale,San Francisco Bay,san-francisco-bay,0.16,0.16,0.281,TRUE,0.05
2432,Susanville City of,city of susanville,city-of-susanville,North Lahontan,north-lahontan,0.36,0.33,0.277,FALSE,0
2451,Tehachapi City of,city of tehachapi,city-of-tehachapi,Tulare Lake,tulare-lake,0.28,0.25,0.252,FALSE,NULL
2469,Thousand Oaks City of,city of thousand oaks,city-of-thousand-oaks,South Coast,south-coast,0.28,0.26,0.287,TRUE,0
2487,Torrance City of,city of torrance,city-of-torrance,South Coast,south-coast,0.2,0.19,NULL,NULL,0
4699,Tracy City of,city of tracy,city-of-tracy,San Joaquin River,san-joaquin-river,0.28,0.25,0.269,FALSE,0
2516,Tulare City of,city of tulare,city-of-tulare,Tulare Lake,tulare-lake,0.32,0.3,0.215,FALSE,0
2524,Turlock City of,city of turlock,city-of-turlock,San Joaquin River,san-joaquin-river,0.32,0.29,0.257,FALSE,0.16
2528,Tustin City of,city of tustin,city-of-tustin,South Coast,south-coast,0.28,0.21,0.255,FALSE,0
2536,Ukiah City of,city of ukiah,city-of-ukiah,North Coast,north-coast,0.2,0.2,NULL,NULL,0
2541,Upland City of,city of upland,city-of-upland,South Coast,south-coast,0.36,0.34,0.269,FALSE,0
2597,Vacaville City of,city of vacaville,city-of-vacaville,Sacramento River,sacramento-river,0.32,0.25,0.191,FALSE,0
2603,Vallejo City of,city of vallejo,city-of-vallejo,San Francisco Bay,san-francisco-bay,0.16,0.16,0.187,TRUE,0
2633,Vernon City of,city of vernon,city-of-vernon,South Coast,south-coast,0.08,0.08,0.096,TRUE,0
2662,Wasco City of,city of wasco,city-of-wasco,Tulare Lake,tulare-lake,0.36,0.32,0.215,FALSE,0.17
2669,Watsonville City of,city of watsonville,city-of-watsonville,Central Coast,central-coast,0.2,0.2,0.21,TRUE,0
2683,West Sacramento City of,city of west sacramento,city-of-west-sacramento,Sacramento River,sacramento-river,0.28,0.25,0.314,TRUE,0
2704,Westminster City of,city of westminster,city-of-westminster,South Coast,south-coast,0.2,0.13,0.181,FALSE,0
2723,Whittier City of,city of whittier,city-of-whittier,South Coast,south-coast,0.2,0.17,0.196,FALSE,0
2766,Woodland City of,city of woodland,city-of-woodland,Sacramento River,sacramento-river,0.24,0.2,0.299,TRUE,0
2789,Yreka City of,city of yreka,city-of-yreka,North Coast,north-coast,0.32,0.3,0.161,FALSE,0
2790,Yuba City City of,city of yuba city,city-of-yuba-city,Sacramento River,sacramento-river,0.32,0.28,0.265,FALSE,0.15
577,Coachella Valley Water District,coachella valley water district,coachella-valley-water-district,Colorado River,colorado-river,0.36,0.32,0.248,FALSE,0
583,Coastside County Water District,coastside county water district,coastside-county-water-district,San Francisco Bay,san-francisco-bay,0.08,0.08,0.207,TRUE,0
613,Contra Costa Water District,contra costa water district,contra-costa-water-district,San Francisco Bay,san-francisco-bay,0.28,0.25,0.346,TRUE,0
652,Crescenta Valley Water District,crescenta valley water district,crescenta-valley-water-district,South Coast,south-coast,0.2,0.18,0.263,TRUE,0
654,Crestline Village Water District,crestline village water district,crestline-village-water-district,South Lahontan,south-lahontan,0.08,0.08,0.221,TRUE,0
664,Cucamonga Valley Water District,cucamonga valley water district,cucamonga-valley-water-district,South Coast,south-coast,0.32,0.3,0.255,FALSE,0
,Del Oro Water Company,del oro water company,del-oro-water-company,Sacramento River,sacramento-river,0.24,0.21,0.385,TRUE,0
727,Desert Water Agency,desert water agency,desert-water-agency,Colorado River,colorado-river,0.36,0.32,0.259,FALSE,0
731,Diablo Water District,diablo water district,diablo-water-district,San Joaquin River,san-joaquin-river,0.28,0.23,0.309,TRUE,0
,Discovery Bay Community Services District,discovery bay community services district,discovery-bay-community-services-district,San Joaquin River,san-joaquin-river,0.32,0.29,0.362,TRUE,0
759,Dublin San Ramon Services District,dublin san ramon services district,dublin-san-ramon-services-district,San Francisco Bay,san-francisco-bay,0.12,0.12,0.357,TRUE,0
775,East Bay Municipal Utilities District,east bay municipal utilities district,east-bay-municipal-utilities-district,San Francisco Bay,san-francisco-bay,0.16,0.16,0.236,TRUE,0
784,East Niles Community Service District,east niles community service district,east-niles-community-service-district,Tulare Lake,tulare-lake,0.36,0.33,0.29,FALSE,0
785,East Orange County Water District,east orange county water district,east-orange-county-water-district,South Coast,south-coast,0.36,0.29,0.364,TRUE,0
793,East Valley Water District,east valley water district,east-valley-water-district,South Coast,south-coast,0.28,0.22,0.242,FALSE,0
794,Eastern Municipal Water District,eastern municipal water district,eastern-municipal-water-district,South Coast,south-coast,0.28,0.2,0.18,FALSE,0
4178,El Dorado Irrigation District,el dorado irrigation district,el-dorado-irrigation-district,Sacramento River,sacramento-river,0.28,0.24,0.297,TRUE,0
830,El Toro Water District,el toro water district,el-toro-water-district,South Coast,south-coast,0.24,0.24,0.248,TRUE,0
,Elk Grove Water Service,elk grove water service,elk-grove-water-service,Sacramento River,sacramento-river,0.28,0.25,0.35,TRUE,0
,Elsinore Valley Municipal Water District,elsinore valley municipal water district,elsinore-valley-municipal-water-district,South Coast,south-coast,0.28,0.27,0.225,FALSE,0
856,Estero Municipal Improvement District,estero municipal improvement district,estero-municipal-improvement-district,San Francisco Bay,san-francisco-bay,0.12,0.12,0.146,TRUE,0
866,Fair Oaks Water District,fair oaks water district,fair-oaks-water-district,Sacramento River,sacramento-river,0.36,0.33,0.351,FALSE,0.1
873,Fallbrook Public Utility District,fallbrook public utility district,fallbrook-public-utility-district,South Coast,south-coast,0.36,0.28,0.239,FALSE,0
966,Fruitridge Vista Water Company,fruitridge vista water company,fruitridge-vista-water-company,Sacramento River,sacramento-river,0.36,0.28,0.302,FALSE,0
990,Georgetown Divide Public Utilities District,georgetown divide public utilities district,georgetown-divide-public-utilities-district,Sacramento River,sacramento-river,0.32,0.29,0.267,FALSE,0
1029,Golden State Water Company Artesia,golden state water company artesia,golden-state-water-company-artesia,South Coast,south-coast,0.16,0.09,0.154,FALSE,0
1030,Golden State Water Company Barstow,golden state water company barstow,golden-state-water-company-barstow,South Lahontan,south-lahontan,0.24,0.2,0.213,FALSE,0
1031,Golden State Water Company Bay Point,golden state water company bay point,golden-state-water-company-bay-point,San Francisco Bay,san-francisco-bay,0.12,0.12,0.234,TRUE,0
1032,Golden State Water Company Bell-Bell Gardens,golden state water company bell-bell gardens,golden-state-water-company-bell-bell-gardens,South Coast,south-coast,0.08,0.08,0.133,TRUE,0
1034,Golden State Water Company Claremont,golden state water company claremont,golden-state-water-company-claremont,South Coast,south-coast,0.32,0.3,0.358,TRUE,0
1036,Golden State Water Company Cordova,golden state water company cordova,golden-state-water-company-cordova,Sacramento River,sacramento-river,0.36,0.32,0.297,FALSE,0
1037,Golden State Water Company Cowan Heights,golden state water company cowan heights,golden-state-water-company-cowan-heights,South Coast,south-coast,0.36,0.29,0.321,FALSE,0
1038,Golden State Water Company Culver City,golden state water company culver city,golden-state-water-company-culver-city,South Coast,south-coast,0.16,0.16,0.166,TRUE,0
1041,Golden State Water Company Florence Graham,golden state water company florence graham,golden-state-water-company-florence-graham,South Coast,south-coast,0.08,0.08,0.089,TRUE,0
1049,Golden State Water Company Norwalk,golden state water company norwalk,golden-state-water-company-norwalk,South Coast,south-coast,0.12,0.08,0.157,TRUE,0
1052,Golden State Water Company Orcutt,golden state water company orcutt,golden-state-water-company-orcutt,Central Coast,central-coast,0.32,0.31,0.37,TRUE,0
1053,Golden State Water Company Placentia,golden state water company placentia,golden-state-water-company-placentia,South Coast,south-coast,0.24,0.17,0.246,TRUE,0
1058,Golden State Water Company S Arcadia,golden state water company s arcadia,golden-state-water-company-s-arcadia,South Coast,south-coast,0.24,0.22,0.245,TRUE,0
1058,Golden State Water Company S San Gabriel,golden state water company s san gabriel,golden-state-water-company-s-san-gabriel,South Coast,south-coast,0.12,0.1,0.13,TRUE,0
1054,Golden State Water Company San Dimas,golden state water company san dimas,golden-state-water-company-san-dimas,South Coast,south-coast,0.28,0.26,0.278,FALSE,0
1057,Golden State Water Company Simi Valley,golden state water company simi valley,golden-state-water-company-simi-valley,South Coast,south-coast,0.24,0.22,0.33,TRUE,0
1060,Golden State Water Company Southwest,golden state water company southwest,golden-state-water-company-southwest,South Coast,south-coast,0.12,0.09,0.112,FALSE,0
1062,Golden State Water Company West Orange,golden state water company west orange,golden-state-water-company-west-orange,South Coast,south-coast,0.16,0.09,0.208,TRUE,0
1067,Goleta Water District,goleta water district,goleta-water-district,Central Coast,central-coast,0.12,0.12,0.241,TRUE,NULL
1083,Great Oaks Water Company Incorporated,great oaks water company incorporated,great-oaks-water-company-incorporated,San Francisco Bay,san-francisco-bay,0.2,0.2,0.319,TRUE,0
1109,Groveland Community Services District,groveland community services district,groveland-community-services-district,San Joaquin River,san-joaquin-river,0.24,0.21,0.278,TRUE,0
1154,Helix Water District,helix water district,helix-water-district,South Coast,south-coast,0.2,0.12,0.215,TRUE,0
1167,Hi-Desert Water District,hi-desert water district,hi-desert-water-district,Colorado River,colorado-river,0.16,0.13,0.072,FALSE,0
1209,Humboldt Bay Municipal Water District,humboldt bay municipal water district,humboldt-bay-municipal-water-district,North Coast,north-coast,0.28,0.04,0.02,FALSE,0
1210,Humboldt Community Service District,humboldt community service district,humboldt-community-service-district,North Coast,north-coast,0.24,0.12,0.097,FALSE,0
1233,Indian Wells Valley Water District,indian wells valley water district,indian-wells-valley-water-district,South Lahontan,south-lahontan,0.36,0.32,0.244,FALSE,0
1245,Irvine Ranch Water District,irvine ranch water district,irvine-ranch-water-district,South Coast,south-coast,0.16,0.08,0.15,FALSE,0
1279,Joshua Basin Water District,joshua basin water district,joshua-basin-water-district,Colorado River,colorado-river,0.28,0.2,0.232,FALSE,0
1273,Jurupa Community Service District,jurupa community service district,jurupa-community-service-district,South Coast,south-coast,0.28,0.23,0.201,FALSE,0
1335,Laguna Beach County Water District,laguna beach county water district,laguna-beach-county-water-district,South Coast,south-coast,0.24,0.24,0.201,FALSE,0
1343,Lake Arrowhead Community Services District,lake arrowhead community services district,lake-arrowhead-community-services-district,South Lahontan,south-lahontan,0.16,0.13,0.285,TRUE,0
1352,Lake Hemet Municipal Water District,lake hemet municipal water district,lake-hemet-municipal-water-district,South Coast,south-coast,0.28,0.26,0.378,TRUE,0.15
1368,Lakeside Water District,lakeside water district,lakeside-water-district,South Coast,south-coast,0.2,0.12,0.252,TRUE,0
1371,Lamont Public Utility District,lamont public utility district,lamont-public-utility-district,Tulare Lake,tulare-lake,0.28,0.25,0.232,FALSE,0
1384,Las Virgenes Municipal Water District,las virgenes municipal water district,las-virgenes-municipal-water-district,South Coast,south-coast,0.36,0.35,0.286,FALSE,0
1408,Lee Lake Water District,lee lake water district,lee-lake-water-district,South Coast,south-coast,0.32,0.31,0.259,FALSE,0
1425,Lincoln Avenue Water Company,lincoln avenue water company,lincoln-avenue-water-company,South Coast,south-coast,0.28,0.26,0.284,TRUE,0
1427,Linda County Water District,linda county water district,linda-county-water-district,Sacramento River,sacramento-river,0.32,0.29,0.303,FALSE,0
1481,Los Angeles County Public Works Waterworks District 29,los angeles county public works waterworks district 29,los-angeles-county-public-works-waterworks-district-29,South Coast,south-coast,0.36,0.36,0.2,FALSE,0
1484,Los Angeles County Public Works Waterworks District 40,los angeles county public works waterworks district 40,los-angeles-county-public-works-waterworks-district-40,South Lahontan,south-lahontan,0.32,0.28,0.295,FALSE,0
1473,Los Angeles Department of Water and Power,los angeles department of water and power,los-angeles-department-of-water-and-power,South Coast,south-coast,0.16,0.14,0.157,FALSE,0
1533,Mammoth Community Water District,mammoth community water district,mammoth-community-water-district,South Lahontan,south-lahontan,0.2,0.17,0.289,TRUE,NULL
1546,Marin Municipal Water District,marin municipal water district,marin-municipal-water-district,San Francisco Bay,san-francisco-bay,0.2,0.2,0.204,TRUE,0
1547,Marina Coast Water District,marina coast water district,marina-coast-water-district,Central Coast,central-coast,0.12,0.11,0.302,TRUE,NULL
1570,McKinleyville Community Service District,mckinleyville community service district,mckinleyville-community-service-district,North Coast,north-coast,0.12,0.04,0.153,TRUE,0
1596,Mesa Water District,mesa water district,mesa-water-district,South Coast,south-coast,0.2,0.13,0.215,TRUE,0
1605,Mid-Peninsula Water District,mid-peninsula water district,mid-peninsula-water-district,San Francisco Bay,san-francisco-bay,0.2,0.2,0.267,TRUE,0
1626,Mission Springs Water District,mission springs water district,mission-springs-water-district,Colorado River,colorado-river,0.32,0.24,0.18,FALSE,0
1642,Monte Vista Water District,monte vista water district,monte-vista-water-district,South Coast,south-coast,0.24,0.22,0.222,FALSE,0
1644,Montebello Land and Water Company,montebello land and water company,montebello-land-and-water-company,South Coast,south-coast,0.16,0.09,0.159,FALSE,0
1645,Montecito Water District,montecito water district,montecito-water-district,Central Coast,central-coast,0.32,0.32,0.441,TRUE,0.31
1663,Moulton Niguel Water District,moulton niguel water district,moulton-niguel-water-district,South Coast,south-coast,0.2,0.2,0.194,FALSE,0
1697,Myoma Dunes Mutual Water Company,myoma dunes mutual water company,myoma-dunes-mutual-water-company,Colorado River,colorado-river,0.36,0.32,NULL,NULL,0
1718,Nevada Irrigation District,nevada irrigation district,nevada-irrigation-district,Sacramento River,sacramento-river,0.36,0.33,0.294,FALSE,0
1727,Newhall County Water District,newhall county water district,newhall-county-water-district,South Coast,south-coast,0.28,0.25,0.266,FALSE,0
1731,Nipomo Community Services District,nipomo community services district,nipomo-community-services-district,Central Coast,central-coast,0.28,0.28,0.317,TRUE,0.23
1739,North Coast County Water District,north coast county water district,north-coast-county-water-district,San Francisco Bay,san-francisco-bay,0.08,0.08,0.243,TRUE,0
1748,North Marin Water District,north marin water district,north-marin-water-district,San Francisco Bay,san-francisco-bay,0.24,0.24,0.333,TRUE,0
1752,North Tahoe Public Utility District,north tahoe public utility district,north-tahoe-public-utility-district,North Lahontan,north-lahontan,0.28,0.25,0.239,FALSE,0
245,Oildale Mutual Water Company,oildale mutual water company,oildale-mutual-water-company,Tulare Lake,tulare-lake,0.36,0.31,0.287,FALSE,0
1792,Olivehurst Public Utility District,olivehurst public utility district,olivehurst-public-utility-district,Sacramento River,sacramento-river,0.36,0.33,0.421,TRUE,0.1
1793,Olivenhain Municipal Water District,olivenhain municipal water district,olivenhain-municipal-water-district,South Coast,south-coast,0.32,0.24,0.258,FALSE,0
1803,Orange Vale Water Company,orange vale water company,orange-vale-water-company,Sacramento River,sacramento-river,0.36,0.33,0.373,TRUE,0
1804,Orchard Dale Water District,orchard dale water district,orchard-dale-water-district,South Coast,south-coast,0.12,0.08,0.188,TRUE,0
1821,Otay Water District,otay water district,otay-water-district,South Coast,south-coast,0.2,0.12,0.216,TRUE,0
1838,Padre Dam Municipal Water District,padre dam municipal water district,padre-dam-municipal-water-district,South Coast,south-coast,0.2,0.12,0.261,TRUE,0
1849,Palmdale Water District,palmdale water district,palmdale-water-district,South Lahontan,south-lahontan,0.32,0.28,0.249,FALSE,0.1
1859,Paradise Irrigation District,paradise irrigation district,paradise-irrigation-district,Sacramento River,sacramento-river,0.36,0.33,0.341,FALSE,0
1869,Park Water Company,park water company,park-water-company,South Coast,south-coast,0.08,0.08,0.218,TRUE,0
1896,Phelan Pinon Hills Community Services District,phelan pinon hills community services district,phelan-pinon-hills-community-services-district,South Lahontan,south-lahontan,0.32,0.24,0.177,FALSE,0
1900,Pico Water District,pico water district,pico-water-district,South Coast,south-coast,0.24,0.18,0.204,FALSE,0
1914,Pinedale County Water District,pinedale county water district,pinedale-county-water-district,Tulare Lake,tulare-lake,0.08,0.14,0.271,FALSE,NULL
1927,Placer County Water Agency,placer county water agency,placer-county-water-agency,Sacramento River,sacramento-river,0.32,0.28,0.297,FALSE,0
1983,Quartz Hill Water District,quartz hill water district,quartz-hill-water-district,South Lahontan,south-lahontan,0.36,0.32,0.341,FALSE,0
1990,Rainbow Municipal Water District,rainbow municipal water district,rainbow-municipal-water-district,South Coast,south-coast,0.36,0.28,0.419,TRUE,0
1996,Ramona Municipal Water District,ramona municipal water district,ramona-municipal-water-district,South Coast,south-coast,0.28,0.2,0.281,TRUE,0
2000,Rancho California Water District,rancho california water district,rancho-california-water-district,South Coast,south-coast,0.36,0.32,0.284,FALSE,0
2057,Rincon Del Diablo Municipal Water District,rincon del diablo municipal water district,rincon-del-diablo-municipal-water-district,South Coast,south-coast,0.32,0.24,0.285,FALSE,0
2061,Rio Linda - Elverta Community Water District,rio linda - elverta community water district,rio-linda-elverta-community-water-district,Sacramento River,sacramento-river,0.36,0.33,0.324,FALSE,0
2087,Riverside Highland Water Company,riverside highland water company,riverside-highland-water-company,South Coast,south-coast,0.36,0.33,0.298,FALSE,0
2107,Rosamond Community Service District,rosamond community service district,rosamond-community-service-district,South Lahontan,south-lahontan,0.28,0.24,0.264,FALSE,0
2115,Rowland Water District,rowland water district,rowland-water-district,South Coast,south-coast,0.2,0.2,0.108,FALSE,0
2118,Rubidoux Community Service District,rubidoux community service district,rubidoux-community-service-district,South Coast,south-coast,0.28,0.2,0.208,FALSE,0
2119,Rubio Canyon Land and Water Association,rubio canyon land and water association,rubio-canyon-land-and-water-association,South Coast,south-coast,0.36,0.34,0.29,FALSE,0
2132,Sacramento County Water Agency,sacramento county water agency,sacramento-county-water-agency,Sacramento River,sacramento-river,0.32,0.24,0.345,TRUE,0
2140,Sacramento Suburban Water District,sacramento suburban water district,sacramento-suburban-water-district,Sacramento River,sacramento-river,0.32,0.29,0.298,FALSE,0
2154,San Bernardino County Service Area 64,san bernardino county service area 64,san-bernardino-county-service-area-64,South Lahontan,south-lahontan,0.32,0.28,0.278,FALSE,0
2891,San Bernardino County Service Area 70,san bernardino county service area 70,san-bernardino-county-service-area-70,South Coast,south-coast,0.28,0.24,0.253,FALSE,0
2162,San Dieguito Water District,san dieguito water district,san-dieguito-water-district,South Coast,south-coast,0.28,0.2,0.184,FALSE,0
2164,San Francisco Public Utilities Commission,san francisco public utilities commission,san-francisco-public-utilities-commission,San Francisco Bay,san-francisco-bay,0.08,0.08,0.149,TRUE,0
,San Gabriel County Water District,san gabriel county water district,san-gabriel-county-water-district,South Coast,south-coast,0.2,0.18,0.207,TRUE,0
,San Gabriel Valley Fontana Water Company,san gabriel valley fontana water company,san-gabriel-valley-fontana-water-company,South Coast,south-coast,0.28,0.26,0.271,FALSE,0
2167,San Gabriel Valley Water Company,san gabriel valley water company,san-gabriel-valley-water-company,South Coast,south-coast,0.16,0.14,0.252,TRUE,0
2175,San Jose Water Company,san jose water company,san-jose-water-company,San Francisco Bay,san-francisco-bay,0.2,0.2,0.314,TRUE,0.02
2179,San Juan Water District,san juan water district,san-juan-water-district,Sacramento River,sacramento-river,0.36,0.33,0.351,FALSE,0
2180,San Lorenzo Valley Water District,san lorenzo valley water district,san-lorenzo-valley-water-district,Central Coast,central-coast,0.12,0.12,0.249,TRUE,0.18
2214,Santa Fe Irrigation District,santa fe irrigation district,santa-fe-irrigation-district,South Coast,south-coast,0.36,0.28,0.327,FALSE,0
2217,Santa Margarita Water District,santa margarita water district,santa-margarita-water-district,South Coast,south-coast,0.24,0.23,0.237,FALSE,0
2237,Scotts Valley Water District,scotts valley water district,scotts-valley-water-district,Central Coast,central-coast,0.16,0.16,0.263,TRUE,0
2330,Soquel Creek Water District,soquel creek water district,soquel-creek-water-district,Central Coast,central-coast,0.08,0.08,0.294,TRUE,NULL
2334,South Coast Water District,south coast water district,south-coast-water-district,South Coast,south-coast,0.24,0.24,0.268,TRUE,0
2337,South Feather Water and Power Agency,south feather water and power agency,south-feather-water-and-power-agency,Sacramento River,sacramento-river,0.36,0.33,NULL,NULL,0
2348,South Tahoe Public Utilities District,south tahoe public utilities district,south-tahoe-public-utilities-district,North Lahontan,north-lahontan,0.2,0.17,0.188,FALSE,0
2401,Suburban Water Systems San Jose Hills,suburban water systems san jose hills,suburban-water-systems-san-jose-hills,South Coast,south-coast,0.24,0.22,0.227,FALSE,0
2402,Suburban Water Systems Whittier/La Mirada,suburban water systems whittier la mirada,suburban-water-systems-whittier-la-mirada,South Coast,south-coast,0.28,0.28,0.225,FALSE,0
,Suisun-Solano Water Authority,suisun-solano water authority,suisun-solano-water-authority,San Francisco Bay,san-francisco-bay,0.28,0.2,0.256,FALSE,0
2419,Sunny Slope Water Company,sunny slope water company,sunny-slope-water-company,South Coast,south-coast,0.24,0.22,0.262,TRUE,0
2424,Sunnyslope County Water District,sunnyslope county water district,sunnyslope-county-water-district,Central Coast,central-coast,0.28,0.26,0.324,TRUE,0
2437,Sweetwater Authority,sweetwater authority,sweetwater-authority,South Coast,south-coast,0.12,0.08,0.195,TRUE,0
,Sweetwater Springs Water District,sweetwater springs water district,sweetwater-springs-water-district,North Coast,north-coast,0.16,0.16,0.222,TRUE,0
,Tahoe City Public Utilities District,tahoe city public utilities district,tahoe-city-public-utilities-district,North Lahontan,north-lahontan,0.2,0.17,0.313,TRUE,0
1181,Hillsborough Town of,town of hillsborough,town-of-hillsborough,San Francisco Bay,san-francisco-bay,0.36,0.36,0.42,TRUE,0
2751,"Windsor, Town of",town of windsor,town-of-windsor,North Coast,north-coast,0.16,0.16,0.228,TRUE,0
2490,Trabuco Canyon Water District,trabuco canyon water district,trabuco-canyon-water-district,South Coast,south-coast,0.28,0.28,0.277,FALSE,0
2510,Triunfo Sanitation District / Oak Park Water Service,triunfo sanitation district oak park water service,triunfo-sanitation-district-oak-park-water-service,South Coast,south-coast,0.32,0.3,0.349,TRUE,0
2512,Truckee-Donner Public Utilities District,truckee-donner public utilities district,truckee-donner-public-utilities-district,North Lahontan,north-lahontan,0.28,0.25,0.245,FALSE,0
2523,Tuolumne Utilities District,tuolumne utilities district,tuolumne-utilities-district,San Joaquin River,san-joaquin-river,0.24,0.21,0.317,TRUE,0
2530,Twentynine Palms Water District,twentynine palms water district,twentynine-palms-water-district,Colorado River,colorado-river,0.28,0.24,0.143,FALSE,0
2601,Valencia Water Company,valencia water company,valencia-water-company,South Coast,south-coast,0.24,0.21,0.298,TRUE,0
2602,Vallecitos Water District,vallecitos water district,vallecitos-water-district,South Coast,south-coast,0.24,0.16,0.256,TRUE,0
2604,Valley Center Municipal Water District,valley center municipal water district,valley-center-municipal-water-district,South Coast,south-coast,0.36,0.28,0.352,FALSE,0
2605,Valley County Water District,valley county water district,valley-county-water-district,South Coast,south-coast,0.16,0.14,0.215,TRUE,0.1
2610,Valley of the Moon Water District,valley of the moon water district,valley-of-the-moon-water-district,San Francisco Bay,san-francisco-bay,0.2,0.2,0.282,TRUE,0
2618,Valley Water Company,valley water company,valley-water-company,South Coast,south-coast,0.36,0.34,0.253,FALSE,0
2626,Vaughn Water Company,vaughn water company,vaughn-water-company,Tulare Lake,tulare-lake,0.36,0.3,0.262,FALSE,0
2629,Ventura County Waterworks District No 1,ventura county waterworks district no 1,ventura-county-waterworks-district-no-1,South Coast,south-coast,0.32,0.3,0.254,FALSE,0
2631,Ventura County Waterworks District No. 8,ventura county waterworks district no 8,ventura-county-waterworks-district-no-8,South Coast,south-coast,0.28,0.26,0.275,FALSE,0
2635,Victorville Water District,victorville water district,victorville-water-district,South Lahontan,south-lahontan,0.28,0.24,0.238,FALSE,0
2649,Vista Irrigation District,vista irrigation district,vista-irrigation-district,South Coast,south-coast,0.2,0.12,0.205,TRUE,0
2661,Walnut Valley Water District,walnut valley water district,walnut-valley-water-district,South Coast,south-coast,0.28,0.26,0.238,FALSE,0
2679,West Kern Water District,west kern water district,west-kern-water-district,Tulare Lake,tulare-lake,0.28,0.25,0.127,FALSE,0
2690,West Valley Water District,west valley water district,west-valley-water-district,South Coast,south-coast,0.32,0.28,0.203,FALSE,0
2691,Westborough Water District,westborough water district,westborough-water-district,San Francisco Bay,san-francisco-bay,0.08,0.08,0.259,TRUE,0
2697,Western Municipal Water District of Riverside,western municipal water district of riverside,western-municipal-water-district-of-riverside,South Coast,south-coast,0.32,0.28,0.227,FALSE,0
2757,Winton Water & Sanitary District,winton water sanitary district,winton-water-sanitary-district,San Joaquin River,san-joaquin-river,0.36,0.33,0.217,FALSE,NULL
2782,Yorba Linda Water District,yorba linda water district,yorba-linda-water-district,South Coast,south-coast,0.36,0.28,0.364,TRUE,0
2793,Yucaipa Valley Water District,yucaipa valley water district,yucaipa-valley-water-district,South Coast,south-coast,0.36,0.34,0.208,FALSE,0.2
390,California Water Service Company Dixon City of,,,,,,,,,
578,Coalinga City of,,,,,,,,,
4231,Mountain House Community Services District,,,,,,,,,
