LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED CHAU,ESTHELA T SIEGRIST
22ND ST SENATE,N,191420,POLLING PLACE,14424,7921,5272
22ND ST SENATE,N,0,VBM PORTION,15530,8429,5118
22ND ST SENATE,N,191420,TOTAL,29948,16350,10390
25TH ST SENATE,N,8559,POLLING PLACE,795,298,422
25TH ST SENATE,N,0,VBM PORTION,1161,429,600
25TH ST SENATE,N,8559,TOTAL,1956,727,1022
32ND ST SENATE,N,3647,POLLING PLACE,341,222,80
32ND ST SENATE,N,0,VBM PORTION,375,241,84
32ND ST SENATE,N,3647,TOTAL,716,463,164
