LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MARIO A GUERRA,SALLY M HAVICE,TONY MENDOZA,CARLOS R ARVIZU,IRELLA PEREZ
32ND ST SENATE,N,443529,POLLING PLACE,35347,14180,3678,11171,686,3251
32ND ST SENATE,N,0,VBM PORTION,31444,12773,3277,8299,523,3189
32ND ST SENATE,N,443529,TOTAL,66772,26953,6955,19470,1209,6440
