LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,IAN C CALDERON,RITA TOPALIAN
22ND ST SENATE,N,36998,POLLING PLACE,2264,1389,599
22ND ST SENATE,N,0,VBM PORTION,1776,993,547
22ND ST SENATE,N,36998,TOTAL,4038,2382,1146
29TH ST SENATE,N,1,POLLING PLACE,0,0,0
29TH ST SENATE,N,0,VBM PORTION,0,0,0
29TH ST SENATE,N,1,TOTAL,0,0,0
32ND ST SENATE,N,194922,POLLING PLACE,15407,6511,7576
32ND ST SENATE,N,0,VBM PORTION,14641,5651,7137
32ND ST SENATE,N,194922,TOTAL,30040,12162,14713
