LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,KAREN BASS,R ADAM KING,MERVIN EVANS
24TH ST SENATE,N,95,POLLING PLACE,0,0,0,0
24TH ST SENATE,N,0,VBM PORTION,10,6,0,3
24TH ST SENATE,N,95,TOTAL,10,6,0,3
26TH ST SENATE,N,61423,POLLING PLACE,5974,3962,1027,332
26TH ST SENATE,N,0,VBM PORTION,5886,3753,1240,296
26TH ST SENATE,N,61423,TOTAL,11858,7715,2267,628
30TH ST SENATE,N,322059,POLLING PLACE,29949,21459,3009,1785
30TH ST SENATE,N,0,VBM PORTION,25345,18459,3254,1261
30TH ST SENATE,N,322059,TOTAL,55277,39918,6263,3046
