LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED ROYCE,PETER O ANDERSON
22ND ST SENATE,N,0,POLLING PLACE,0,0,0
22ND ST SENATE,N,0,VBM PORTION,0,0,0
22ND ST SENATE,N,0,TOTAL,0,0,0
29TH ST SENATE,N,71642,POLLING PLACE,5269,2819,1742
29TH ST SENATE,N,0,VBM PORTION,6743,4125,1980
29TH ST SENATE,N,71642,TOTAL,12010,6944,3722
32ND ST SENATE,N,33926,POLLING PLACE,2837,1566,914
32ND ST SENATE,N,0,VBM PORTION,3342,2098,906
32ND ST SENATE,N,33926,TOTAL,6178,3664,1820
