LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CHRIS HOLDEN
22ND ST SENATE,N,3378,POLLING PLACE,261,145
22ND ST SENATE,N,0,VBM PORTION,339,168
22ND ST SENATE,N,3378,TOTAL,600,313
25TH ST SENATE,N,219231,POLLING PLACE,23014,14758
25TH ST SENATE,N,0,VBM PORTION,23381,14479
25TH ST SENATE,N,219231,TOTAL,46381,29237
