LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,R JONES-SAWYER
30TH ST SENATE,N,130190,POLLING PLACE,7893,6385
30TH ST SENATE,N,0,VBM PORTION,4991,4030
30TH ST SENATE,N,130190,TOTAL,12880,10415
33RD ST SENATE,N,36213,POLLING PLACE,1858,1290
33RD ST SENATE,N,0,VBM PORTION,871,699
33RD ST SENATE,N,36213,TOTAL,2727,1989
