LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BRENT C ROSKE,ZEIN E OBAGI JR,M WILLIAMSON,KEVIN MOTTUS,BARBARA L MULVANEY,MATT MILLER,ELAN CARR,DAVID KANUTH,TOM FOX,VINCE FLAHERTY,KRISTIE HOLMES,MARK MATTHEW HERD,JAMES GRAF,WENDY GREUEL,LILY GILANI,MICHAEL SHAPIRO,MICHAEL IAN SACHS,TED LIEU
26TH ST SENATE,N,395664,POLLING PLACE,51601,67,215,7659,1102,948,6830,9765,792,202,161,355,359,120,7355,3091,222,309,9365
26TH ST SENATE,N,0,VBM PORTION,49728,87,182,4322,1034,1192,4871,10477,614,232,129,484,414,161,7835,3676,309,329,9458
26TH ST SENATE,N,395664,TOTAL,101314,154,397,11981,2136,2140,11701,20242,1406,434,290,839,773,281,15190,6767,531,638,18823
27TH ST SENATE,N,49314,POLLING PLACE,6043,18,28,1415,172,110,667,1247,53,36,21,37,41,12,1045,272,39,33,484
27TH ST SENATE,N,0,VBM PORTION,6068,10,31,762,175,148,486,1428,45,29,24,63,46,21,1250,422,55,43,557
27TH ST SENATE,N,49314,TOTAL,12110,28,59,2177,347,258,1153,2675,98,65,45,100,87,33,2295,694,94,76,1041
30TH ST SENATE,N,0,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30TH ST SENATE,N,0,VBM PORTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30TH ST SENATE,N,0,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35TH ST SENATE,N,14316,POLLING PLACE,1290,5,9,83,37,55,79,243,25,2,6,21,11,8,224,90,17,10,288
35TH ST SENATE,N,0,VBM PORTION,1511,1,12,94,41,63,72,316,25,8,4,34,12,5,279,122,8,8,280
35TH ST SENATE,N,14316,TOTAL,2801,6,21,177,78,118,151,559,50,10,10,55,23,13,503,212,25,18,568
