LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MICHELLE WALKER,SANDRA MENDOZA,MICHAEL ALDAPA,MIGUEL SANTIAGO
24TH ST SENATE,N,110576,POLLING PLACE,8850,737,1961,581,4250
24TH ST SENATE,N,0,VBM PORTION,6996,746,1200,503,3115
24TH ST SENATE,N,110576,TOTAL,15841,1483,3161,1084,7365
30TH ST SENATE,N,21811,POLLING PLACE,1578,204,259,118,677
30TH ST SENATE,N,0,VBM PORTION,1481,175,197,136,555
30TH ST SENATE,N,21811,TOTAL,3059,379,456,254,1232
33RD ST SENATE,N,14994,POLLING PLACE,916,51,214,37,516
33RD ST SENATE,N,0,VBM PORTION,556,51,122,48,274
33RD ST SENATE,N,14994,TOTAL,1471,102,336,85,790
