LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
18TH ST SENATE,N,412533,POLLING PLACE,31735,1953,1402,804,18470,1928,670,2757
18TH ST SENATE,N,0,VBM PORTION,29333,1688,1933,831,16861,1597,526,2448
18TH ST SENATE,N,412533,TOTAL,61053,3641,3335,1635,35331,3525,1196,5205
20TH ST SENATE,N,57852,POLLING PLACE,3541,193,155,93,1977,271,76,337
20TH ST SENATE,N,0,VBM PORTION,3425,198,233,102,1854,207,64,400
20TH ST SENATE,N,57852,TOTAL,6966,391,388,195,3831,478,140,737
21ST ST SENATE,N,295641,POLLING PLACE,24416,5171,2466,619,7850,2147,488,3291
21ST ST SENATE,N,0,VBM PORTION,28120,4963,3306,780,9472,2194,559,4072
21ST ST SENATE,N,295641,TOTAL,52527,10134,5772,1399,17322,4341,1047,7363
22ND ST SENATE,N,402143,POLLING PLACE,28682,1854,1976,847,14194,1410,571,3915
22ND ST SENATE,N,0,VBM PORTION,27543,1476,2738,864,13343,1347,403,3567
22ND ST SENATE,N,402143,TOTAL,56212,3330,4714,1711,27537,2757,974,7482
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,2,0,2,0,0,0,0
23RD ST SENATE,N,30,TOTAL,5,2,0,2,0,0,0,0
24TH ST SENATE,N,356351,POLLING PLACE,28761,771,937,779,18742,902,643,1408
24TH ST SENATE,N,0,VBM PORTION,21596,697,894,573,13992,749,408,1264
24TH ST SENATE,N,356351,TOTAL,50349,1468,1831,1352,32734,1651,1051,2672
25TH ST SENATE,N,496236,POLLING PLACE,48828,3894,3734,968,23877,2552,858,6629
25TH ST SENATE,N,0,VBM PORTION,53257,3358,5830,1217,23962,2505,919,6186
25TH ST SENATE,N,496236,TOTAL,102064,7252,9564,2185,47839,5057,1777,12815
26TH ST SENATE,N,595374,POLLING PLACE,71309,5788,3817,1539,40640,3958,1310,5372
26TH ST SENATE,N,0,VBM PORTION,68061,5674,5161,1472,36176,3621,1242,5737
26TH ST SENATE,N,595374,TOTAL,139348,11462,8978,3011,76816,7579,2552,11109
27TH ST SENATE,N,347297,POLLING PLACE,33069,3701,1900,731,16170,2255,650,3628
27TH ST SENATE,N,0,VBM PORTION,36077,3671,3072,840,17479,2095,591,3738
27TH ST SENATE,N,347297,TOTAL,69136,7372,4972,1571,33649,4350,1241,7366
29TH ST SENATE,N,87063,POLLING PLACE,6296,734,477,152,2712,464,86,885
29TH ST SENATE,N,0,VBM PORTION,8041,710,790,233,3313,558,117,1227
29TH ST SENATE,N,87063,TOTAL,14333,1444,1267,385,6025,1022,203,2112
30TH ST SENATE,N,452850,POLLING PLACE,38257,671,851,705,27846,902,595,1420
30TH ST SENATE,N,0,VBM PORTION,31389,708,820,571,22829,782,417,1285
30TH ST SENATE,N,452850,TOTAL,69626,1379,1671,1276,50675,1684,1012,2705
32ND ST SENATE,N,443529,POLLING PLACE,35347,3301,2685,964,16466,2449,579,4265
32ND ST SENATE,N,0,VBM PORTION,31444,2604,3224,920,14360,1876,484,3841
32ND ST SENATE,N,443529,TOTAL,66772,5905,5909,1884,30826,4325,1063,8106
33RD ST SENATE,N,389200,POLLING PLACE,29194,1649,1459,924,16528,1169,591,2594
33RD ST SENATE,N,0,VBM PORTION,24284,1336,1531,756,13912,963,496,2231
33RD ST SENATE,N,389200,TOTAL,53466,2985,2990,1680,30440,2132,1087,4825
34TH ST SENATE,N,43970,POLLING PLACE,7336,854,504,173,3306,313,121,1023
34TH ST SENATE,N,0,VBM PORTION,7698,885,802,188,3133,412,114,1043
34TH ST SENATE,N,43970,TOTAL,15033,1739,1306,361,6439,725,235,2066
35TH ST SENATE,N,443338,POLLING PLACE,36605,1647,1714,781,22837,1799,579,2320
35TH ST SENATE,N,0,VBM PORTION,30609,1437,1749,742,18665,1475,417,2436
35TH ST SENATE,N,443338,TOTAL,67191,3084,3463,1523,41502,3274,996,4756
