LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SERENA R MURILLO
18TH ST SENATE,N,412533,POLLING PLACE,31735,20533
18TH ST SENATE,N,0,VBM PORTION,29333,18359
18TH ST SENATE,N,412533,TOTAL,61053,38892
20TH ST SENATE,N,57852,POLLING PLACE,3541,2499
20TH ST SENATE,N,0,VBM PORTION,3425,2384
20TH ST SENATE,N,57852,TOTAL,6966,4883
21ST ST SENATE,N,295641,POLLING PLACE,24416,16737
21ST ST SENATE,N,0,VBM PORTION,28120,18691
21ST ST SENATE,N,295641,TOTAL,52527,35428
22ND ST SENATE,N,402143,POLLING PLACE,28682,18791
22ND ST SENATE,N,0,VBM PORTION,27543,17305
22ND ST SENATE,N,402143,TOTAL,56212,36096
23RD ST SENATE,N,30,POLLING PLACE,0,0
23RD ST SENATE,N,0,VBM PORTION,6,2
23RD ST SENATE,N,30,TOTAL,5,2
24TH ST SENATE,N,356351,POLLING PLACE,28761,18702
24TH ST SENATE,N,0,VBM PORTION,21596,13673
24TH ST SENATE,N,356351,TOTAL,50349,32375
25TH ST SENATE,N,496236,POLLING PLACE,48828,28835
25TH ST SENATE,N,0,VBM PORTION,53257,28635
25TH ST SENATE,N,496236,TOTAL,102064,57470
26TH ST SENATE,N,595374,POLLING PLACE,71309,39380
26TH ST SENATE,N,0,VBM PORTION,68061,35794
26TH ST SENATE,N,595374,TOTAL,139348,75174
27TH ST SENATE,N,347297,POLLING PLACE,33069,19509
27TH ST SENATE,N,0,VBM PORTION,36077,20584
27TH ST SENATE,N,347297,TOTAL,69136,40093
29TH ST SENATE,N,87063,POLLING PLACE,6296,4042
29TH ST SENATE,N,0,VBM PORTION,8041,4949
29TH ST SENATE,N,87063,TOTAL,14333,8991
30TH ST SENATE,N,452850,POLLING PLACE,38257,21607
30TH ST SENATE,N,0,VBM PORTION,31389,17866
30TH ST SENATE,N,452850,TOTAL,69626,39473
32ND ST SENATE,N,443529,POLLING PLACE,35347,23629
32ND ST SENATE,N,0,VBM PORTION,31444,20095
32ND ST SENATE,N,443529,TOTAL,66772,43724
33RD ST SENATE,N,389200,POLLING PLACE,29194,19269
33RD ST SENATE,N,0,VBM PORTION,24284,15962
33RD ST SENATE,N,389200,TOTAL,53466,35231
34TH ST SENATE,N,43970,POLLING PLACE,7336,4198
34TH ST SENATE,N,0,VBM PORTION,7698,4355
34TH ST SENATE,N,43970,TOTAL,15033,8553
35TH ST SENATE,N,443338,POLLING PLACE,36605,23072
35TH ST SENATE,N,0,VBM PORTION,30609,19629
35TH ST SENATE,N,443338,TOTAL,67191,42701
