LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JIMMY GOMEZ
24TH ST SENATE,N,196553,POLLING PLACE,16118,12431
24TH ST SENATE,N,0,VBM PORTION,11247,8190
24TH ST SENATE,N,196553,TOTAL,27363,20621
