LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JANICE HAHN
30TH ST SENATE,N,3303,POLLING PLACE,207,151
30TH ST SENATE,N,0,VBM PORTION,120,103
30TH ST SENATE,N,3303,TOTAL,327,254
33RD ST SENATE,N,106002,POLLING PLACE,5538,4090
33RD ST SENATE,N,0,VBM PORTION,3916,3176
33RD ST SENATE,N,106002,TOTAL,9448,7266
35TH ST SENATE,N,200744,POLLING PLACE,15549,9253
35TH ST SENATE,N,0,VBM PORTION,12030,8870
35TH ST SENATE,N,200744,TOTAL,27575,18123
