LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANTHONY RENDON,ADAM J MILLER
32ND ST SENATE,N,34461,POLLING PLACE,2980,1300,1396
32ND ST SENATE,N,0,VBM PORTION,2871,1247,1266
32ND ST SENATE,N,34461,TOTAL,5848,2547,2662
33RD ST SENATE,N,153003,POLLING PLACE,8761,5338,2082
33RD ST SENATE,N,0,VBM PORTION,6478,4089,1755
33RD ST SENATE,N,153003,TOTAL,15235,9427,3837
34TH ST SENATE,N,881,POLLING PLACE,106,40,48
34TH ST SENATE,N,0,VBM PORTION,105,46,47
34TH ST SENATE,N,881,TOTAL,211,86,95
35TH ST SENATE,N,875,POLLING PLACE,39,26,3
35TH ST SENATE,N,0,VBM PORTION,4,3,0
35TH ST SENATE,N,875,TOTAL,43,29,3
