LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MARK S REED,PABLO KLEINMAN,MICHAEL W POWELSON,BRAD SHERMAN,MARC LITCHMAN
18TH ST SENATE,N,139141,POLLING PLACE,13560,2412,1169,505,7658,991
18TH ST SENATE,N,0,VBM PORTION,12766,2076,1432,435,7069,909
18TH ST SENATE,N,139141,TOTAL,26321,4488,2601,940,14727,1900
25TH ST SENATE,N,7826,POLLING PLACE,730,156,63,27,392,39
25TH ST SENATE,N,0,VBM PORTION,683,155,82,22,348,30
25TH ST SENATE,N,7826,TOTAL,1413,311,145,49,740,69
27TH ST SENATE,N,251453,POLLING PLACE,22578,4721,2722,674,11912,1049
27TH ST SENATE,N,0,VBM PORTION,24572,4517,3291,687,13314,1221
27TH ST SENATE,N,251453,TOTAL,47143,9238,6013,1361,25226,2270
