LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PROPHET L WALKER,MICAH ALI,STEVE NEAL,MIKE GIPSON
30TH ST SENATE,N,30370,POLLING PLACE,1800,418,153,144,912
30TH ST SENATE,N,0,VBM PORTION,1239,327,121,150,538
30TH ST SENATE,N,30370,TOTAL,3039,745,274,294,1450
33RD ST SENATE,N,8619,POLLING PLACE,477,91,57,155,118
33RD ST SENATE,N,0,VBM PORTION,380,62,39,140,84
33RD ST SENATE,N,8619,TOTAL,856,153,96,295,202
35TH ST SENATE,N,175037,POLLING PLACE,13115,2458,1556,1720,6252
35TH ST SENATE,N,0,VBM PORTION,9133,1667,997,1271,4071
35TH ST SENATE,N,175037,TOTAL,22247,4125,2553,2991,10323
