LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,AL MURATSUCHI,DAVID HADLEY
26TH ST SENATE,N,187702,POLLING PLACE,25181,10397,11858
26TH ST SENATE,N,0,VBM PORTION,26361,10950,12632
26TH ST SENATE,N,187702,TOTAL,51534,21347,24490
35TH ST SENATE,N,87749,POLLING PLACE,8324,4256,3259
35TH ST SENATE,N,0,VBM PORTION,8877,4836,3247
35TH ST SENATE,N,87749,TOTAL,17197,9092,6506
