LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CRISTINA GARCIA
32ND ST SENATE,N,210499,POLLING PLACE,16619,10274
32ND ST SENATE,N,0,VBM PORTION,13557,8472
32ND ST SENATE,N,210499,TOTAL,30168,18746
33RD ST SENATE,N,12887,POLLING PLACE,540,377
33RD ST SENATE,N,0,VBM PORTION,316,269
33RD ST SENATE,N,12887,TOTAL,855,646
