LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JACK ORSWELL,JUDY CHU
20TH ST SENATE,N,254,POLLING PLACE,0,0,0
20TH ST SENATE,N,0,VBM PORTION,57,26,29
20TH ST SENATE,N,254,TOTAL,57,26,29
21ST ST SENATE,N,3,POLLING PLACE,0,0,0
21ST ST SENATE,N,0,VBM PORTION,2,0,2
21ST ST SENATE,N,3,TOTAL,2,0,2
22ND ST SENATE,N,167550,POLLING PLACE,12934,4551,7284
22ND ST SENATE,N,0,VBM PORTION,14254,4920,8280
22ND ST SENATE,N,167550,TOTAL,27187,9471,15564
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,4,0
23RD ST SENATE,N,30,TOTAL,5,4,0
25TH ST SENATE,N,183161,POLLING PLACE,18905,6297,11274
25TH ST SENATE,N,0,VBM PORTION,19835,7254,11194
25TH ST SENATE,N,183161,TOTAL,38730,13551,22468
