LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JOAN M CHROSTEK,EMMA CASTRO
18TH ST SENATE,N,412533,POLLING PLACE,31735,11169,13291
18TH ST SENATE,N,0,VBM PORTION,29333,10863,11072
18TH ST SENATE,N,412533,TOTAL,61053,22032,24363
20TH ST SENATE,N,57852,POLLING PLACE,3541,1369,1510
20TH ST SENATE,N,0,VBM PORTION,3425,1456,1262
20TH ST SENATE,N,57852,TOTAL,6966,2825,2772
21ST ST SENATE,N,295641,POLLING PLACE,24416,12701,6512
21ST ST SENATE,N,0,VBM PORTION,28120,14993,6796
21ST ST SENATE,N,295641,TOTAL,52527,27694,13308
22ND ST SENATE,N,402143,POLLING PLACE,28682,11134,11113
22ND ST SENATE,N,0,VBM PORTION,27543,11046,9586
22ND ST SENATE,N,402143,TOTAL,56212,22180,20699
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,3,1
23RD ST SENATE,N,30,TOTAL,5,3,1
24TH ST SENATE,N,356351,POLLING PLACE,28761,7087,15038
24TH ST SENATE,N,0,VBM PORTION,21596,6195,9939
24TH ST SENATE,N,356351,TOTAL,50349,13282,24977
25TH ST SENATE,N,496236,POLLING PLACE,48828,18967,17303
25TH ST SENATE,N,0,VBM PORTION,53257,20075,16338
25TH ST SENATE,N,496236,TOTAL,102064,39042,33641
26TH ST SENATE,N,595374,POLLING PLACE,71309,22573,27916
26TH ST SENATE,N,0,VBM PORTION,68061,23144,23536
26TH ST SENATE,N,595374,TOTAL,139348,45717,51452
27TH ST SENATE,N,347297,POLLING PLACE,33069,13174,11133
27TH ST SENATE,N,0,VBM PORTION,36077,14798,11043
27TH ST SENATE,N,347297,TOTAL,69136,27972,22176
29TH ST SENATE,N,87063,POLLING PLACE,6296,2661,2078
29TH ST SENATE,N,0,VBM PORTION,8041,3340,2464
29TH ST SENATE,N,87063,TOTAL,14333,6001,4542
30TH ST SENATE,N,452850,POLLING PLACE,38257,14739,13815
30TH ST SENATE,N,0,VBM PORTION,31389,10680,11719
30TH ST SENATE,N,452850,TOTAL,69626,25419,25534
32ND ST SENATE,N,443529,POLLING PLACE,35347,14808,12885
32ND ST SENATE,N,0,VBM PORTION,31444,13296,10210
32ND ST SENATE,N,443529,TOTAL,66772,28104,23095
33RD ST SENATE,N,389200,POLLING PLACE,29194,10406,11813
33RD ST SENATE,N,0,VBM PORTION,24284,9314,9097
33RD ST SENATE,N,389200,TOTAL,53466,19720,20910
34TH ST SENATE,N,43970,POLLING PLACE,7336,2697,2306
34TH ST SENATE,N,0,VBM PORTION,7698,3145,2228
34TH ST SENATE,N,43970,TOTAL,15033,5842,4534
35TH ST SENATE,N,443338,POLLING PLACE,36605,16293,12376
35TH ST SENATE,N,0,VBM PORTION,30609,12858,10550
35TH ST SENATE,N,443338,TOTAL,67191,29151,22926
