LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
33RD ST SENATE,N,6232,POLLING PLACE,779,261,488
33RD ST SENATE,N,0,VBM PORTION,730,229,447
33RD ST SENATE,N,6232,TOTAL,1509,490,935
