LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
32ND ST SENATE,N,54713,POLLING PLACE,5841,856,4722
32ND ST SENATE,N,0,VBM PORTION,3452,646,2506
32ND ST SENATE,N,54713,TOTAL,9292,1502,7228
