LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED HERNANDEZ
22ND ST SENATE,N,402143,POLLING PLACE,28682,17749
22ND ST SENATE,N,0,VBM PORTION,27543,16626
22ND ST SENATE,N,402143,TOTAL,56212,34375
