LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLY J MITCHELL,ISIDRO ARMENTA
30TH ST SENATE,N,452850,POLLING PLACE,38257,26348,4983
30TH ST SENATE,N,0,VBM PORTION,31389,21932,3318
30TH ST SENATE,N,452850,TOTAL,69626,48280,8301
