LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM BREWER,PAT FUREY,BILL SUTHERLAND
26TH ST SENATE,N,48129,POLLING PLACE,7811,2882,2703,1515
26TH ST SENATE,N,0,VBM PORTION,7179,2225,2248,1619
26TH ST SENATE,N,48129,TOTAL,14988,5107,4951,3134
35TH ST SENATE,N,34908,POLLING PLACE,4216,1173,1898,837
35TH ST SENATE,N,0,VBM PORTION,4190,1169,1554,866
35TH ST SENATE,N,34908,TOTAL,8406,2342,3452,1703
