LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM MORRISON,PETER CHOI,KEVIN DE LEON
24TH ST SENATE,N,356351,POLLING PLACE,28761,3690,4782,17451
24TH ST SENATE,N,0,VBM PORTION,21596,3115,4640,11524
24TH ST SENATE,N,356351,TOTAL,50349,6805,9422,28975
