LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GLEN RATCLIFF,S M RIDLEY THOMAS,
CULVER CITY,1600001A,590,233,N,902,POLLING PLACE,180,27,140,
CULVER CITY,1600001A,590,233,N,,VBM PORTION,72,26,38,
CULVER CITY,1600001A,590,233,N,902,TOTAL,252,53,178,
CULVER CITY,1600002A,591,233,N,754,POLLING PLACE,146,39,96,
CULVER CITY,1600002A,591,233,N,,VBM PORTION,73,17,51,
CULVER CITY,1600002A,591,233,N,754,TOTAL,219,56,147,
CULVER CITY,1600003A,592,233,N,998,POLLING PLACE,169,31,133,
CULVER CITY,1600003A,592,233,N,,VBM PORTION,92,27,60,
CULVER CITY,1600003A,592,233,N,998,TOTAL,261,58,193,
CULVER CITY,1600004A,593,233,N,1097,POLLING PLACE,230,59,158,
CULVER CITY,1600004A,593,233,N,,VBM PORTION,70,17,48,
CULVER CITY,1600004A,593,233,N,1097,TOTAL,300,76,206,
CULVER CITY,1600005A,594,233,N,885,POLLING PLACE,187,34,145,
CULVER CITY,1600005A,594,233,N,,VBM PORTION,85,17,57,
CULVER CITY,1600005A,594,233,N,885,TOTAL,272,51,202,
CULVER CITY,1600007A,595,233,N,1248,POLLING PLACE,316,86,199,
CULVER CITY,1600007A,595,233,N,,VBM PORTION,147,53,83,
CULVER CITY,1600007A,595,233,N,1248,TOTAL,463,139,282,
CULVER CITY,1600008A,596,233,N,1154,POLLING PLACE,329,79,226,
CULVER CITY,1600008A,596,233,N,,VBM PORTION,140,55,76,
CULVER CITY,1600008A,596,233,N,1154,TOTAL,469,134,302,
CULVER CITY,1600011A,597,233,N,1176,POLLING PLACE,206,43,138,
CULVER CITY,1600011A,597,233,N,,VBM PORTION,157,53,91,
CULVER CITY,1600011A,597,233,N,1176,TOTAL,363,96,229,
CULVER CITY,1600013B,598,233,N,1147,POLLING PLACE,330,91,215,
CULVER CITY,1600013B,598,233,N,,VBM PORTION,124,45,60,
CULVER CITY,1600013B,598,233,N,1147,TOTAL,454,136,275,
CULVER CITY,1600014A,599,233,N,476,POLLING PLACE,102,18,74,
CULVER CITY,1600014A,599,233,N,,VBM PORTION,80,20,58,
CULVER CITY,1600014A,599,233,N,476,TOTAL,182,38,132,
CULVER CITY,1600014C,6060,228,Y,,POLLING PLACE,,,,
CULVER CITY,1600014C,6060,228,Y,,VBM PORTION,,,,
