LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BOBBY SHRIVER,SHEILA KUEHL,
BEVERLY HILLS,0900008A,280,183,N,,VBM PORTION,156,60,54,
BEVERLY HILLS,0900008A,280,183,N,1141,TOTAL,387,165,107,
BEVERLY HILLS,0900010A,281,183,N,942,POLLING PLACE,158,75,47,
BEVERLY HILLS,0900010A,281,183,N,,VBM PORTION,125,60,44,
BEVERLY HILLS,0900010A,281,183,N,942,TOTAL,283,135,91,
BEVERLY HILLS,0900014A,6032,185,Y,2,POLLING PLACE,,,,
BEVERLY HILLS,0900014A,6032,185,Y,,VBM PORTION,,,,
BEVERLY HILLS,0900014A,6032,185,Y,2,TOTAL,,,,
BEVERLY HILLS,0900016B,282,183,N,878,POLLING PLACE,112,46,43,
BEVERLY HILLS,0900016B,282,183,N,,VBM PORTION,84,39,30,
BEVERLY HILLS,0900016B,282,183,N,878,TOTAL,196,85,73,
BEVERLY HILLS,0900018A,283,183,N,594,POLLING PLACE,94,42,40,
BEVERLY HILLS,0900018A,283,183,N,,VBM PORTION,92,40,36,
BEVERLY HILLS,0900018A,283,183,N,594,TOTAL,186,82,76,
BEVERLY HILLS,0900020A,284,183,N,1125,POLLING PLACE,180,65,76,
BEVERLY HILLS,0900020A,284,183,N,,VBM PORTION,101,36,41,
BEVERLY HILLS,0900020A,284,183,N,1125,TOTAL,281,101,117,
BEVERLY HILLS,0900023A,285,183,N,1196,POLLING PLACE,217,93,76,
BEVERLY HILLS,0900023A,285,183,N,,VBM PORTION,104,40,43,
BEVERLY HILLS,0900023A,285,183,N,1196,TOTAL,321,133,119,
BEVERLY HILLS,0900023B,286,183,N,964,POLLING PLACE,174,78,68,
BEVERLY HILLS,0900023B,286,183,N,,VBM PORTION,155,73,55,
BEVERLY HILLS,0900023B,286,183,N,964,TOTAL,329,151,123,
BEVERLY HILLS,0900026A,287,183,N,1310,POLLING PLACE,244,91,118,
BEVERLY HILLS,0900026A,287,183,N,,VBM PORTION,118,40,42,
BEVERLY HILLS,0900026A,287,183,N,1310,TOTAL,362,131,160,
BEVERLY HILLS,0900030A,288,183,N,1033,POLLING PLACE,208,72,86,
BEVERLY HILLS,0900030A,288,183,N,,VBM PORTION,92,31,36,
BEVERLY HILLS,0900030A,288,183,N,1033,TOTAL,300,103,122,
BEVERLY HILLS,0900033B,289,183,N,1050,POLLING PLACE,210,96,76,
BEVERLY HILLS,0900033B,289,183,N,,VBM PORTION,146,66,50,
BEVERLY HILLS,0900033B,289,183,N,1050,TOTAL,356,162,126,
BEVERLY HILLS,0900036A,290,183,N,1233,POLLING PLACE,181,68,70,
BEVERLY HILLS,0900036A,290,183,N,,VBM PORTION,124,44,53,
BEVERLY HILLS,0900036A,290,183,N,1233,TOTAL,305,112,123,
BEVERLY HILLS,0900037G,291,183,N,1144,POLLING PLACE,212,85,96,
BEVERLY HILLS,0900037G,291,183,N,,VBM PORTION,141,65,41,
BEVERLY HILLS,0900037G,291,183,N,1144,TOTAL,353,150,137,
BEVERLY HILLS,0900041A,292,183,N,1335,POLLING PLACE,253,114,88,
BEVERLY HILLS,0900041A,292,183,N,,VBM PORTION,142,34,71,
BEVERLY HILLS,0900041A,292,183,N,1335,TOTAL,395,148,159,
BEVERLY HILLS,0900046A,293,183,N,1157,POLLING PLACE,142,63,52,
BEVERLY HILLS,0900046A,293,183,N,,VBM PORTION,120,50,42,
BEVERLY HILLS,0900046A,293,183,N,1157,TOTAL,262,113,94,
CALABASAS,1000001E,350,117,N,1213,POLLING PLACE,187,91,55,
CALABASAS,1000001E,350,117,N,,VBM PORTION,141,75,38,
CALABASAS,1000001E,350,117,N,1213,TOTAL,328,166,93,
CALABASAS,1000004A,6033,190,Y,165,POLLING PLACE,,,,
CALABASAS,1000004A,6033,190,Y,,VBM PORTION,34,23,7,
CALABASAS,1000004A,6033,190,Y,165,TOTAL,34,23,7,
CALABASAS,1000006A,351,119,N,1322,POLLING PLACE,249,112,113,
CALABASAS,1000006A,351,119,N,,VBM PORTION,235,103,91,
CALABASAS,1000006A,351,119,N,1322,TOTAL,484,215,204,
CALABASAS,1000006D,6034,117,Y,107,POLLING PLACE,,,,
CALABASAS,1000006D,6034,117,Y,,VBM PORTION,27,14,9,
CALABASAS,1000006D,6034,117,Y,107,TOTAL,27,14,9,
CALABASAS,1000007A,352,118,N,1224,POLLING PLACE,263,124,96,
CALABASAS,1000007A,352,118,N,,VBM PORTION,98,50,32,
CALABASAS,1000007A,352,118,N,1224,TOTAL,361,174,128,
CALABASAS,1000008A,353,119,N,1064,POLLING PLACE,260,114,109,
CALABASAS,1000008A,353,119,N,,VBM PORTION,181,71,76,
CALABASAS,1000008A,353,119,N,1064,TOTAL,441,185,185,
CALABASAS,1000008B,6035,120,Y,56,POLLING PLACE,,,,
CALABASAS,1000008B,6035,120,Y,,VBM PORTION,9,4,2,
CALABASAS,1000008B,6035,120,Y,56,TOTAL,9,4,2,
CALABASAS,1000009A,354,118,N,545,POLLING PLACE,150,74,61,
CALABASAS,1000009A,354,118,N,,VBM PORTION,68,19,34,
CALABASAS,1000009A,354,118,N,545,TOTAL,218,93,95,
CALABASAS,1000010A,355,118,N,778,POLLING PLACE,128,65,46,
CALABASAS,1000010A,355,118,N,,VBM PORTION,111,49,43,
CALABASAS,1000010A,355,118,N,778,TOTAL,239,114,89,
CALABASAS,1000011A,356,118,N,561,POLLING PLACE,129,55,54,
CALABASAS,1000011A,356,118,N,,VBM PORTION,53,20,19,
CALABASAS,1000011A,356,118,N,561,TOTAL,182,75,73,
CALABASAS,1000012A,357,117,N,893,POLLING PLACE,188,81,71,
CALABASAS,1000012A,357,117,N,,VBM PORTION,99,45,37,
CALABASAS,1000012A,357,117,N,893,TOTAL,287,126,108,
CALABASAS,1000013A,358,118,N,1111,POLLING PLACE,189,69,76,
CALABASAS,1000013A,358,118,N,,VBM PORTION,87,50,25,
CALABASAS,1000013A,358,118,N,1111,TOTAL,276,119,101,
CALABASAS,1000016A,359,119,N,1161,POLLING PLACE,299,132,136,
CALABASAS,1000016A,359,119,N,,VBM PORTION,169,67,72,
CALABASAS,1000016A,359,119,N,1161,TOTAL,468,199,208,
CALABASAS,1000033A,360,117,N,976,POLLING PLACE,182,84,61,
CALABASAS,1000033A,360,117,N,,VBM PORTION,130,58,43,
CALABASAS,1000033A,360,117,N,976,TOTAL,312,142,104,
CALABASAS,1000075A,361,119,N,901,POLLING PLACE,181,95,67,
CALABASAS,1000075A,361,119,N,,VBM PORTION,118,60,46,
CALABASAS,1000075A,361,119,N,901,TOTAL,299,155,113,
CALABASAS,1000076A,362,119,N,1248,POLLING PLACE,299,123,122,
CALABASAS,1000076A,362,119,N,,VBM PORTION,169,61,71,
CALABASAS,1000076A,362,119,N,1248,TOTAL,468,184,193,
CALABASAS,1000077A,363,119,N,887,POLLING PLACE,241,114,71,
CALABASAS,1000077A,363,119,N,,VBM PORTION,116,49,36,
CALABASAS,1000077A,363,119,N,887,TOTAL,357,163,107,
FRANKLIN,2400001A,6085,184,Y,2,POLLING PLACE,,,,
FRANKLIN,2400001A,6085,184,Y,,VBM PORTION,,,,
FRANKLIN,2400001A,6085,184,Y,2,TOTAL,,,,
GILMORE,2520001A,6086,183,Y,,POLLING PLACE,,,,
GILMORE,2520001A,6086,183,Y,,VBM PORTION,,,,
GILMORE,2520001A,6086,183,Y,,TOTAL,,,,
HIDDEN HILLS,2780002A,1097,115,N,1261,POLLING PLACE,354,180,112,
HIDDEN HILLS,2780002A,1097,115,N,,VBM PORTION,130,56,43,
HIDDEN HILLS,2780002A,1097,115,N,1261,TOTAL,484,236,155,
MALIBU,4050002A,1702,188,N,779,POLLING PLACE,242,121,91,
MALIBU,4050002A,1702,188,N,,VBM PORTION,83,35,32,
MALIBU,4050002A,1702,188,N,779,TOTAL,325,156,123,
MALIBU,4050003A,1703,188,N,676,POLLING PLACE,221,96,86,
MALIBU,4050003A,1703,188,N,,VBM PORTION,80,34,33,
MALIBU,4050003A,1703,188,N,676,TOTAL,301,130,119,
