SchoolCode	SchoolName	EthnicityRace	Grade	PrimaryResidency	UnaccompaniedYouthIndicator	RunawayYouthIndicator	StartDate	EnrollmentStatusCode	ExitDate	SINFStartDate	EngLangAcqStatus	TitleIMigrant	SpecialEducation
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	8/20/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	4	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	3/18/2014	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	4/17/2015	10-Primary enrollment	6/30/2015	6/12/2014	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	1	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	8/20/2013	EO  	N	N
6027288	Barton (Clara) Elementary	White	2	100-Temporary Shelters	N	N	3/6/2015	10-Primary enrollment	4/24/2015	11/12/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	1	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	8/20/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	7/1/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	10/24/2013	EO  	N	N
6027288	Barton (Clara) Elementary	White	KN	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	8/21/2014	EO  	N	Y
6027288	Barton (Clara) Elementary	Black/African Am	KN	120-Temporarily Doubled Up	N	N	5/18/2015	10-Primary enrollment	7/8/2015	9/1/2015	EO  	N	N
6027288	Barton (Clara) Elementary	Asian	4	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	12/4/2014	8/20/2013	EL  	N	Y
6027288	Barton (Clara) Elementary	Hispanic	KN	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	8/21/2014	EL  	N	Y
6027288	Barton (Clara) Elementary	Hispanic	KN	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	8/21/2014	EL  	N	N
6027288	Barton (Clara) Elementary	White	3	100-Temporary Shelters	N	N	4/21/2015	10-Primary enrollment	6/30/2015	4/17/2014	EO  	N	N
6027288	Barton (Clara) Elementary	White	2	100-Temporary Shelters	N	N	4/21/2015	10-Primary enrollment	6/30/2015	4/17/2014	EO  	N	N
6027288	Barton (Clara) Elementary	Asian	1	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	8/20/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	KN	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	8/21/2014	EL  	N	N
6027288	Barton (Clara) Elementary	White	4	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	8/5/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	8/20/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	8/21/2014	10-Primary enrollment	6/30/2015	7/1/2013	EL  	N	N
