SchoolCode	SchoolName	EthnicityRace	Grade	PrimaryResidency	UnaccompaniedYouthIndicator	RunawayYouthIndicator	StartDate	EnrollmentStatusCode	ExitDate	SINFStartDate	EngLangAcqStatus	TitleIMigrant	SpecialEducation
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	4/12/2010	10-Primary enrollment	6/24/2011	8/14/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	5/7/2010	10-Primary enrollment	6/30/2014	7/1/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	2	120-Temporarily Doubled Up	N	N	8/20/2009	10-Primary enrollment	6/30/2011	8/21/2014	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	4/3/2008	10-Primary enrollment	6/24/2011	8/26/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	1/9/2008	10-Primary enrollment	1/14/2011	4/25/2014	RFEP	N	N
6027288	Barton (Clara) Elementary	Am Indian/Alskn Nat	6	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/24/2011	8/26/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	KN	100-Temporary Shelters	N	N	8/20/2009	10-Primary enrollment	6/30/2010	5/29/2014	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	100-Temporary Shelters	N	N	11/12/2008	10-Primary enrollment	6/30/2010	5/29/2014	EO  	N	N
6027288	Barton (Clara) Elementary	Missing	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/21/2012	7/1/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	8/20/2009	10-Primary enrollment	3/9/2012	7/1/2013	EL  	N	Y
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	5/7/2010	10-Primary enrollment	6/24/2011	8/26/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/21/2012	7/1/2013	IFEP	N	N
6027288	Barton (Clara) Elementary	White	6	120-Temporarily Doubled Up	N	N	7/12/2004	10-Primary enrollment	6/24/2011	8/26/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	7/7/2003	10-Primary enrollment	6/30/2010	7/1/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	2	120-Temporarily Doubled Up	N	N	8/18/2008	10-Primary enrollment	6/28/2013	3/14/2014	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	7/12/2004	10-Primary enrollment	6/24/2011	8/26/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	7/12/2004	10-Primary enrollment	6/24/2011	8/26/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	4	120-Temporarily Doubled Up	N	N	7/10/2006	10-Primary enrollment	6/28/2013	8/26/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	7/12/2004	10-Primary enrollment	6/24/2011	8/26/2013	RFEP	N	Y
6027288	Barton (Clara) Elementary	Hispanic	4	120-Temporarily Doubled Up	N	N	8/8/2006	10-Primary enrollment	5/17/2012	9/3/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	7/12/2004	10-Primary enrollment	6/24/2011	8/26/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	KN	100-Temporary Shelters	N	N	9/2/2009	10-Primary enrollment	6/30/2010	6/1/2014	RFEP	N	N
6027288	Barton (Clara) Elementary	White	6	120-Temporarily Doubled Up	N	N	7/12/2004	10-Primary enrollment	9/16/2010	8/26/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Missing	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/21/2012	7/1/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	8/18/2008	10-Primary enrollment	7/11/2011	1/31/2014	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	8/18/2008	10-Primary enrollment	6/30/2011	7/1/2013	EL  	N	Y
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	8/18/2008	10-Primary enrollment	6/24/2011	3/31/2016	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	5/13/2010	10-Primary enrollment	1/31/2011	7/1/2010	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	2	120-Temporarily Doubled Up	N	N	1/12/2010	10-Primary enrollment	6/30/2010	9/27/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	5/12/2008	10-Primary enrollment	6/21/2012	7/1/2013	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	7/12/2004	10-Primary enrollment	6/24/2011	8/26/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Missing	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/21/2012	7/1/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Missing	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/21/2012	7/1/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	2/3/2010	10-Primary enrollment	6/24/2011	8/26/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	12/16/2009	10-Primary enrollment	6/30/2010	12/16/2009	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	2	120-Temporarily Doubled Up	N	N	12/1/2009	10-Primary enrollment	6/30/2010	5/7/2014	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	12/1/2009	10-Primary enrollment	6/30/2010	5/7/2014	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	6	110-Hotels/motels	N	N	5/1/2007	10-Primary enrollment	4/1/2011	3/18/2014	EO  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	7/12/2004	10-Primary enrollment	6/30/2011	8/26/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	7/12/2004	10-Primary enrollment	6/30/2011	9/3/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/26/2012	7/1/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	1	120-Temporarily Doubled Up	N	N	7/9/2009	10-Primary enrollment	6/27/2014	7/1/2013	EL  	Y	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	8/7/2006	10-Primary enrollment	6/26/2012	7/1/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	7/9/2007	10-Primary enrollment	6/30/2014	7/1/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	8/4/2008	10-Primary enrollment	6/26/2012	9/6/2013	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/26/2012	7/1/2013	EO  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	4	120-Temporarily Doubled Up	N	N	7/10/2006	10-Primary enrollment	6/28/2013	4/15/2014	EO  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	4	120-Temporarily Doubled Up	N	N	10/10/2006	10-Primary enrollment	6/30/2011	8/26/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/6/2010	10-Primary enrollment	6/26/2012	7/1/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	6	130-Temporarily Unsheltered	N	N	7/12/2004	10-Primary enrollment	9/24/2010	11/14/2013	EL  	Y	N
6027429	Edison (Thomas) Elementary	Hispanic	1	110-Hotels/motels	N	N	7/9/2009	10-Primary enrollment	9/24/2010	11/15/2013	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/26/2012	7/1/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	9/27/2004	10-Primary enrollment	6/30/2011	8/26/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/26/2012	7/1/2013	EL  	Y	N
6027429	Edison (Thomas) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	6/4/2008	10-Primary enrollment	7/23/2010	8/26/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/6/2010	10-Primary enrollment	5/25/2012	7/1/2013	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	KN	120-Temporarily Doubled Up	N	N	7/6/2010	10-Primary enrollment	6/27/2014	7/1/2013	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/9/2007	10-Primary enrollment	5/25/2012	6/9/2014	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	2	120-Temporarily Doubled Up	N	N	7/8/2008	10-Primary enrollment	6/27/2014	7/1/2013	EL  	N	Y
6027429	Edison (Thomas) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	3/24/2008	10-Primary enrollment	6/30/2010	7/1/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	4	120-Temporarily Doubled Up	N	N	3/24/2008	10-Primary enrollment	6/28/2013	8/26/2013	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	2	120-Temporarily Doubled Up	N	N	7/8/2008	10-Primary enrollment	6/27/2014	7/1/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	2	120-Temporarily Doubled Up	N	N	11/30/2009	10-Primary enrollment	1/28/2011	7/1/2013	EL  	Y	N
6027429	Edison (Thomas) Elementary	Hispanic	4	120-Temporarily Doubled Up	N	N	11/30/2009	10-Primary enrollment	1/28/2011	8/26/2013	EL  	Y	N
6027429	Edison (Thomas) Elementary	Asian	6	120-Temporarily Doubled Up	N	N	7/12/2004	10-Primary enrollment	5/27/2011	9/4/2013	EO  	N	N
6027429	Edison (Thomas) Elementary	Missing	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/26/2012	7/1/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	7/9/2007	10-Primary enrollment	6/30/2014	7/1/2013	RFEP	N	Y
6027429	Edison (Thomas) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	8/21/2008	10-Primary enrollment	6/30/2010	7/1/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	2	120-Temporarily Doubled Up	N	N	7/9/2009	10-Primary enrollment	6/27/2014	7/1/2013	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	6/1/2009	10-Primary enrollment	6/26/2012	3/31/2016	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	10/5/2009	10-Primary enrollment	6/26/2012	7/1/2013	EL  	N	Y
6027429	Edison (Thomas) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	7/6/2010	10-Primary enrollment	6/30/2011	8/26/2013	EL  	Y	N
6027429	Edison (Thomas) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	10/5/2009	10-Primary enrollment	6/30/2014	7/1/2013	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/31/2007	10-Primary enrollment	6/26/2012	7/1/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	7/9/2007	10-Primary enrollment	5/27/2011	7/1/2009	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/26/2012	7/1/2013	EO  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/6/2010	10-Primary enrollment	5/25/2012	7/1/2013	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	12/12/2006	10-Primary enrollment	6/30/2011	8/26/2013	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	5/1/2006	10-Primary enrollment	5/27/2011	8/26/2013	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	4	120-Temporarily Doubled Up	N	N	7/6/2010	10-Primary enrollment	6/30/2011	8/26/2013	EL  	N	N
6027429	Edison (Thomas) Elementary	Hispanic	2	120-Temporarily Doubled Up	N	N	7/6/2010	10-Primary enrollment	6/30/2011	2/4/2014	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/6/2010	10-Primary enrollment	6/30/2011	2/4/2014	RFEP	N	Y
6027429	Edison (Thomas) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	7/11/2005	10-Primary enrollment	6/26/2012	7/1/2013	EL  	N	Y
6027429	Edison (Thomas) Elementary	Hispanic	6	120-Temporarily Doubled Up	N	N	10/11/2004	10-Primary enrollment	5/27/2011	8/26/2013	RFEP	N	N
6027429	Edison (Thomas) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	7/9/2007	10-Primary enrollment	6/30/2014	7/1/2013	RFEP	N	N
