SchoolCode	SchoolName	EthnicityRace	Grade	PrimaryResidency	UnaccompaniedYouthIndicator	RunawayYouthIndicator	StartDate	EnrollmentStatusCode	ExitDate	SINFStartDate	EngLangAcqStatus	TitleIMigrant	SpecialEducation
6027288	Barton (Clara) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	8/20/2013	10-Primary enrollment	6/27/2014	8/20/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	8/20/2013	10-Primary enrollment	6/27/2014	3/18/2014	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	2	120-Temporarily Doubled Up	N	N	8/21/2013	10-Primary enrollment	6/27/2014	8/21/2013	EL  	N	Y
6027288	Barton (Clara) Elementary	Hispanic	5	120-Temporarily Doubled Up	N	N	2/19/2014	10-Primary enrollment	6/27/2014	2/19/2014	RFEP	N	N
6027288	Barton (Clara) Elementary	Hispanic	1	120-Temporarily Doubled Up	N	N	8/29/2011	10-Primary enrollment	7/5/2013	8/26/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	KN	120-Temporarily Doubled Up	N	N	8/20/2013	10-Primary enrollment	6/27/2014	8/20/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	3	120-Temporarily Doubled Up	N	N	8/30/2010	10-Primary enrollment	6/27/2014	7/1/2013	EL  	N	N
6027288	Barton (Clara) Elementary	Hispanic	KN	120-Temporarily Doubled Up	N	N	8/20/2013	10-Primary enrollment	6/27/2014	8/20/2013	EL  	N	N
6027288	Barton (Clara) Elementary	White	KN	120-Temporarily Doubled Up	N	N	8/20/2013	10-Primary enrollment	10/23/2013	10/24/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	KN	120-Temporarily Doubled Up	N	N	8/20/2013	10-Primary enrollment	1/15/2014	1/23/2014	EL  	N	N
6027288	Barton (Clara) Elementary	White	5	100-Temporary Shelters	N	N	8/20/2013	10-Primary enrollment	6/30/2014	8/20/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	5	100-Temporary Shelters	N	N	10/7/2013	10-Primary enrollment	6/27/2014	10/7/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	2	120-Temporarily Doubled Up	N	N	10/24/2013	10-Primary enrollment	6/27/2014	10/24/2013	EO  	N	N
6027288	Barton (Clara) Elementary	Hispanic	1	120-Temporarily Doubled Up	N	N	8/22/2012	10-Primary enrollment	7/5/2013	8/20/2013	EL  	N	N
6027288	Barton (Clara) Elementary	White	2	110-Hotels/motels	N	N	8/29/2011	10-Primary enrollment	6/30/2014	7/1/2013	EO  	N	Y
