LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
CITY OF CULVER CITY,N,26285,POLLING PLACE,3601,2572,816
CITY OF CULVER CITY,N,0,VBM PORTION,3110,2134,647
CITY OF CULVER CITY,N,26285,TOTAL,6703,4706,1463
UNINCORPORATED,N,1,POLLING PLACE,0,0,0
UNINCORPORATED,N,0,VBM PORTION,16,7,0
UNINCORPORATED,N,1,TOTAL,8,7,0
