LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,266,72,56,301,233,446
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,213,64,69,276,255,440
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,479,136,125,577,488,886
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,639,102,85,936,251,475
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,763,97,82,569,309,509
CITY OF ALHAMBRA,N,37025,TOTAL,5368,1402,199,167,1505,560,984
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,398,80,50,343,393,853
CITY OF ARCADIA,N,0,VBM PORTION,3054,639,88,57,353,505,1009
CITY OF ARCADIA,N,29165,TOTAL,5433,1037,168,107,696,898,1862
CITY OF ARTESIA,N,7390,POLLING PLACE,555,84,24,23,160,81,94
CITY OF ARTESIA,N,0,VBM PORTION,596,115,23,22,124,112,122
CITY OF ARTESIA,N,7390,TOTAL,1149,199,47,45,284,193,216
CITY OF AVALON,N,1730,POLLING PLACE,190,16,5,10,55,33,41
CITY OF AVALON,N,0,VBM PORTION,184,23,11,5,30,51,44
CITY OF AVALON,N,1730,TOTAL,374,39,16,15,85,84,85
CITY OF AZUSA,N,18442,POLLING PLACE,1308,222,62,30,388,161,268
CITY OF AZUSA,N,0,VBM PORTION,1201,222,51,53,255,188,295
CITY OF AZUSA,N,18442,TOTAL,2508,444,113,83,643,349,563
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,333,84,67,680,134,191
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,295,74,61,451,136,180
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,628,158,128,1131,270,371
CITY OF BELL,N,11175,POLLING PLACE,618,76,19,52,294,33,52
CITY OF BELL,N,0,VBM PORTION,349,37,16,16,144,31,54
CITY OF BELL,N,11175,TOTAL,966,113,35,68,438,64,106
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,87,36,20,252,37,33
CITY OF BELL GARDENS,N,0,VBM PORTION,316,62,22,16,116,27,28
CITY OF BELL GARDENS,N,12887,TOTAL,855,149,58,36,368,64,61
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,343,82,74,569,349,414
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,322,100,94,413,392,391
CITY OF BELLFLOWER,N,34364,TOTAL,4019,665,182,168,982,741,805
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,370,109,67,502,204,436
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,365,84,81,571,296,568
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,735,193,148,1073,500,1004
CITY OF BRADBURY,N,599,POLLING PLACE,66,6,1,1,13,16,25
CITY OF BRADBURY,N,0,VBM PORTION,67,13,3,0,2,4,36
CITY OF BRADBURY,N,599,TOTAL,133,19,4,1,15,20,61
CITY OF BURBANK,N,60155,POLLING PLACE,4654,967,239,139,975,676,1165
CITY OF BURBANK,N,0,VBM PORTION,4858,883,280,194,884,731,1284
CITY OF BURBANK,N,60155,TOTAL,9510,1850,519,333,1859,1407,2449
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,194,66,57,320,215,362
CITY OF CALABASAS,N,0,VBM PORTION,1873,235,82,60,341,277,584
CITY OF CALABASAS,N,14914,TOTAL,3327,429,148,117,661,492,946
CITY OF CARSON,N,52903,POLLING PLACE,5087,1089,171,327,1950,332,443
CITY OF CARSON,N,0,VBM PORTION,4089,958,152,393,1220,439,448
CITY OF CARSON,N,52903,TOTAL,9175,2047,323,720,3170,771,891
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,537,79,62,614,528,607
CITY OF CERRITOS,N,0,VBM PORTION,3286,826,140,99,550,587,638
CITY OF CERRITOS,N,31594,TOTAL,6062,1363,219,161,1164,1115,1245
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,712,91,50,609,364,727
CITY OF CLAREMONT,N,0,VBM PORTION,2652,623,98,60,495,387,673
CITY OF CLAREMONT,N,22235,TOTAL,5533,1335,189,110,1104,751,1400
CITY OF COMMERCE,N,6256,POLLING PLACE,444,89,14,11,203,27,21
CITY OF COMMERCE,N,0,VBM PORTION,247,51,6,17,109,24,11
CITY OF COMMERCE,N,6256,TOTAL,686,140,20,28,312,51,32
CITY OF COMPTON,N,43063,POLLING PLACE,3022,688,107,220,1201,138,57
CITY OF COMPTON,N,0,VBM PORTION,1873,469,61,261,647,77,54
CITY OF COMPTON,N,43063,TOTAL,4894,1157,168,481,1848,215,111
CITY OF COVINA,N,26090,POLLING PLACE,2040,272,77,57,478,354,601
CITY OF COVINA,N,0,VBM PORTION,1877,293,73,61,387,299,555
CITY OF COVINA,N,26090,TOTAL,3913,565,150,118,865,653,1156
CITY OF CUDAHY,N,6697,POLLING PLACE,376,67,22,31,165,17,18
CITY OF CUDAHY,N,0,VBM PORTION,164,31,5,19,70,10,9
CITY OF CUDAHY,N,6697,TOTAL,539,98,27,50,235,27,27
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,1139,211,89,728,260,593
CITY OF CULVER CITY,N,0,VBM PORTION,3120,933,167,80,648,260,559
CITY OF CULVER CITY,N,26286,TOTAL,6708,2072,378,169,1376,520,1152
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,416,84,96,529,526,686
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,584,100,111,465,665,781
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,1000,184,207,994,1191,1467
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,799,226,138,1652,1017,1207
CITY OF DOWNEY,N,0,VBM PORTION,3452,507,141,103,749,666,836
CITY OF DOWNEY,N,54713,TOTAL,9292,1306,367,241,2401,1683,2043
CITY OF DUARTE,N,11742,POLLING PLACE,960,161,44,18,239,134,256
CITY OF DUARTE,N,0,VBM PORTION,1099,218,66,29,238,173,275
CITY OF DUARTE,N,11742,TOTAL,2059,379,110,47,477,307,531
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,463,120,103,900,246,227
CITY OF EL MONTE,N,0,VBM PORTION,1885,510,80,91,530,261,245
CITY OF EL MONTE,N,36036,TOTAL,4201,973,200,194,1430,507,472
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,200,92,48,224,240,454
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,151,82,60,170,260,439
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,351,174,108,394,500,893
CITY OF GARDENA,N,30000,POLLING PLACE,2779,772,96,188,711,173,396
CITY OF GARDENA,N,0,VBM PORTION,2597,731,120,167,542,261,388
CITY OF GARDENA,N,30000,TOTAL,5358,1503,216,355,1253,434,784
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,1495,390,267,1925,1252,2121
CITY OF GLENDALE,N,0,VBM PORTION,12284,1627,592,431,2194,1397,2378
CITY OF GLENDALE,N,97282,TOTAL,21689,3122,982,698,4119,2649,4499
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,267,97,55,410,603,1116
CITY OF GLENDORA,N,0,VBM PORTION,2920,307,104,86,374,641,1076
CITY OF GLENDORA,N,31341,TOTAL,5784,574,201,141,784,1244,2192
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,45,11,16,102,32,31
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,75,16,33,62,51,36
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,120,27,49,164,83,67
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,477,104,206,739,211,310
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,395,110,185,477,273,340
CITY OF HAWTHORNE,N,36483,TOTAL,4464,872,214,391,1216,484,650
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,323,85,36,312,184,542
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,319,80,31,240,262,492
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,642,165,67,552,446,1034
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,18,3,5,18,29,55
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,13,1,2,13,30,46
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,31,4,7,31,59,101
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,169,54,56,481,54,45
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,99,34,20,277,36,56
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,268,88,76,758,90,101
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,0,0,1,1,13,13
CITY OF INDUSTRY,N,103,TOTAL,32,0,0,1,1,13,13
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,1204,202,472,1735,174,132
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,856,156,482,1046,143,155
CITY OF INGLEWOOD,N,55170,TOTAL,8342,2060,358,954,2781,317,287
CITY OF IRWINDALE,N,939,POLLING PLACE,75,10,2,3,33,1,12
CITY OF IRWINDALE,N,0,VBM PORTION,61,9,1,3,26,3,12
CITY OF IRWINDALE,N,939,TOTAL,135,19,3,6,59,4,24
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,243,34,29,210,276,661
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,349,82,33,270,395,896
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,592,116,62,480,671,1557
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,35,13,12,45,96,187
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,54,12,13,56,118,242
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,89,25,25,101,214,429
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,291,61,81,476,543,694
CITY OF LA MIRADA,N,0,VBM PORTION,2428,314,93,122,388,522,700
CITY OF LA MIRADA,N,27147,TOTAL,4843,605,154,203,864,1065,1394
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,102,49,51,450,91,97
CITY OF LA PUENTE,N,0,VBM PORTION,740,108,34,48,307,70,106
CITY OF LA PUENTE,N,15802,TOTAL,1699,210,83,99,757,161,203
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,285,66,52,427,555,827
CITY OF LA VERNE,N,0,VBM PORTION,2109,236,76,69,353,478,658
CITY OF LA VERNE,N,20532,TOTAL,4568,521,142,121,780,1033,1485
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,625,188,221,922,895,1135
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,581,218,279,676,871,1024
CITY OF LAKEWOOD,N,48358,TOTAL,8638,1206,406,500,1598,1766,2159
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,666,207,159,922,1094,1756
CITY OF LANCASTER,N,0,VBM PORTION,6128,858,245,275,843,1158,2181
CITY OF LANCASTER,N,73718,TOTAL,11514,1524,452,434,1765,2252,3937
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,124,59,64,272,103,121
CITY OF LAWNDALE,N,0,VBM PORTION,697,119,57,56,170,95,125
CITY OF LAWNDALE,N,13398,TOTAL,1522,243,116,120,442,198,246
CITY OF LOMITA,N,11237,POLLING PLACE,1073,170,46,22,203,150,396
CITY OF LOMITA,N,0,VBM PORTION,1050,181,54,43,183,181,311
CITY OF LOMITA,N,11237,TOTAL,2122,351,100,65,386,331,707
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,4990,1444,978,7268,3843,4466
CITY OF LONG BEACH,N,0,VBM PORTION,25748,4793,1391,1112,5520,4197,5201
CITY OF LONG BEACH,N,254779,TOTAL,52664,9783,2835,2090,12788,8040,9667
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,34573,7902,5939,44092,12961,25989
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,31530,7208,6613,33404,14591,25589
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,66103,15110,12552,77496,27552,51578
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,170,45,96,416,60,41
CITY OF LYNWOOD,N,0,VBM PORTION,754,154,55,111,260,61,39
CITY OF LYNWOOD,N,24503,TOTAL,1711,324,100,207,676,121,80
CITY OF MALIBU,N,9097,POLLING PLACE,1202,240,115,46,200,117,281
CITY OF MALIBU,N,0,VBM PORTION,1236,182,64,30,214,148,355
CITY OF MALIBU,N,9097,TOTAL,2437,422,179,76,414,265,636
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,603,118,54,462,438,1296
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,597,141,63,447,530,1243
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,1200,259,117,909,968,2539
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,49,21,36,241,20,25
CITY OF MAYWOOD,N,0,VBM PORTION,258,42,13,21,133,18,14
CITY OF MAYWOOD,N,8324,TOTAL,708,91,34,57,374,38,39
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,298,70,46,373,289,580
CITY OF MONROVIA,N,0,VBM PORTION,1919,330,94,62,358,350,502
CITY OF MONROVIA,N,20047,TOTAL,3752,628,164,108,731,639,1082
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,452,71,56,925,205,236
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,408,46,54,609,178,265
CITY OF MONTEBELLO,N,28939,TOTAL,3924,860,117,110,1534,383,501
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,749,84,47,620,218,310
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,982,71,62,544,305,402
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,1731,155,109,1164,523,712
CITY OF NORWALK,N,47546,POLLING PLACE,2626,372,106,118,944,364,392
CITY OF NORWALK,N,0,VBM PORTION,2657,471,116,190,795,384,474
CITY OF NORWALK,N,47546,TOTAL,5277,843,222,308,1739,748,866
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,713,218,204,1105,857,1415
CITY OF PALMDALE,N,0,VBM PORTION,5361,797,269,260,916,1086,1555
CITY OF PALMDALE,N,69762,TOTAL,10378,1510,487,464,2021,1943,2970
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,150,37,14,154,190,611
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,206,49,16,172,327,772
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,356,86,30,326,517,1383
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,146,30,68,406,70,86
CITY OF PARAMOUNT,N,0,VBM PORTION,648,105,30,73,203,67,76
CITY OF PARAMOUNT,N,19999,TOTAL,1576,251,60,141,609,137,162
CITY OF PASADENA,N,78446,POLLING PLACE,7034,1807,302,186,1720,654,1653
CITY OF PASADENA,N,0,VBM PORTION,8408,1846,316,287,1658,994,2180
CITY OF PASADENA,N,78446,TOTAL,15431,3653,618,473,3378,1648,3833
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,314,53,57,1024,181,189
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,249,55,62,788,160,169
CITY OF PICO RIVERA,N,32447,TOTAL,3746,563,108,119,1812,341,358
CITY OF POMONA,N,57598,POLLING PLACE,3541,700,132,112,1230,427,507
CITY OF POMONA,N,0,VBM PORTION,3368,643,136,197,950,521,607
CITY OF POMONA,N,57598,TOTAL,6909,1343,268,309,2180,948,1114
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,609,132,43,499,489,1581
