LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TODD S ROGERS,BOB OLMSTED,JIM MCDONNELL,LOU VINCE,PAUL TANAKA,JAMES HELLMOLD,PATRICK L GOMEZ
CITY OF CULVER CITY,N,0,VBM PORTION,3120,176,199,1184,145,353,187,82
CITY OF CULVER CITY,N,26286,TOTAL,6708,422,497,2656,284,776,370,173
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,127,357,1011,78,486,183,106
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,130,335,1034,131,559,211,110
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,257,692,2045,209,1045,394,216
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,246,426,2538,291,805,329,549
CITY OF DOWNEY,N,0,VBM PORTION,3452,105,229,1532,203,391,189,252
CITY OF DOWNEY,N,54713,TOTAL,9292,351,655,4070,494,1196,518,801
CITY OF DUARTE,N,11742,POLLING PLACE,960,47,128,341,47,144,74,76
CITY OF DUARTE,N,0,VBM PORTION,1099,78,125,356,59,162,84,60
CITY OF DUARTE,N,11742,TOTAL,2059,125,253,697,106,306,158,136
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,115,192,789,110,272,170,399
CITY OF EL MONTE,N,0,VBM PORTION,1885,90,167,618,159,223,138,193
CITY OF EL MONTE,N,36036,TOTAL,4201,205,359,1407,269,495,308,592
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,59,114,669,44,212,115,31
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,36,96,596,37,196,119,31
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,95,210,1265,81,408,234,62
CITY OF GARDENA,N,30000,POLLING PLACE,2779,112,187,796,65,1142,122,75
CITY OF GARDENA,N,0,VBM PORTION,2597,77,118,577,64,1225,152,70
CITY OF GARDENA,N,30000,TOTAL,5358,189,305,1373,129,2367,274,145
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,374,911,3614,361,1088,670,365
CITY OF GLENDALE,N,0,VBM PORTION,12284,524,875,3443,518,1262,904,307
CITY OF GLENDALE,N,97282,TOTAL,21689,898,1786,7057,879,2350,1574,672
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,91,493,1334,78,351,150,74
CITY OF GLENDORA,N,0,VBM PORTION,2920,134,394,1052,129,425,221,72
CITY OF GLENDORA,N,31341,TOTAL,5784,225,887,2386,207,776,371,146
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,10,72,87,10,30,11,39
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,25,49,105,6,33,20,20
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,35,121,192,16,63,31,59
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,150,207,834,81,337,278,229
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,132,142,682,98,292,246,125
CITY OF HAWTHORNE,N,36483,TOTAL,4464,282,349,1516,179,629,524,354
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,53,143,814,40,218,70,30
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,65,107,732,51,198,70,24
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,118,250,1546,91,416,140,54
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,4,3,92,2,9,10,7
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,5,9,73,3,6,6,3
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,9,12,165,5,15,16,10
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,66,70,235,69,60,70,311
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,24,36,160,28,65,31,162
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,90,106,395,97,125,101,473
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,2,4,16,1,2,3,1
CITY OF INDUSTRY,N,103,TOTAL,32,2,4,16,1,2,3,1
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,282,278,1888,138,554,544,378
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,258,232,914,163,412,482,189
CITY OF INGLEWOOD,N,55170,TOTAL,8342,540,510,2802,301,966,1026,567
CITY OF IRWINDALE,N,939,POLLING PLACE,75,2,6,28,0,5,6,15
CITY OF IRWINDALE,N,0,VBM PORTION,61,3,5,19,1,9,2,19
CITY OF IRWINDALE,N,939,TOTAL,135,5,11,47,1,14,8,34
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,24,141,861,34,212,131,40
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,71,162,926,61,353,207,52
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,95,303,1787,95,565,338,92
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,13,65,204,12,59,22,9
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,9,61,255,6,85,22,11
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,22,126,459,18,144,44,20
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,114,242,1193,59,329,137,139
CITY OF LA MIRADA,N,0,VBM PORTION,2428,89,235,1046,98,326,157,99
CITY OF LA MIRADA,N,27147,TOTAL,4843,203,477,2239,157,655,294,238
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,33,86,349,55,85,69,160
CITY OF LA PUENTE,N,0,VBM PORTION,740,27,64,232,53,82,53,127
CITY OF LA PUENTE,N,15802,TOTAL,1699,60,150,581,108,167,122,287
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,78,383,1094,87,318,157,80
CITY OF LA VERNE,N,0,VBM PORTION,2109,57,237,864,116,266,176,86
CITY OF LA VERNE,N,20532,TOTAL,4568,135,620,1958,203,584,333,166
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,1307,268,1761,75,413,182,175
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,982,244,1589,112,385,187,154
CITY OF LAKEWOOD,N,48358,TOTAL,8638,2289,512,3350,187,798,369,329
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,432,635,2038,273,791,350,338
CITY OF LANCASTER,N,0,VBM PORTION,6128,435,620,2182,378,860,432,285
CITY OF LANCASTER,N,73718,TOTAL,11514,867,1255,4220,651,1651,782,623
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,53,79,288,34,140,89,89
CITY OF LAWNDALE,N,0,VBM PORTION,697,48,49,218,34,90,77,58
CITY OF LAWNDALE,N,13398,TOTAL,1522,101,128,506,68,230,166,147
CITY OF LOMITA,N,11237,POLLING PLACE,1073,82,123,418,45,254,37,42
CITY OF LOMITA,N,0,VBM PORTION,1050,63,69,355,63,235,58,41
CITY OF LOMITA,N,11237,TOTAL,2122,145,192,773,108,489,95,83
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,1014,1163,17409,640,1999,710,1093
CITY OF LONG BEACH,N,0,VBM PORTION,25748,827,1059,16761,740,1735,759,547
CITY OF LONG BEACH,N,254779,TOTAL,52664,1841,2222,34170,1380,3734,1469,1640
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,7581,12308,65331,7062,16797,10185,10672
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,7195,10142,54017,7260,15440,10478,6140
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,14776,22450,119348,14322,32237,20663,16812
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,62,82,254,29,99,140,177
CITY OF LYNWOOD,N,0,VBM PORTION,754,39,43,235,40,78,114,110
CITY OF LYNWOOD,N,24503,TOTAL,1711,101,125,489,69,177,254,287
CITY OF MALIBU,N,9097,POLLING PLACE,1202,22,110,527,77,134,43,26
CITY OF MALIBU,N,0,VBM PORTION,1236,32,92,511,65,141,67,12
CITY OF MALIBU,N,9097,TOTAL,2437,54,202,1038,142,275,110,38
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,114,244,1756,83,427,109,33
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,122,252,1551,72,431,136,32
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,236,496,3307,155,858,245,65
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,25,36,94,29,25,44,134
CITY OF MAYWOOD,N,0,VBM PORTION,258,18,18,69,8,24,26,67
CITY OF MAYWOOD,N,8324,TOTAL,708,43,54,163,37,49,70,201
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,71,210,833,78,244,100,81
CITY OF MONROVIA,N,0,VBM PORTION,1919,67,170,706,98,266,120,53
CITY OF MONROVIA,N,20047,TOTAL,3752,138,380,1539,176,510,220,134
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,85,185,713,111,374,157,365
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,34,77,620,110,278,102,243
CITY OF MONTEBELLO,N,28939,TOTAL,3924,119,262,1333,221,652,259,608
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,79,187,794,93,515,128,191
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,77,156,810,148,645,184,139
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,156,343,1604,241,1160,312,330
CITY OF NORWALK,N,47546,POLLING PLACE,2626,141,223,1087,136,293,150,376
CITY OF NORWALK,N,0,VBM PORTION,2657,140,186,1046,173,322,161,240
CITY OF NORWALK,N,47546,TOTAL,5277,281,409,2133,309,615,311,616
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,475,541,1798,300,729,298,427
CITY OF PALMDALE,N,0,VBM PORTION,5361,443,611,1691,346,722,414,317
CITY OF PALMDALE,N,69762,TOTAL,10378,918,1152,3489,646,1451,712,744
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,30,103,691,27,214,33,9
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,38,114,850,39,268,61,7
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,68,217,1541,66,482,94,16
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,62,71,322,27,86,61,201
CITY OF PARAMOUNT,N,0,VBM PORTION,648,41,61,222,21,51,68,80
CITY OF PARAMOUNT,N,19999,TOTAL,1576,103,132,544,48,137,129,281
CITY OF PASADENA,N,78446,POLLING PLACE,7034,237,530,3580,317,815,356,298
CITY OF PASADENA,N,0,VBM PORTION,8408,266,590,3532,456,1163,565,256
CITY OF PASADENA,N,78446,TOTAL,15431,503,1120,7112,773,1978,921,554
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,109,170,711,116,248,118,411
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,59,109,560,126,158,150,276
CITY OF PICO RIVERA,N,32447,TOTAL,3746,168,279,1271,242,406,268,687
CITY OF POMONA,N,57598,POLLING PLACE,3541,207,366,1088,149,439,380,525
CITY OF POMONA,N,0,VBM PORTION,3368,168,275,1070,199,363,426,302
CITY OF POMONA,N,57598,TOTAL,6909,375,641,2158,348,802,806,827
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,136,327,1867,78,651,121,75
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,151,308,2262,131,721,194,52
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,287,635,4129,209,1372,315,127
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,177,434,1985,165,795,180,96
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,196,402,2092,195,742,271,97
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,373,836,4077,360,1537,451,193
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,14,18,126,2,58,6,3
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,8,21,128,5,43,2,3
CITY OF ROLLING HILLS,N,1510,TOTAL,537,22,39,254,7,101,8,6
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,24,62,430,14,169,16,11
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,38,56,430,17,145,28,8
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,62,118,860,31,314,44,19
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,32,99,423,65,196,74,126
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,47,133,408,98,187,84,95
CITY OF ROSEMEAD,N,20579,TOTAL,2488,79,232,831,163,383,158,221
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,92,268,856,98,302,176,72
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,87,176,765,111,291,179,80
CITY OF SAN DIMAS,N,21257,TOTAL,3989,179,444,1621,209,593,355,152
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,37,41,209,41,73,39,124
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,16,38,149,27,56,33,83
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,53,79,358,68,129,72,207
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,42,121,588,52,193,76,78
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,50,76,470,75,208,98,62
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,92,197,1058,127,401,174,140
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,11,43,487,12,120,18,11
CITY OF SAN MARINO,N,0,VBM PORTION,1161,22,77,586,24,163,55,22
CITY OF SAN MARINO,N,8559,TOTAL,1956,33,120,1073,36,283,73,33
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,491,1246,4249,425,1641,460,272
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,607,1596,4735,655,1832,853,275
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,1098,2842,8984,1080,3473,1313,547
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,28,68,274,34,80,36,90
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,30,36,244,40,51,38,56
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,58,104,518,74,131,74,146
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,274,810,3873,630,969,395,260
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,211,515,2952,405,688,345,137
CITY OF SANTA MONICA,N,62632,TOTAL,16552,485,1325,6825,1035,1657,740,397
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,20,139,596,34,163,51,19
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,27,114,517,42,139,71,18
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,47,253,1113,76,302,122,37
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,26,45,506,24,68,18,25
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,29,38,410,27,71,23,7
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,55,83,916,51,139,41,32
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,15,34,122,15,48,26,99
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,26,22,106,37,45,18,37
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,41,56,228,52,93,44,136
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,110,126,494,83,206,137,465
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,77,93,373,53,95,78,269
CITY OF SOUTH GATE,N,35773,TOTAL,3018,187,219,867,136,301,215,734
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,50,157,1027,78,283,98,63
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,65,128,777,87,295,103,44
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,115,285,1804,165,578,201,107
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,48,179,666,63,249,82,61
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,39,153,576,75,264,90,41
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,87,332,1242,138,513,172,102
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,543,1107,4762,286,3001,488,249
CITY OF TORRANCE,N,0,VBM PORTION,11369,452,953,4115,443,2690,513,176
CITY OF TORRANCE,N,83037,TOTAL,23394,995,2060,8877,729,5691,1001,425
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,1,0,8,0,1,0,1
CITY OF VERNON,N,60,TOTAL,16,1,0,8,0,1,0,1
CITY OF WALNUT,N,18002,POLLING PLACE,1247,57,164,491,31,196,85,72
CITY OF WALNUT,N,0,VBM PORTION,1658,63,160,574,67,279,108,64
CITY OF WALNUT,N,18002,TOTAL,2905,120,324,1065,98,475,193,136
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,189,459,1405,119,511,360,311
CITY OF WEST COVINA,N,0,VBM PORTION,3945,210,429,1356,199,487,369,279
CITY OF WEST COVINA,N,53486,TOTAL,7643,399,888,2761,318,998,729,590
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,111,176,842,342,275,143,89
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,107,130,784,287,185,177,65
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,218,306,1626,629,460,320,154
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,13,77,375,21,76,57,11
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,17,65,316,24,70,89,12
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,30,142,691,45,146,146,23
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,167,486,2132,129,556,210,268
CITY OF WHITTIER,N,0,VBM PORTION,3748,125,338,1707,121,450,236,155
CITY OF WHITTIER,N,46005,TOTAL,8056,292,824,3839,250,1006,446,423
UNINCORPORATED,N,520339,POLLING PLACE,43458,2316,4216,17353,1823,6026,2768,3750
UNINCORPORATED,N,0,VBM PORTION,39390,1945,3723,13986,2103,5757,3010,2096
UNINCORPORATED,N,520339,TOTAL,82731,4261,7939,31339,3926,11783,5778,5846
