LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,STACY WIESE,STEVEN KLAIF
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,902,302
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,857,258
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1759,560
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,84,18
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,74,19
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,158,37
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,527,249
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,354,119
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,881,368
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,16,3
CITY OF INDUSTRY,N,103,TOTAL,32,16,3
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,3108,703
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,2107,543
CITY OF INGLEWOOD,N,55170,TOTAL,8342,5215,1246
CITY OF IRWINDALE,N,939,POLLING PLACE,75,35,11
CITY OF IRWINDALE,N,0,VBM PORTION,61,40,6
CITY OF IRWINDALE,N,939,TOTAL,135,75,17
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,938,253
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,1265,352
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,2203,605
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,255,58
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,357,56
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,612,114
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1497,360
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1457,342
CITY OF LA MIRADA,N,27147,TOTAL,4843,2954,702
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,579,175
CITY OF LA PUENTE,N,0,VBM PORTION,740,454,151
CITY OF LA PUENTE,N,15802,TOTAL,1699,1033,326
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1613,325
CITY OF LA VERNE,N,0,VBM PORTION,2109,1297,279
CITY OF LA VERNE,N,20532,TOTAL,4568,2910,604
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,2820,669
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,2547,626
CITY OF LAKEWOOD,N,48358,TOTAL,8638,5367,1295
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,3450,828
CITY OF LANCASTER,N,0,VBM PORTION,6128,4001,757
CITY OF LANCASTER,N,73718,TOTAL,11514,7451,1585
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,513,184
CITY OF LAWNDALE,N,0,VBM PORTION,697,412,141
CITY OF LAWNDALE,N,13398,TOTAL,1522,925,325
CITY OF LOMITA,N,11237,POLLING PLACE,1073,713,166
CITY OF LOMITA,N,0,VBM PORTION,1050,671,160
CITY OF LOMITA,N,11237,TOTAL,2122,1384,326
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,14279,4868
CITY OF LONG BEACH,N,0,VBM PORTION,25748,14427,4279
CITY OF LONG BEACH,N,254779,TOTAL,52664,28706,9147
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,84142,29035
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,75539,23551
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,159681,52586
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,561,199
CITY OF LYNWOOD,N,0,VBM PORTION,754,447,144
CITY OF LYNWOOD,N,24503,TOTAL,1711,1008,343
CITY OF MALIBU,N,9097,POLLING PLACE,1202,575,195
CITY OF MALIBU,N,0,VBM PORTION,1236,594,177
CITY OF MALIBU,N,9097,TOTAL,2437,1169,372
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1828,523
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1865,418
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,3693,941
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,249,103
CITY OF MAYWOOD,N,0,VBM PORTION,258,156,52
CITY OF MAYWOOD,N,8324,TOTAL,708,405,155
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,1123,287
CITY OF MONROVIA,N,0,VBM PORTION,1919,1098,278
CITY OF MONROVIA,N,20047,TOTAL,3752,2221,565
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,1241,462
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,976,273
CITY OF MONTEBELLO,N,28939,TOTAL,3924,2217,735
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,1215,395
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1331,472
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,2546,867
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1634,474
CITY OF NORWALK,N,0,VBM PORTION,2657,1630,429
CITY OF NORWALK,N,47546,TOTAL,5277,3264,903
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,3270,772
CITY OF PALMDALE,N,0,VBM PORTION,5361,3429,810
CITY OF PALMDALE,N,69762,TOTAL,10378,6699,1582
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,853,149
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,1017,229
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1870,378
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,586,169
CITY OF PARAMOUNT,N,0,VBM PORTION,648,361,117
CITY OF PARAMOUNT,N,19999,TOTAL,1576,947,286
CITY OF PASADENA,N,78446,POLLING PLACE,7034,3807,1453
CITY OF PASADENA,N,0,VBM PORTION,8408,4466,1523
CITY OF PASADENA,N,78446,TOTAL,15431,8273,2976
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,1192,470
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,1028,323
CITY OF PICO RIVERA,N,32447,TOTAL,3746,2220,793
CITY OF POMONA,N,57598,POLLING PLACE,3541,2085,720
CITY OF POMONA,N,0,VBM PORTION,3368,2094,572
CITY OF POMONA,N,57598,TOTAL,6909,4179,1292
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,2331,504
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,2756,627
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,5087,1131
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,2618,698
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,2936,740
