LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DAYAN MATHAI,B OTIS FELDER,JACQUELINE H LEWIS
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,1143,249,699
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1016,284,899
CITY OF GARDENA,N,0,VBM PORTION,2597,794,329,766
CITY OF GARDENA,N,30000,TOTAL,5358,1810,613,1665
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,2793,837,2598
CITY OF GLENDALE,N,0,VBM PORTION,12284,2928,1006,2849
CITY OF GLENDALE,N,97282,TOTAL,21689,5721,1843,5447
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,1387,236,641
CITY OF GLENDORA,N,0,VBM PORTION,2920,1220,261,742
CITY OF GLENDORA,N,31341,TOTAL,5784,2607,497,1383
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,105,32,89
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,106,40,108
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,211,72,197
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,912,270,814
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,740,239,681
CITY OF HAWTHORNE,N,36483,TOTAL,4464,1652,509,1495
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,563,126,551
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,573,122,468
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1136,248,1019
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,57,6,46
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,56,9,31
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,113,15,77
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,357,131,325
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,206,88,191
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,563,219,516
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,15,1,5
CITY OF INDUSTRY,N,103,TOTAL,32,15,1,5
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,1536,409,2024
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,925,360,1445
CITY OF INGLEWOOD,N,55170,TOTAL,8342,2461,769,3469
CITY OF IRWINDALE,N,939,POLLING PLACE,75,27,3,23
CITY OF IRWINDALE,N,0,VBM PORTION,61,27,4,17
CITY OF IRWINDALE,N,939,TOTAL,135,54,7,40
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,617,125,494
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,843,193,627
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,1460,318,1121
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,200,48,93
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,270,49,113
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,470,97,206
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1123,280,545
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1005,302,569
CITY OF LA MIRADA,N,27147,TOTAL,4843,2128,582,1114
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,349,102,332
CITY OF LA PUENTE,N,0,VBM PORTION,740,269,76,267
CITY OF LA PUENTE,N,15802,TOTAL,1699,618,178,599
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1221,221,549
CITY OF LA VERNE,N,0,VBM PORTION,2109,895,159,510
CITY OF LA VERNE,N,20532,TOTAL,4568,2116,380,1059
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,2119,415,1123
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,1642,417,1166
CITY OF LAKEWOOD,N,48358,TOTAL,8638,3761,832,2289
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,2741,511,1148
CITY OF LANCASTER,N,0,VBM PORTION,6128,3008,597,1357
CITY OF LANCASTER,N,73718,TOTAL,11514,5749,1108,2505
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,376,93,251
CITY OF LAWNDALE,N,0,VBM PORTION,697,266,81,232
CITY OF LAWNDALE,N,13398,TOTAL,1522,642,174,483
CITY OF LOMITA,N,11237,POLLING PLACE,1073,504,125,283
CITY OF LOMITA,N,0,VBM PORTION,1050,471,105,280
CITY OF LOMITA,N,11237,TOTAL,2122,975,230,563
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,9832,2386,8013
CITY OF LONG BEACH,N,0,VBM PORTION,25748,9251,2277,7981
CITY OF LONG BEACH,N,254779,TOTAL,52664,19083,4663,15994
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,49654,13217,55726
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,43802,12440,47429
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,93456,25657,103155
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,360,96,337
CITY OF LYNWOOD,N,0,VBM PORTION,754,250,93,275
CITY OF LYNWOOD,N,24503,TOTAL,1711,610,189,612
CITY OF MALIBU,N,9097,POLLING PLACE,1202,376,81,389
CITY OF MALIBU,N,0,VBM PORTION,1236,376,76,374
CITY OF MALIBU,N,9097,TOTAL,2437,752,157,763
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1172,241,1090
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1132,230,943
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,2304,471,2033
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,170,59,148
CITY OF MAYWOOD,N,0,VBM PORTION,258,106,29,83
CITY OF MAYWOOD,N,8324,TOTAL,708,276,88,231
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,797,145,522
CITY OF MONROVIA,N,0,VBM PORTION,1919,648,162,563
CITY OF MONROVIA,N,20047,TOTAL,3752,1445,307,1085
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,851,225,678
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,619,170,585
CITY OF MONTEBELLO,N,28939,TOTAL,3924,1470,395,1263
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,763,232,666
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,799,258,795
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,1562,490,1461
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1127,342,713
CITY OF NORWALK,N,0,VBM PORTION,2657,1039,310,807
CITY OF NORWALK,N,47546,TOTAL,5277,2166,652,1520
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,2467,522,1146
CITY OF PALMDALE,N,0,VBM PORTION,5361,2471,561,1303
CITY OF PALMDALE,N,69762,TOTAL,10378,4938,1083,2449
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,595,89,362
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,659,138,474
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1254,227,836
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,382,99,303
CITY OF PARAMOUNT,N,0,VBM PORTION,648,242,74,181
CITY OF PARAMOUNT,N,19999,TOTAL,1576,624,173,484
CITY OF PASADENA,N,78446,POLLING PLACE,7034,2330,506,2693
CITY OF PASADENA,N,0,VBM PORTION,8408,2677,567,2758
CITY OF PASADENA,N,78446,TOTAL,15431,5007,1073,5451
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,860,237,606
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,670,188,523
