LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SERENA R MURILLO
CITY OF EL MONTE,N,36036,TOTAL,4201,2970
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,822
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,746
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,1568
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1735
CITY OF GARDENA,N,0,VBM PORTION,2597,1641
CITY OF GARDENA,N,30000,TOTAL,5358,3376
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,4942
CITY OF GLENDALE,N,0,VBM PORTION,12284,5362
CITY OF GLENDALE,N,97282,TOTAL,21689,10304
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,1794
CITY OF GLENDORA,N,0,VBM PORTION,2920,1773
CITY OF GLENDORA,N,31341,TOTAL,5784,3567
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,200
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,217
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,417
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,1587
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,1383
CITY OF HAWTHORNE,N,36483,TOTAL,4464,2970
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,940
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,858
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1798
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,83
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,72
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,155
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,706
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,429
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,1135
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,14
