LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JAMES B PIERCE,CAROL NAJERA
CITY OF AGOURA HILLS,N,13975,POLLING PLACE,1603,569,533
CITY OF AGOURA HILLS,N,0,VBM PORTION,1520,514,519
CITY OF AGOURA HILLS,N,13975,TOTAL,3122,1083,1052
CITY OF ALHAMBRA,N,37025,POLLING PLACE,2765,935,1164
CITY OF ALHAMBRA,N,0,VBM PORTION,2604,999,926
CITY OF ALHAMBRA,N,37025,TOTAL,5368,1934,2090
CITY OF ARCADIA,N,29165,POLLING PLACE,2380,956,776
CITY OF ARCADIA,N,0,VBM PORTION,3054,1093,974
CITY OF ARCADIA,N,29165,TOTAL,5433,2049,1750
CITY OF ARTESIA,N,7390,POLLING PLACE,555,175,216
CITY OF ARTESIA,N,0,VBM PORTION,596,205,227
CITY OF ARTESIA,N,7390,TOTAL,1149,380,443
CITY OF AVALON,N,1730,POLLING PLACE,190,50,91
CITY OF AVALON,N,0,VBM PORTION,184,44,82
CITY OF AVALON,N,1730,TOTAL,374,94,173
CITY OF AZUSA,N,18442,POLLING PLACE,1308,399,595
CITY OF AZUSA,N,0,VBM PORTION,1201,399,513
CITY OF AZUSA,N,18442,TOTAL,2508,798,1108
CITY OF BALDWIN PARK,N,29518,POLLING PLACE,1684,476,901
CITY OF BALDWIN PARK,N,0,VBM PORTION,1337,551,552
CITY OF BALDWIN PARK,N,29518,TOTAL,3020,1027,1453
CITY OF BELL,N,11175,POLLING PLACE,618,156,343
CITY OF BELL,N,0,VBM PORTION,349,102,178
CITY OF BELL,N,11175,TOTAL,966,258,521
CITY OF BELL GARDENS,N,12887,POLLING PLACE,540,160,274
CITY OF BELL GARDENS,N,0,VBM PORTION,316,114,161
CITY OF BELL GARDENS,N,12887,TOTAL,855,274,435
CITY OF BELLFLOWER,N,34364,POLLING PLACE,2099,653,1024
CITY OF BELLFLOWER,N,0,VBM PORTION,1922,643,833
CITY OF BELLFLOWER,N,34364,TOTAL,4019,1296,1857
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,823,465
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,1005,509
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,1828,974
CITY OF BRADBURY,N,599,POLLING PLACE,66,31,22
CITY OF BRADBURY,N,0,VBM PORTION,67,17,31
CITY OF BRADBURY,N,599,TOTAL,133,48,53
CITY OF BURBANK,N,60155,POLLING PLACE,4654,1639,1825
CITY OF BURBANK,N,0,VBM PORTION,4858,1645,1785
CITY OF BURBANK,N,60155,TOTAL,9510,3284,3610
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,538,428
CITY OF CALABASAS,N,0,VBM PORTION,1873,678,558
CITY OF CALABASAS,N,14914,TOTAL,3327,1216,986
CITY OF CARSON,N,52903,POLLING PLACE,5087,1825,1922
CITY OF CARSON,N,0,VBM PORTION,4089,1651,1444
CITY OF CARSON,N,52903,TOTAL,9175,3476,3366
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1010,1034
CITY OF CERRITOS,N,0,VBM PORTION,3286,1113,1122
CITY OF CERRITOS,N,31594,TOTAL,6062,2123,2156
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1260,895
CITY OF CLAREMONT,N,0,VBM PORTION,2652,1035,833
CITY OF CLAREMONT,N,22235,TOTAL,5533,2295,1728
CITY OF COMMERCE,N,6256,POLLING PLACE,444,107,238
CITY OF COMMERCE,N,0,VBM PORTION,247,61,148
CITY OF COMMERCE,N,6256,TOTAL,686,168,386
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1080,991
CITY OF COMPTON,N,0,VBM PORTION,1873,764,633
CITY OF COMPTON,N,43063,TOTAL,4894,1844,1624
CITY OF COVINA,N,26090,POLLING PLACE,2040,726,872
CITY OF COVINA,N,0,VBM PORTION,1877,604,822
CITY OF COVINA,N,26090,TOTAL,3913,1330,1694
CITY OF CUDAHY,N,6697,POLLING PLACE,376,90,210
CITY OF CUDAHY,N,0,VBM PORTION,164,58,81
CITY OF CUDAHY,N,6697,TOTAL,539,148,291
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,1360,1035
CITY OF CULVER CITY,N,0,VBM PORTION,3120,1187,870
CITY OF CULVER CITY,N,26286,TOTAL,6708,2547,1905
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,884,1070
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,1037,1104
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,1921,2174
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,1811,2675
CITY OF DOWNEY,N,0,VBM PORTION,3452,1074,1531
CITY OF DOWNEY,N,54713,TOTAL,9292,2885,4206
CITY OF DUARTE,N,11742,POLLING PLACE,960,353,385
CITY OF DUARTE,N,0,VBM PORTION,1099,388,466
CITY OF DUARTE,N,11742,TOTAL,2059,741,851
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,711,1137
CITY OF EL MONTE,N,0,VBM PORTION,1885,740,754
CITY OF EL MONTE,N,36036,TOTAL,4201,1451,1891
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,514,540
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,475,478
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,989,1018
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1014,1037
CITY OF GARDENA,N,0,VBM PORTION,2597,1067,808
CITY OF GARDENA,N,30000,TOTAL,5358,2081,1845
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,3113,2844
CITY OF GLENDALE,N,0,VBM PORTION,12284,3535,2948
CITY OF GLENDALE,N,97282,TOTAL,21689,6648,5792
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,959,1217
CITY OF GLENDORA,N,0,VBM PORTION,2920,973,1185
CITY OF GLENDORA,N,31341,TOTAL,5784,1932,2402
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,79,142
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,116,122
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,195,264
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,845,1019
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,789,806
CITY OF HAWTHORNE,N,36483,TOTAL,4464,1634,1825
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,709,478
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,595,488
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1304,966
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,63,37
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,54,38
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,117,75
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,240,580
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,180,301
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,420,881
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,7,12
CITY OF INDUSTRY,N,103,TOTAL,32,7,12
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,1701,1735
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,1328,1134
CITY OF INGLEWOOD,N,55170,TOTAL,8342,3029,2869
CITY OF IRWINDALE,N,939,POLLING PLACE,75,25,23
CITY OF IRWINDALE,N,0,VBM PORTION,61,15,32
CITY OF IRWINDALE,N,939,TOTAL,135,40,55
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,695,503
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,905,701
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,1600,1204
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,145,178
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,168,239
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,313,417
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,811,1081
CITY OF LA MIRADA,N,0,VBM PORTION,2428,834,977
CITY OF LA MIRADA,N,27147,TOTAL,4843,1645,2058
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,256,518
CITY OF LA PUENTE,N,0,VBM PORTION,740,253,360
CITY OF LA PUENTE,N,15802,TOTAL,1699,509,878
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,802,1120
CITY OF LA VERNE,N,0,VBM PORTION,2109,637,915
CITY OF LA VERNE,N,20532,TOTAL,4568,1439,2035
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,1543,1968
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,1455,1713
CITY OF LAKEWOOD,N,48358,TOTAL,8638,2998,3681
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,1830,2420
CITY OF LANCASTER,N,0,VBM PORTION,6128,2078,2628
CITY OF LANCASTER,N,73718,TOTAL,11514,3908,5048
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,309,394
CITY OF LAWNDALE,N,0,VBM PORTION,697,258,296
CITY OF LAWNDALE,N,13398,TOTAL,1522,567,690
CITY OF LOMITA,N,11237,POLLING PLACE,1073,451,416
CITY OF LOMITA,N,0,VBM PORTION,1050,374,449
CITY OF LOMITA,N,11237,TOTAL,2122,825,865
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,8837,10484
CITY OF LONG BEACH,N,0,VBM PORTION,25748,8908,9832
CITY OF LONG BEACH,N,254779,TOTAL,52664,17745,20316
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,56722,55375
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,51759,46259
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,108481,101634
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,342,425
CITY OF LYNWOOD,N,0,VBM PORTION,754,281,321
CITY OF LYNWOOD,N,24503,TOTAL,1711,623,746
CITY OF MALIBU,N,9097,POLLING PLACE,1202,433,355
CITY OF MALIBU,N,0,VBM PORTION,1236,470,303
CITY OF MALIBU,N,9097,TOTAL,2437,903,658
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1451,857
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1284,936
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,2735,1793
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,93,280
CITY OF MAYWOOD,N,0,VBM PORTION,258,63,141
CITY OF MAYWOOD,N,8324,TOTAL,708,156,421
